Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Research Skills for Ace M-level Students ,(ALGY601),Compulsory modules,M,30,First Semester,0:100,"This module will provide students with a set of skills that is necessary for the development, structuring and presentation of their dissertation topic (which can be later applied to PhD research) alongside transferable skills (clarity of written expression, critical faculty, advanced level ability to structure and present arguments in a range of media, and project management) applicable to academic and non-academic work environments; The module also aims to develop your abilities to engage with current historiographical and theoretical debates appropriate to MA level in an informed, analytical and critical manner. 
","(LO1) Show advanced critical understanding of the sources and methodological approaches appropriate to specific research topics.
(LO2) Synthesise arguments and data from published material.
(LO3) Make a critical judgement of the relative strengths and weaknesses of research questions and arguments. 
(LO4) Show an awareness of ethical issues in research.
(LO5) Show advanced critical understanding of current historiographical and theoretical debates.
(S1) Critical thinking and problem solving - Evaluation
(S2) Communication (oral, written and visual) - Presentation skills - visual
(S3) Communication (oral, written and visual) - Presentation skills - written
(S4) Time and project management - Personal organisation
(S5) Skills in using technology - Online communications skills
"
Designing and Communicating Research ,(ALGY731),Compulsory modules,M,15,Second Semester,0:100,"This module is designed to ensure that the topic chosen for your dissertation is one that you will be able to pursue successfully; 
By the end of the module you will have tested the feasibility of your dissertation project, defined the scope of study and the way the research may be carried out;
The module will also provide you with the opportunity to undertake detailed reading and discussion on a specified geographical period / area.
You will also have the opportunity to consider the importance of public engagement with research and  to work with your peers and with colleagues in the department and the museums to develop small research-based activities through which to share themes from your research with a non-academic audience.
","(LO1) Understand and independently assess a range of theoretical approachesto past societies
(LO2) Critically appraise the interpretation of archaeological data
(LO3) Identify and reflect upon key issues in archaeological interpretationthat are relevant to your dissertation.
(LO4) Embark on your dissertation with a clear idea of the secondary andprimary sources to be consulted
(LO5) Outline the appropriate theoretical frameworks and methodologicalapproaches to be deployed in your dissertation
(S1) Critical thinking and problem solving - Critical analysis
(S2) Communication (oral, written and visual) - Presentation skills – oral
(S3) Communication (oral, written and visual) - Presentation skills - written
(S4) Time and project management - Personal organisation
"
"Pyrotechnology: Theory, Evidence and Experiment ",(ALGY740),Compulsory modules,M,15,First Semester,0:100,"To enable students to explore the role of pyrotechnology in human development, what pyrotechnology is, and how its many facets interrelate with contemporary social and technological systems;
To introduce students to some of the theoretical frameworks and ideas surrounding the harnessing of heat by humankind to modify and enhance the material world around them;
To consider how scientific methods can be used to understand pyrotechnological processes, to learn how these processes work and how they may have been understood in the past;
To gain basic practical experience/understanding of key pyrotechnologies and have the opportunity, through project work, to investigate questions about pyrotechnology through research in the library, laboratory and the field.
","(LO1) Students will gain an understanding of the nature of pyrotechnology and its importance to human development and of the main theoretical arguments about the interpretation of the current body of evidence.
(LO2) Students will gain a practical grounding in the skills required to identify, analyse and interpret pyrotechnological remains.
(S1) Communication, listening and questioning, respecting others, contributing to discussions
(S2) Global perspectives demonstrate international perspectives as professionals/citizens; locate, discuss, analyse, evaluate information from international sources; consider issues from a variety of cultural perspectives, consider ethical and social responsibility issues in international settings; value diversity of language and culture
(S3) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S4) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S5) Numeracy (application of) manipulation of numbers, general mathematical awareness and its application in practical contexts (e.g. measuring, weighing, estimating and applying formulae)
(S6) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S7) Research management developing a research strategy, project planning and delivery, risk management, formulating questions, selecting literature, using primary/secondary/diverse sources, collecting &amp;amp; using data, applying research methods, applying ethics
(S8) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
"
Wood in Archaeology and Palaeoecology:  Wood and Charcoal Analysis ,(ALGY668),Compulsory modules,M,15,First Semester,0:100,"To familiarise students with the aims and methods of wood and charcoal analysis, including processing, identifying, recording, analysing, interpreting and reporting of wood charcoal macro-remains from archaeological and palaeoecological sites;
To introduce students to the wider archaeological and palaeoecological questions and issues associated with the study of wood macro-remains;
To provide the students who wish to undertake dissertation research on related topics  with the necessary knowledge and skills background;
To develop student understanding and appreciation of archaeo- and palaeobotanical science applications in contemporary archaeological and palaeoenvironmental research.
","(LO1) Students successfully completing this module will be able to recognise and identify the different types of wood macro-remains found in a variety of archaeological and palaeoecological  contexts.
(LO2) Students will achieve a rounded understanding of the different taphonomic pathways through which wood remains are incorporated into the archaeological and palaeoecological record, and the taphonomic histories (including post-depositional alterations) that affect the representativeness of archaeological and off-site wood macrofossil assemblages.
(LO3) Students will become familiar with the key research themes and debates in anthracology and charcoal analysis regarding vegetation reconstruction, woodland vegetation ecology and palaeoecology, human impacts, woodland management, and people-environment interactions.
(S1) Improving own learning/performance - Reflective practice
(S2) Improving own learning/performance - Record-keeping
(S3) Communication (oral, written and visual) - Presentation skills – oral
(S4) Communication (oral, written and visual) - Presentation skills - written
(S5) Communication (oral, written and visual) - Following instructions/protocols/procedures
(S6) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S7) Communication (oral, written and visual) - Report writing
(S8) Time and project management - Project planning
(S9) Critical thinking and problem solving - Critical analysis
(S10) Critical thinking and problem solving - Evaluation
(S11) Critical thinking and problem solving - Synthesis
(S12) Information skills - Information accessing:[Locating relevant information] [Identifying and evaluating information sources]
(S13) Working in groups and teams - Time management
(S14) Information skills - Information accessing:[Locating relevant information] [Identifying and evaluating information sources]
(S15) Information skills - Record-keeping
(S16) Research skills - All Information skills
(S17) Research skills - Awareness of /commitment to academic integrity
(S18) Skills in using technology - Using common applications (work processing, databases, spreadsheets etc.)
(S19) Numeracy/computational skills - Confidence/competence in measuring and using numbers
(S20) Numeracy/computational skills - Problem solving
(S21) Numeracy/computational skills - Numerical methods
(S22) Personal attributes and qualities - Resilience
(S23) Personal attributes and qualities - Integrity
"
Artefacts and Analysis ,(ALGY737),Compulsory modules,M,15,Second Semester,0:100,"This module will provide the theoretical framework and practical instruction in the scientific investigation and interrogation of archaeological artefacts. Students will also gain a working knowledge of the main analytical techniques used in the analysis of archaeological material and how to chose appropriate techniques to address specific types of question; 
Basic introductory instruction will be given in the main types of optical microscopy, scanning electron microscopy and in chemical analysis of artefacts; 
A central theme of the module is that, while the scientific study of archaeological artefacts can be used to address cultural and historical questions, that study has to be approached from within a firm archaeological context. Furthermore, the data generated by that study need then to be interpreted within the appropriate cultural framework, with as broad an understanding as possible;
Artefacts from the Departmental study collections and Museum will be studied during the practical sessions and a practical project studying a variety of artefact types resulting in a detailed written report forms part of the final assessment.
","(LO1) Students who take this module should gain an understanding of the analytical techniques used to investigate archaeological artefacts.
(LO2) Students will gain some practical experience of the analysis of archaeological materials and a basic grasp of the skills set required to undertake this work.
(LO3) Students will understand the practical problems of sampling archaeological objects and their analysis, and the necessity of a fully contextualised interpretation.
(S1) Sampling, sample preparation, analytical and data analysis skills
"
Research Themes in the Neolithic of the Near East ,(ALGY656),Optional modules,M,15,First Semester,0:100,"This module aims to examine the conceptual frameworks and research methods used in investigating the development of the world&#39;s first agricultural, pastoralist and sedentary communities, all changes fundamental to the development of complex and modern society.
The module aims to explore the behaviours of these &#39;Neolithic&#39; communities across the Near East and Europe. We will question when these phenomena appeared, why they might have appeared and how human societies responded to their new opportunities and pressures;
The module aims to examine how much distinctive ritual practices, art, new forms of identity and new sorts of engagements with their landscapes characterized these communities. The West Eurasia scope of the module will provide and opportunity to see how much Neolithic behaviour varied as it first developed and then spread from the Near East (SW Asia) into Europe;
The module will identify key themes in current research into the Neolithic and provide students some choice about the themes upon which we will focus. The module thus aims to develop an understanding of the problems and potential of a range of research tools available to a rchaeology in gaining an understanding of these changes and knowledge of ancillary disciplines relating to human palaeoecology, archaeobotany and archaeozoology;
The module aims to engage students with the research approaches and practices that typify the investigation of key issues in European and Near Eastern prehistory, including an evaluation of primary archaeological evidence;
The module aims to promote and enable the development of students&#39; critical and analytical approach to evidence and the combined use of different sources of evidence;
The module aims to promote and enable the development of students&#39; ability to construct and express effective verbal and written argument at a research level.
","(LO1) Students successfully completing the module will achieve an understanding of key research issues in the Neolithic of Europe and the Near East as well as the origins of agriculture more generally. They will have engaged with some of the relevant primary source material/data relevant to these issues. They will themselves have conducted research relevant to these issues on a small scale. Students successfully completing the module will appreciate some of the methodological issues of using archaeological evidence as sources for understanding such early societies.
(LO2) Students successfully completing the module will achieve an understanding of when sedentism and farming appeared, why they might have appeared and how human societies responded to their new opportunities and pressures.
(LO3)  Students successfully completing the module will develop an understanding of the problems and potential of a range of research tools available to archaeology in gaining an understanding of changes in human behaviour in the Neolithic and knowledge of ancillary disciplines relating to human palaeoecology, archaeobotany and archaeozoology.
(LO4) Students successfully completing the module will further develop critical and analytical approaches to evidence and the combined use of different sources of evidence.
(LO5) Students successfully completing the module will further develop their ability to construct and express effective verbal and written argument.
(LO6) The module also enables students to foster transferable skills (not all directly tested in the assessment), e.g. listening and note-taking skills; analytical reading; identification, recall and deployment of material relevant to a particular question; awareness of controversy in technical literature; succinct written exposition; succinct oral presentation and discussion of prepared material; time-management.
(S1) Research skills - All Information skills
(S2) Communication (oral, written and visual) - Presentation skills – oral.
(S3) Communication (oral, written and visual) - Presentation skills - written.
(S4) Improving own learning/performance - Reflective practice.
(S5) Time and project management - Personal organisation.
(S6) Critical thinking and problem solving - Critical analysis.
(S7) Critical thinking and problem solving - Synthesis.
(S8) Research skills - Awareness of /commitment to academic integrity.
"
Wood in Archaeology and Palaeoecology:  Wood and Charcoal Analysis ,(ALGY668),Optional modules,M,15,First Semester,0:100,"To familiarise students with the aims and methods of wood and charcoal analysis, including processing, identifying, recording, analysing, interpreting and reporting of wood charcoal macro-remains from archaeological and palaeoecological sites;
To introduce students to the wider archaeological and palaeoecological questions and issues associated with the study of wood macro-remains;
To provide the students who wish to undertake dissertation research on related topics  with the necessary knowledge and skills background;
To develop student understanding and appreciation of archaeo- and palaeobotanical science applications in contemporary archaeological and palaeoenvironmental research.
","(LO1) Students successfully completing this module will be able to recognise and identify the different types of wood macro-remains found in a variety of archaeological and palaeoecological  contexts.
(LO2) Students will achieve a rounded understanding of the different taphonomic pathways through which wood remains are incorporated into the archaeological and palaeoecological record, and the taphonomic histories (including post-depositional alterations) that affect the representativeness of archaeological and off-site wood macrofossil assemblages.
(LO3) Students will become familiar with the key research themes and debates in anthracology and charcoal analysis regarding vegetation reconstruction, woodland vegetation ecology and palaeoecology, human impacts, woodland management, and people-environment interactions.
(S1) Improving own learning/performance - Reflective practice
(S2) Improving own learning/performance - Record-keeping
(S3) Communication (oral, written and visual) - Presentation skills – oral
(S4) Communication (oral, written and visual) - Presentation skills - written
(S5) Communication (oral, written and visual) - Following instructions/protocols/procedures
(S6) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S7) Communication (oral, written and visual) - Report writing
(S8) Time and project management - Project planning
(S9) Critical thinking and problem solving - Critical analysis
(S10) Critical thinking and problem solving - Evaluation
(S11) Critical thinking and problem solving - Synthesis
(S12) Information skills - Information accessing:[Locating relevant information] [Identifying and evaluating information sources]
(S13) Working in groups and teams - Time management
(S14) Information skills - Information accessing:[Locating relevant information] [Identifying and evaluating information sources]
(S15) Information skills - Record-keeping
(S16) Research skills - All Information skills
(S17) Research skills - Awareness of /commitment to academic integrity
(S18) Skills in using technology - Using common applications (work processing, databases, spreadsheets etc.)
(S19) Numeracy/computational skills - Confidence/competence in measuring and using numbers
(S20) Numeracy/computational skills - Problem solving
(S21) Numeracy/computational skills - Numerical methods
(S22) Personal attributes and qualities - Resilience
(S23) Personal attributes and qualities - Integrity
"
Regionalism in Archaic Greek World ,(ALGY689),Optional modules,M,15,First Semester,0:100,"Introduction to key themes in the archaeology of Archaic Greece; Regional case study of one area of the Archaic Greek world, examining a range of key issues including state formation, identity, religion, inter-state warfare, and cultural interaction; Introduce principal forms of Greek art and architecture of the Geometric and Archaic periods, with their stylistic development and social context, and local varients thereof within the case study region. 
","(LO1) Outline the broad chronological, geographical and historical framework of the Archaic Greek world (and associated regions)
(LO2) Identify the principal forms of material culture that archaeologists utilise to understand the Archaic Greek world
(LO3) Discuss key concepts such as state formation, identity, and acculturation and outline the processes of societal interaction and social change that underlay the changing material record
(S1) Communication (oral, written and visual) - Presentation skills – oral
(S2) Communication (oral, written and visual) - Presentation skills - written
(S3) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S4) Critical thinking and problem solving - Critical analysis
(S5) Working in groups and teams - Listening skills
(S6) Information skills - Critical reading
"
Early Technologies ,(ALGY763),Optional modules,M,15,First Semester,0:100,"This module aims to give students an introduction to techniques of artefact production and methods of analysis used in the study of Palaeolithic assemblages;
To provide a theoretical and practical foundation for undertaking artefact based analyses at the MSc and PhD level.
","(LO1) Students completing this module will have gained a critical awareness of changing research paradigms in the study of early technologies.
(LO2) A practical understanding of the mechanics of stone tool making.
(LO3) An awareness of the cognitive demands of tool making.
(LO4) An understanding of the chronology and regional variation in the development of early technologies.
(LO5) Experience in preparing an artefact report to publication standard.
(S1) Digital scholarship participating in emerging academic, professional and research practices that depend on digital systems
(S2) Information technology (application of) adopting, adapting and using digital devices, applications and services
(S3) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S4) Learning skills online studying and learning effectively in technology-rich environments, formal and informal
(S5) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S6) Numeracy (application of) manipulation of numbers, general mathematical awareness and its application in practical contexts (e.g. measuring, weighing, estimating and applying formulae)
(S7) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S8) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
(S9) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
"
Themes in the Archaeology of Roman Britain ,(ALGY634),Optional modules,M,15,Second Semester,0:100,"The aim of this module is to explore some of those areas in which the &#39;new&#39; Roman archaeology is making a fresh and distinctive contribution to our understanding of Britian in first five centuries of the first millennium A.D. A number of themes which might be explored include urbanisation, aspects of the relationship between military and civilian structures, the economy, and religion and how these various themes relate to the debate about the depth and direction of the acculturation of the Roman province.
","(LO1) Students will continue to develop and deepen their knowledge of experience of Roman Britain, derived either from previous Roman modules and/or the methods and techniques of historical archaeology.
(LO2) Critical understanding of the nature of the discipline will now be based on the work of recent decades and will focus more on research strategies and theory than by the repetition of the accepted chronological and thematic framework for a narrative description.
(LO3) Their appreciation of the range of influences on the subject will lead to a better understanding of archaeology as a whole and of the cross-disciplinary nature of scholarly research in general. In particular they will learn to use Roman archaeology as a vehicle for studying processes which have a great deal of modern relevance, including acculturation, the relationship between town and country and the ways that archaeology can illustrate and explain both common and disparate cultural traditions in north-west Europe.
(LO4) On successful completion of this module, students should have gained an appreciation of the range of scope and high quality of the archaeological evidence for the study of Roman Britain.
(LO5) Students will have enhanced their understanding of the history of the province.
(LO6) Students will have acquired an appreciation of some of the current &#39;theoretical&#39; debates in Romano-British studies.
(LO7) Students will have developed transferable skills in terms of presentational skills by means of class presentations and follow-up discussions.
(S1) Communication skills
(S2) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S3) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
"
