Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Frameworks of Human Evolution ,(ALGY663),Compulsory modules,M,30,First Semester,0:100,"This module aims to foster the learning skills essential for advanced study and writing, especially those of reviewing material, and preparing a bibliography to go with a research exercise; 
Students will become familiar with the issues surrounding the major early hominid and early archaeological sites; 
Students will become familiar with the nature of early hominid settings and the evidence preserved;
Students will become familiar with the potential and limits of inferences about early hominid behaviour;
For students to acquire and strengthen skills engendered by critical reading of select sources and presentation in discussion. 
","(LO1) By the end of the module students should be familiar with the major frameworks of human evolution, and be equipped with the research skills necessary for their study.
(LO2) Students will be familiar with the major early hominid / hominin and early archaeological sites.
(LO3) Students will be familiar with the framework for current debates in early human evolution concerning the period before 0.5 million years ago. 
(LO4) Students will be familiar with the potential for and limits of inferences about early hominin behaviour from material remains (fossils and material culture) with a particular emphasis on lithic technology.
(LO5) Students will be able to build upon skills in the critical evaluation of the relevant archaeological, geological and palaeontological texts.
(LO6) Students will be able to strengthen the skills required to review material presented by others; structure and present effective seminars and written essays and prepare scientific bibliographies. 
(LO7) Students will be able to recognise features of artefacts and assemblages (usually lithic) which can be used to infer hominin behaviour.
(S1) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S2) Communication skills
"
Ace MA and MSc Dissertation ,(ALGY600),Compulsory modules,M,60,Whole Session,0:100,"This module aims to give you the opportunity to produce a lengthy piece of work ( 15000-20000 words *) on a topic of your choice. * Footnotes, bibliography and appendices are included in the word count;
The module dissertation will enhance your abilities in the realms of collection, analysis and interpretation of primary material, and the development of critical response in the use of secondary sources;
The purpose of the MA dissertation is to demonstrate that you can identify an issue or problem, research, assemble and analyse the available evidence, present convincing and coherent arguments on the basis of that evidence, and locate the results within the broader context of modern scholarship.
The dissertation should be based at least in part on primary data or sources, and the choice of topic must take into account the accessibility of such materials.
","(LO1) Identify a research-related issue or problem.
(LO2) Design and conduct a scheme of work to explore that issue.
(LO3) Assemble, analyse and appropriately cite both academic literature (references) and primary evidence (sources).
(LO4) Present a coherent and clear set of data and arguments in order to analyse and interpret the data.
(LO5) Use evidence to unfold a continuous and coherent argument that will enable them to make conclusions relating to the problem stated in the introduction of the dissertation.
(S1) Produce a text written and presented to a professional standard
(S2) Communication (oral, written and visual) - Academic writing (including referencing skills)
(S3) Critical thinking and problem solving - Critical analysis
(S4) Time and project management - Project management
"
Research Themes in the Neolithic of the Near East ,(ALGY656),Optional modules,M,15,First Semester,0:100,"This module aims to examine the conceptual frameworks and research methods used in investigating the development of the world&#39;s first agricultural, pastoralist and sedentary communities, all changes fundamental to the development of complex and modern society.
The module aims to explore the behaviours of these &#39;Neolithic&#39; communities across the Near East and Europe. We will question when these phenomena appeared, why they might have appeared and how human societies responded to their new opportunities and pressures;
The module aims to examine how much distinctive ritual practices, art, new forms of identity and new sorts of engagements with their landscapes characterized these communities. The West Eurasia scope of the module will provide and opportunity to see how much Neolithic behaviour varied as it first developed and then spread from the Near East (SW Asia) into Europe;
The module will identify key themes in current research into the Neolithic and provide students some choice about the themes upon which we will focus. The module thus aims to develop an understanding of the problems and potential of a range of research tools available to a rchaeology in gaining an understanding of these changes and knowledge of ancillary disciplines relating to human palaeoecology, archaeobotany and archaeozoology;
The module aims to engage students with the research approaches and practices that typify the investigation of key issues in European and Near Eastern prehistory, including an evaluation of primary archaeological evidence;
The module aims to promote and enable the development of students&#39; critical and analytical approach to evidence and the combined use of different sources of evidence;
The module aims to promote and enable the development of students&#39; ability to construct and express effective verbal and written argument at a research level.
","(LO1) Students successfully completing the module will achieve an understanding of key research issues in the Neolithic of Europe and the Near East as well as the origins of agriculture more generally. They will have engaged with some of the relevant primary source material/data relevant to these issues. They will themselves have conducted research relevant to these issues on a small scale. Students successfully completing the module will appreciate some of the methodological issues of using archaeological evidence as sources for understanding such early societies.
(LO2) Students successfully completing the module will achieve an understanding of when sedentism and farming appeared, why they might have appeared and how human societies responded to their new opportunities and pressures.
(LO3)  Students successfully completing the module will develop an understanding of the problems and potential of a range of research tools available to archaeology in gaining an understanding of changes in human behaviour in the Neolithic and knowledge of ancillary disciplines relating to human palaeoecology, archaeobotany and archaeozoology.
(LO4) Students successfully completing the module will further develop critical and analytical approaches to evidence and the combined use of different sources of evidence.
(LO5) Students successfully completing the module will further develop their ability to construct and express effective verbal and written argument.
(LO6) The module also enables students to foster transferable skills (not all directly tested in the assessment), e.g. listening and note-taking skills; analytical reading; identification, recall and deployment of material relevant to a particular question; awareness of controversy in technical literature; succinct written exposition; succinct oral presentation and discussion of prepared material; time-management.
(S1) Research skills - All Information skills
(S2) Communication (oral, written and visual) - Presentation skills – oral.
(S3) Communication (oral, written and visual) - Presentation skills - written.
(S4) Improving own learning/performance - Reflective practice.
(S5) Time and project management - Personal organisation.
(S6) Critical thinking and problem solving - Critical analysis.
(S7) Critical thinking and problem solving - Synthesis.
(S8) Research skills - Awareness of /commitment to academic integrity.
"
Deciphering Symbols: Approaches to An Understanding of the Earliest Symbolic Behaviour ,(ALGY761),Optional modules,M,15,Second Semester,0:100,"This module seeks to provide students with an understanding of the role of symbolism in definitions of modern humans; 
This module aims to provide students with an understanding of a diversity of specialist approaches to the recognition and interpretation of symbolism; 
This module aims to provide students with a critical appreciation of the strengths and weakness of symbolic interpretations of the earliest &#39;symbolic artefacts&#39;.
","(LO1) Students will gain an understanding of the importance of symbolic behaviour to a definition of modern human behaviour
(LO2) Students will gain a critical appreciation of competing approaches to, and definitions of artistic and symbolic behaviour
(LO3) Students will gain a critical appreciation of different models for the origins of symbolic behaviour in hominins
(LO4) Students will gain a critical appreciation of methods for the recording and analysis of the archaeological evidence of symbolic behaviour
(LO5) Students will learn to integrate specific bodies of archaeological evidence into sociological and anthropological models of early hominin  life
(LO6) Students will learn to critically appreciate the material and technological complexities in producing early parietal art images
(LO7) Students will critically assess the interpretation of a form of symbolic material culture as a case study
(S1) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S2) Communication (oral, written and visual) - Presentation skills – oral
(S3) Communication (oral, written and visual) - Influencing skills – argumentation
(S4) Information skills - Critical reading
(S5) Working in groups and teams - Time management
"
Human Osteology ,(ALGY762),Optional modules,M,15,Second Semester,0:100,"To provide students taking this module with a general background in human osteology of bioarchaeological material with reference to the reconstruction of the human skeleton. Students will be introduced to the laboratory techniques and debates currently surrounding the analysis of human remains from archaeological sites.
","(LO1) Students will learn how to identify the individual bones of adult and juvenile skeletons and will learn how to determine age and sex and other aspects of human remains analysis in archaeology. This will be achieved through establishing a background in the technique from hands-on handling classes and by introductory lectures where relevant.
(LO2) Students will understand the contribution made by human osteology to a subject of their choice
(S1) Communication (oral, written and visual) - presentation skills - written
(S2) Research skills - all information skills
(S3) Research skills - ethical awareness
(S4) Communication (oral, written and visual) - report writing
"
Statistics for Biological Research ,(LIFE763),Optional modules,M,15,First Semester,40:60,"To introduce and advance knowledge of a range of statistical tests that are commonly used in the Biosciences;
To give experience in the implementation of these tests using statistical and programming software;
To enable students to learn how to interpret and analyse the output of these tests.
","(LO1) To develop an understanding of  statistical hypothesis testing;
(LO2) To apply a range of relevant statistical tests to complex datasets to draw statistical conclusions;
(LO3) To critically assess the appropriateness of a statistical test;
(LO4) To intepret and report data collected in biological research.
(LO5) To develop programming skills relevant for statistical analysis.
(LO6) Use data visualisation techniques to present ‘big’ data
(S1) Numeracy (application of) manipulation of numbers, general mathematical awareness and its application in practical contexts (eg measuring, weighing, estimating and applying formulae);
(S2) Problem solving, critical thinking, creativity; analysing facts and situations and applying creative thinking to develop appropriate solutions.
"
Advanced Topics in Animal Behaviour ,(LIFE743),Optional modules,M,15,Second Semester,50:50,"This module aims to:
1. Provide an understanding of the use of evolutionary theory to understanding animal behaviour;
2. Develop knowledge and deep understanding of the complexity of animal behaviour and the ability to apply, critically evaluate and interpret this knowledge in the light of selected primary and secondary literature.
","(LO1) Evaluate the use of the adaptationist approach in studying behaviour
(LO2) Critically evaluate how various factors affect the evolution of reproductive behaviour
(LO3) Appraise current understanding of the evolution of altruism and cooperation
(LO4) Formulate hypotheses to explain why individuals vary in behaviour 
(LO5) Assess comparative approaches in the study of animal cognition and critically evaluate why cognitive processes of  animals might not be, and often are not, analogous to human cognitive processes
(S1) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
"
Roman Frontier Systems: From the Late Republic to the End of the Fourth Century Ad ,(ALGY698),Optional modules,M,15,First Semester,0:100,"This module will not only explore frontiers as manifestations at the highwater mark of Roman imperial history but as a vehicle for assessing the cultural evolution of frontier societies. As the frontiers of Britain are already provided for with modules on Hadrian’s Wall in the School&#39;s portfolio of modules, the emphasis of the module will be on frontiers of the rivers Rhine and Danube as well as those of the Near East (especially that in the province of Arabia) as well as in North Africa and the Eastern Desert region of Egypt.
","(LO1) On successful completion of this module, students will have gained an appreciation of the range of scope and high quality of the archaeological evidence for the frontiers of the Roman empire. This will bring out the different devices and systems that evolved in response to particular problems in particular sectors of the frontiers.
(LO2) Students will have enhanced their understanding of the history of the Roman provinces as well as imperial policy decision making through exploring how frontiers systems were built and evolved over time.
(LO3) Students will have acquired an appreciation of some of the ways that frontiers and zones of cultural interaction might be variously interpreted.
(LO4) Students will have developed transferable skills in terms of presentational skills by means of class presentations and follow-up discussions.
(S1) Communiucation skills
(S2) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
(S3) Positive attitude/ self-confidence A &#39;can-do&#39; approach, a readiness to take part and contribute; openness to new ideas and the drive to make these happen
"
Early Technologies ,(ALGY763),Optional modules,M,15,First Semester,0:100,"This module aims to give students an introduction to techniques of artefact production and methods of analysis used in the study of Palaeolithic assemblages;
To provide a theoretical and practical foundation for undertaking artefact based analyses at the MSc and PhD level.
","(LO1) Students completing this module will have gained a critical awareness of changing research paradigms in the study of early technologies.
(LO2) A practical understanding of the mechanics of stone tool making.
(LO3) An awareness of the cognitive demands of tool making.
(LO4) An understanding of the chronology and regional variation in the development of early technologies.
(LO5) Experience in preparing an artefact report to publication standard.
(S1) Digital scholarship participating in emerging academic, professional and research practices that depend on digital systems
(S2) Information technology (application of) adopting, adapting and using digital devices, applications and services
(S3) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S4) Learning skills online studying and learning effectively in technology-rich environments, formal and informal
(S5) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S6) Numeracy (application of) manipulation of numbers, general mathematical awareness and its application in practical contexts (e.g. measuring, weighing, estimating and applying formulae)
(S7) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S8) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
(S9) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
"
Primate Biology ,(LIFE353),Optional modules,3,15,First Semester,80:20,"<li>  ​To provide an introduction to the biology (adaptations, ecology and evolution) of the major biological groups in our own Order, Primates
</li><li>​​​To develop knowledge and deep understanding in primate biology, and ability to apply, critically evaluate and interpret this knowledge to solve complex problems
</li>","​To evaluate the evolutionary relationships, diversity and distribution of the Order Primates
 ​To critically discuss the functional-anatomical locomotor and dietary adaptations in primates
​To evaluate the broad patterns of primate adaptations in relation to body size, distribution and ecology
​​To discuss the variation in primate behaviour and cognition

"
