Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Research Methodology ,(ARCH707),Compulsory modules,M,15,Second Semester,0:100,"This module aims to equip the student with the key skills needed to prepare a written dissertation or design thesis at postgraduate level in architecture, with visiting lecturers describing their own research and dissertation preparation and methods, with the overall aim of assisting students to select, define and launch their dissertation/thesis projects.
","(LO1) Setting up and managing a research project
(LO2) Identifying a topic and understanding the stages of developing and conducting a research project.
(LO3) Using bibliographies, referencing, citations and quotations
(LO4) Understanding the principles of preparing and performing an effective oral presentation
(S1) Improving own learning/performance - Reflective practice
(S2) Time and project management - Project planning
(S3) Research skills - All information skills
(S4) Personal attributes and qualities - Initiative
(S5) Critical thinking and problem solving - Creative thinking
"
Architectural Theories From 1900 to the Present ,(ARCH712),Compulsory modules,M,15,First Semester,0:100,"The module aims to introduce a broad framework of architectural concepts, themes and theories that have influenced the field of architecture globally from 1900 to the present. This framework can then serve as the critical foundation for design modules as well as the final 60-credit design project or dissertation.
The module also aims to introduce study, research and writing skills and methodologies and to link rigorous academic practices to real world and employment-related scenarios. Finally, the module aims to provide opportunities for the development of presentation, teamwork and time management skills via a variable and flexible seminar series and multiple activities throughout the semester.
","(LO1) Identify a range of theories that have been influential in the field of architecture from 1900 onwards.
(LO2) Recognise and discuss the significance and evolution of key concepts and themes and how these reflect the development of architectural trends from 1900 onwards.
(LO3) Evaluate the content and different perspectives of various written architectural sources.
(LO4) Research, situate historically, critique and present visually and verbally – orally and in writing – the relationship of specific theories to relevant built or unbuilt architectural projects or to the oeuvre of an architect or an architectural practice.
(LO5) Plan and manage a written project.
(LO6) Prepare a well-documented, referenced and appropriately illustrated academic essay.
(S1) Reading, research and writing skills. How this is developed: Students will be directed to University resources on these skills. They will be implicitly taught through the scrutiny placed on related issues during the module lectures, seminars and tutorials. They will also be practised in the module coursework. Students will be engaging with guided readings in preparation for seminars. Students will also be asked to do additional readings for a visual and oral presentation (summative assessment 20%). Final assessment (summative assessment 80%: essay and real world / employment-related summary) will be based on a well-researched discussion of an agreed topic in written form.
(S2) Critical thinking skills. How this is developed: These skills will be implicitly taught through the scrutiny placed on related issues during the module lectures, seminar discussions, seminar presentations, and tutorials. They will also be practised in the final module coursework. Students will be invited to critically evaluate and discuss related readings during seminars. Students will also be asked to present such a critical evaluation in a visual and oral presentation (summative assessment 20%: presentation). Final assessment (summative assessment 80%: essay and real world / employment-related summary) will be based on a well-researched critical discussion of an agreed topic.
(S5) Time management skills. How this is developed: Students will develop these skills through practice during the module seminar discussions, seminar presentations, tutorials, self-directed study and coursework. The varied format of the module’s summative assessment (presentation, and essay and real world / employment-related summary) and the varied nature of tasks throughout the semester will require good time management.
(LO7) Use well-documented and referenced research in a shorter written format appropriate for real life or employment-related purposes.
(S3) Visual and verbal communication skills. How this is developed: Students will develop these skills through practice and received feedback during the module seminar discussions, seminar presentations, tutorials and coursework. Students will be invited to discuss readings during seminars. In selected weeks, students will also be asked to prepare a well-researched visual and oral presentation (summative assessment 20%: presentation). Final assessment (summative assessment 80%: essay and real world / employment-related summary) will be a written discussion accompanied by appropriate illustrations.
(S4) Teamwork skills. How this is developed: Students will develop these skills through practice and received feedback during the module seminar. Students will prepare at least one oral presentation within a group. They may also be invited to propose a specific format for some of the seminars and to collaborate towards planning those sessions themselves.
"
Thesis : Dissertation ,(ARCH721),Compulsory modules,M,60,Whole Session,0:100,"A primary aim of this module is to offer the opportunity to submit a conventional written dissertation OR to submit a design thesis with supporting documentation on an approved topic or brief of their choice. The second of these alternatives responds to current research agendas in the field of architecture, sustainability, digital design or BIM.
To develop and practice academic skills in identifying a research topic, formulating a research design, managing the extended research process and achieving milestones, and drawing relevant policy conclusions from the research findings.
To develop a deeper understanding in depth of a relevant body of literature.
To develop analytical skills and critical thinking on current research issues.
To develop writing, presentation and bibliographic skills in preparing and submitting a high quality, fully-referenced dissertation.
","(LO1) To identify an appropriate research topic that can be investigated and reported on through sources of information that be in the form of written and/or design output.
(LO2) To manage the research process effectively within given resources and meeting milestones on time.
(LO3) To gain a deeper understanding of a particular topic in a chosen subject area.
(LO4) To form independent and objective views on issues in a specialised subject area.
(LO5) To produce a well-written, clearly presented consistently referenced and properly formatted Dissertation.
(S1) Improving own learning/performance - Reflective practice.
(S2) Improving own learning/performance - Self-awareness/self-analysis.
(S3) Improving own learning/performance - Personal action planning.
(S4) Communication (oral, written and visual) - Presentation skills - written.
(S5) Critical thinking and problem solving - Critical analysis.
(S6) Research skills - All Information skills.
"
Thesis: Research By Design ,(ARCH722),Compulsory modules,M,60,Whole Session,0:100,"To carry out a specific piece of research on a self selected topic and to develop a designed object that is derived directly from it.
To develop and practice academic skills in identifying a current design problem, formulating an analysis strategy, managing the design process and drawing relevant conclusions from the design project and response to any research findings.
To develop the idea of an design in the widest sense as a vehicle to apply research study and information drawn from appropriate literature.
To develop a deeper understanding in depth of a relevant body of design precedent and literature.
","(LO1) The module is intended to allow students:
To identify an appropriate research topic that can be investigated and reported on through sources of information that be in the form of written and/or design output.
(LO2) To design an effective project using appropriate methods (e.g. literature review, case study) and techniques that is derived directly from and satisfies the researched topic.
(LO3) To manage the research process effectively within given resources and meeting milestones on time.
(LO4) To gain a deeper understanding of a particular topic in a chosen subject area.
(LO5) To form independent and objective views on issues in a specialised subject area.
(LO6) To produce a well-written, clearly presented consistently referenced and properly formatted Research Report and a well-conceived, appropriate, well-supported and well-executed design project that is derived from the research. 
(S1) Improving own learning/performance - Reflective practice.
(S2) Improving own learning/performance - Self-awareness/self-analysis.
(S3) Improving own learning/performance - Personal action planning.
(S4) Communication (oral, written and visual) - Presentation skills – oral.
(S5) Communication (oral, written and visual) - Presentation skills - written.
(S6) Communication (oral, written and visual) - Presentation skills - visual.
"
Thesis: Design ,(ARCH723),Compulsory modules,M,60,Whole Session,0:100,"To develop and practice academic skills in identifying a current design problem, formulating an analysis strategy, managing the design process and drawing relevant conclusions from the design project and response to any research findings.
To develop the idea of an architectural design as a vehicle to apply research study and information drawn from architectural literature.
To develop a deeper understanding in depth of a relevant body of design precedent and literature.
","(LO1) To identify an appropriate research topic that can be investigated and reported on through sources of information that be in the form of written and/or design output.
(LO2) To design an effective project using appropriate methods (e.g. literature review, case study) and techniques.
(LO3) To manage the research process effectively within given resources and meeting milestones on time.
(LO4) To gain a deeper understanding of a particular topic in a chosen subject area.
(LO5) To form independent and objective views on issues in a specialised subject area.
(LO6) To produce a well-conceived, appropriate, well-supported and well-executed design project or agreed product.
(S1) Improving own learning/performance - Reflective practice.
(S2) Improving own learning/performance - Self-awareness/self-analysis.
(S3) Improving own learning/performance - Personal action planning.
(S4) Communication (oral, written and visual) - Presentation skills – oral.
(S5) Communication (oral, written and visual) - Presentation skills - written.
(S6) Communication (oral, written and visual) - Presentation skills - visual.
"
"BIM Theory, Practice and Tools ",(ARCH724),Optional modules,M,30,First Semester,0:100,"The module aims to familiarise students with the theories, technologies, methods, and processes underlying the development and implementation of Building Information Modelling as a tool to enhance efficiency in project delivery throughout its life cycle.
","(LO1) Analyse and evaluate the opportunities and challenges of BIM for all stakeholders.
(LO2) Demonstrate a critical awareness of the use of existing BIM tools and methodology in the current industry and the underlying technical, social, managerial and organisational implications.
(LO3) Demonstrate an informed awareness of interoperability and data exchange standards.
(LO4) Establish the knowledge and required skills to critically appraise the implementation of BIM in different cultural contexts and at different scales.
(LO5) Appraise the role of BIM in enhancing sustainability and energy efficiency in building design.
(LO6) Demonstrate an informed awareness of how various BIM tools can be used for design coordination within integrated project environment.
(LO7) Achieve competence in undertaking a case study research.
(S1) Research skills.
(S2) Critical thinking and analysis.
(S3) Independent learning skills.
(S4) Written communication skills.
(S5) Oral communication skills.
(S6) Graphical communication skills.
(S7) Team working skills.
"
Climatic Design for Sustainable Architecture ,(ARCH716),Optional modules,M,15,First Semester,0:100,"The aims of this module are: (i) to develop a good understanding of the climate-related data and techniques that are relevant for the sustainable environmental design of buildings; (ii) to demonstrate how such designs should be carried out in a climate sensitive manner; (iii) to explain the role and importance of the microclimate between buildings; (iv) to enable students to select and use appropriate analytical tools and methodologies that can be integrated to show a holistic approach to climate sensitive design that considers climate, sustainable design,choice of materials, energy use and landscape.
","(LO1) On completion of this module students should have developed the skillsand understanding necessary to successfully undertake the followingtasks:• The design of buildings and their surroundings optimised withrespect to climate, environmental and energy issues.• The acquisition and subsequent analysis of climate information anddata in a way that informs design decisions in a successful andappropriate manner• The appraisal of building schemes from a holistic environmentaldesign point of view and the use of a variety of relevantenvironmental assessment techniques to analyse criticallyproposed and built design solutions.
"
MA Design 1 ,(ARCH711),Optional modules,M,30,First Semester,0:100,"The module aims to critically engage students with a current architectural topic and, through research and tutorials undertaken both in groups and individually, develop a design for a given topic or brief. Students submit drawings, written reports and models that are presented to a review panel made up of staff and other students for open forum discussion.
","(LO1) Students should demonstrate a developing design agenda, an awareness of current architectural matters and the ability to resolve a given brief.
(LO2) The ability to resolve a brief, prepare a design strategy and concept that relates to and satisfies the ambitions of a given project.
(LO3) The ability to select and utilise appropriate visual, oral, written and other graphic methods to effectively communicate complex architectural theories and designs.
(S1) Improving own learning/performance - Reflective practice.
(S2) Communication (oral, written and visual) - Presentation skills – oral.
(S3) Communication (oral, written and visual) - Presentation skills - visual.
(S4) Communication, listening and questioning respecting others, contributing to discussions, communicating in a foreign language, influencing, presentations.
"
MA Design 2 ,(ARCH713),Optional modules,M,30,Second Semester,0:100,"The module aims to critically engage students with a current architectural topic and through research and tutorials undertaken both in groups and individually, develop a design for a given topic or brief. The module builds on the semester 1 module &#39;Design 1&#39; and is concerned with designing in an urban environment.
Students submit drawings, written reports and models that are presented to a review panel made up of staff and other students for open forum discussion.
","(LO1) Students will demonstrate a developing design agenda and, an awareness of current architectural matters.
(LO2) The ability to analyses a site and its context and incorporate conclusions into the design resolution.
(LO3) The ability to select and utilise appropriate visual, oral, written and other graphic methods to effectively communicate complex architectural theories and designs.
(LO4) The ability to resolve a brief, prepare a design strategy and concept that relates to and satisfies the ambitions of a given project.
(S1) Adaptability
(S2) Teamwork
(S3) Organisational skills
(S4) Communication skills
(S5) IT skills
(S6) International awareness
(S7) Positive attitude/ self-confidence A &#39;can-do&#39; approach, a readiness to take part and contribute; openness to new ideas and the drive to make these happen
"
Designing for A Changing Climate ,(ARCH719),Optional modules,M,15,Second Semester,0:100,"The aims of this module are (i) to provide an introduction to the physical basis of climate change; (ii) to discuss how a changing climate might impact upon the built environment; (iii) to consider what adaptation and mitigation actions can be taken to reduce this impact; (iv) to develop an understanding of how climate-resilient buildings can be designed.
","(LO1) Demonstrate knowledge and a critical understanding of the basis and impact of climate change
(LO2) Relate this knowledge and understanding to the built environment
(LO3) Apply this knowledge and understanding to a specific building design project
(LO4) Analyse, using appropriate tools, how effective the design project performs for future climates
(S1) Research skills
(S2) Information and digital literacies
(S3) Employability skills
"
Environmental Assessment Techniques ,(ARCH717),Optional modules,M,15,First Semester,0:100,"There are both regulatory and environmental pressures on architects and engineers to develop sustainable building design solutions. There are now a range of environmental assessment techniques that allow buildings to be analysed in terms of their overall sustainable performance. These techniques range from spreadsheet analysis, such as SAP, LEED and BREEAM, to very sopisticated computer modelling software, such as and DesignBuilder and Radiance. The aims of this module are (i) to provide knowledge of the type and range of environmental assessment techniques currently available; (ii) to explore how some of these techniques are used; (iii) to examine how some of these techniques can be employed to enhance the sustainable performance of a building design.
","(LO1) On successful completion of this module the student will be able to demonstrate knowledge and understanding of key concepts in environmental assessment.
(LO2) Students will be able to demonstrate familiarity with the use of building environmental modelling software.
(LO3) Students will demonstrate an awareness of how assessment techniques can inform sustainale design decisions.
"
BIM Implementation in Collaborative Environments ,(ARCH725),Optional modules,M,15,Second Semester,0:100,"The module aims to promote student’s ability to plan and build strategies towards BIM implementation on a project level, as well as on the organisational level. In addition, the module will equip students with a subtle and systematic understanding of the UK and international BIM standards to scrutinise the implementation and adoption of BIM on national and international levels.
","(LO1) Establish a profound understanding of collaboration and its fundamental role in the contemporary AEC industry.
(LO2) Demonstrate an informative understanding of the essentiality of interoperability of technologies and systems in collaborative project delivery.
(LO3) Recognise and critically appraise the role of BIM in Integrated Design, based on a thorough understanding of the UK BIM standards and principles of Integrated Project Delivery.
(LO4) Scrutinise the methods used to exchange and share data and information throughout the project and building life cycle.
(LO5) Demonstrate a critical awareness of the tools and processes associated with the articulation of performance targets and strategies which are updated throughout the process by the design, construction and maintenance teams.
(S1) Research skills.
(S2) Critical thinking and analysis.
(S3) Independent learning skills.
(S4) Written communication skills.
(S5) Oral communication skills.
(S6) Graphical communication skills.
(S7) Team working skills.
"
Parametric Design and Digital Fabrication 1 ,(ARCH729),Optional modules,M,15,First Semester,0:100,"To gain knowledge in the use of parametric modelling tools digital/fabrication techniques and apply them in the design and production of a prototype component.
","(LO1) Students will be able to demonstrate basic knowledge and application of parametric tools.
(LO2) Students will be able to demonstrate basic knowledge and application of digital fabrication techniques.
(LO3) Students will be able to demonstrate ability to present and communicate design and fabrication process.
(LO4) Students will be able to demonstrate ability to apply digital fabrication techniques in relation to meteriality.
(S1) Basic knowledge and application of parametric tools.
(S2) Basic knowledge and application of digital fabrication techniques.
(S3) Ability to present and communicate design and fabrication process.
(S4) Ability to apply digital fabrication techniques in relation to meteriality.
"
Parametric Design and Digital Fabrication 2 ,(ARCH730),Optional modules,M,15,Second Semester,0:100,"To deepen the knowledge of parametric modelling and digital fabrication techniques.
","(LO1) Students will be able to demonstrate advanced knowledge and application of parametric tools/fabrication techniques.
(LO2) Students will be able to demonstrate an advanced knowledge and application of digital fabrication techniques.
(LO3) Students will be able to demonstrate the ability to present and communicate design and fabrication demonstrate ability to present and communicate design and fabrication process.
(LO4) Students will be able to demonstrate advanced ability to apply digital fabrication techniques in relation to meteriality.
(S1) Advanced knowledge and application of parametric tools/fabrication techniques.
(S2) Advanced knowledge and application of digital fabrication techniques.
(S3) Ability to present and communicate design and fabrication process.
(S4) Advanced ability to apply digital fabrication techniques in relation to materiality.
"
Architectural Research Group Placement ,(ARCH710),Optional modules,M,15,Second Semester,0:100,"To gain an understanding of the context and nature of a particular research field in architecture.
To develop research skills in that area.
To produce a contribution to research understanding for the chosen research area.
","(LO1) To become aware of the nature of architectural research in aparticular field within the field of architecture and visual arts.
(LO2) To develop a deeperunderstanding of current research lines within that area.
(LO3) To appreciate howresearch into that particular line is undertaken, including the sources andtechniques used to carry out research.
(LO4) To apply the knowledge in an assigned task related to a contemporaryresearch issue directed by the research group.
(S1) Sector specific skills.
(S2) Critical thinking and problem solving - Creative thinking.
(S3) Research management developing a research strategy, project planning and delivery, risk management, formulating questions, selecting literature, using primary/secondary/diverse sources, collecting &amp; using data, applying research methods, applying ethics.
"
Urban Design ,(ARCH731),Optional modules,M,15,First Semester,0:100,"To introduce students to the origin, theories and key design principles of urban design; To engage students in debates on current issues and challenges faced in the discipline and wider urban environment;   To promote understanding of the design context for practice and the ways through which urban design theories, principles and best practice examples can be translated into local practice; To encourage students to think critically about urban interventions in the complex system of cities locally and globally for long-term sustainability and place-making;   To provide the opportunity for students to understand and familiarise themselves with a wide range of urban analytical techniques and methods which would benefit their master-planning studio;   To develop students’ understanding of the policy role of urban design, its implementation through the planning system and general issues about design governance.
","(LO1) After this module, students should be able to understand the key theories and principles of urban design and their influence on or applications to practice.
(LO2) Students should be able to critically discuss current issues and challenges faced in urban design in their local area.
(LO3) Students should be aware of  broader urban issues and challenges faced by other cities globally, not only in the Western context, but also in the global south.
(LO4) Students should be able to apply a variety of urban analytical techniques and methods in their practice for sustainable development and place-making.
(LO5) Students should be able to understand the process and role of urban design governance and its relationship with the planning system.
(S1) Communication skills
(S2) Global perspectives demonstrate international perspectives as professionals/citizens; locate, discuss, analyse, evaluate information from international sources; consider issues from a variety of cultural perspectives, consider ethical and social responsibility issues in international settings; value diversity of language and culture
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Literacy, application of literacy, ability to produce clear, structured written work and oral literacy – including listening and questioning.
"
Virtual Environments for Architecture ,(ARCH708),Optional modules,M,15,First Semester,0:100,"To offer the knowledge and tools that allow students to critically understand the potential of VR and VE in Architecture and the wider context of the AEC industry, and to scrutinise the VR and VE technologies within modelling workshops.
","(LO1) Demonstrate a critical understanding of the historical context of VR and VE and how they can be used as an integral part of the design process.
(LO2) Establish familiarity with a variety of VR systems; their components, features, scope and limitations.
(LO3) Demonstrate ability to investigating the potential benefits of VR systems in architecture, construction and maintenance of buildings.
(LO4) Enhance design and presentation skills through experiencing advanced software used for modelling, visualisation and animation.
(LO5) Develop the ability to structure, analyse and report on an area of investigation.
(S1) Independent learning skills.
(S2) Communication skills - written.
(S3) Communication skills - oral.
(S4) Communication skills - graphical.
(S5) Creative design skills.
(S6) 3D modelling and visualisation skills.
(S7) Team working skills.
"
