Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Climatic Design for Sustainable Architecture ,(ARCH716),Compulsory modules,M,15,First Semester,0:100,"The aims of this module are: (i) to develop a good understanding of the climate-related data and techniques that are relevant for the sustainable environmental design of buildings; (ii) to demonstrate how such designs should be carried out in a climate sensitive manner; (iii) to explain the role and importance of the microclimate between buildings; (iv) to enable students to select and use appropriate analytical tools and methodologies that can be integrated to show a holistic approach to climate sensitive design that considers climate, sustainable design,choice of materials, energy use and landscape.
","(LO1) On completion of this module students should have developed the skillsand understanding necessary to successfully undertake the followingtasks:• The design of buildings and their surroundings optimised withrespect to climate, environmental and energy issues.• The acquisition and subsequent analysis of climate information anddata in a way that informs design decisions in a successful andappropriate manner• The appraisal of building schemes from a holistic environmentaldesign point of view and the use of a variety of relevantenvironmental assessment techniques to analyse criticallyproposed and built design solutions.
"
Designing for A Changing Climate ,(ARCH719),Compulsory modules,M,15,Second Semester,0:100,"The aims of this module are (i) to provide an introduction to the physical basis of climate change; (ii) to discuss how a changing climate might impact upon the built environment; (iii) to consider what adaptation and mitigation actions can be taken to reduce this impact; (iv) to develop an understanding of how climate-resilient buildings can be designed.
","(LO1) Demonstrate knowledge and a critical understanding of the basis and impact of climate change
(LO2) Relate this knowledge and understanding to the built environment
(LO3) Apply this knowledge and understanding to a specific building design project
(LO4) Analyse, using appropriate tools, how effective the design project performs for future climates
(S1) Research skills
(S2) Information and digital literacies
(S3) Employability skills
"
Environmental Assessment Techniques ,(ARCH717),Compulsory modules,M,15,First Semester,0:100,"There are both regulatory and environmental pressures on architects and engineers to develop sustainable building design solutions. There are now a range of environmental assessment techniques that allow buildings to be analysed in terms of their overall sustainable performance. These techniques range from spreadsheet analysis, such as SAP, LEED and BREEAM, to very sopisticated computer modelling software, such as and DesignBuilder and Radiance. The aims of this module are (i) to provide knowledge of the type and range of environmental assessment techniques currently available; (ii) to explore how some of these techniques are used; (iii) to examine how some of these techniques can be employed to enhance the sustainable performance of a building design.
","(LO1) On successful completion of this module the student will be able to demonstrate knowledge and understanding of key concepts in environmental assessment.
(LO2) Students will be able to demonstrate familiarity with the use of building environmental modelling software.
(LO3) Students will demonstrate an awareness of how assessment techniques can inform sustainale design decisions.
"
Thesis : Dissertation ,(ARCH721),Compulsory modules,M,60,Whole Session,0:100,"A primary aim of this module is to offer the opportunity to submit a conventional written dissertation OR to submit a design thesis with supporting documentation on an approved topic or brief of their choice. The second of these alternatives responds to current research agendas in the field of architecture, sustainability, digital design or BIM.
To develop and practice academic skills in identifying a research topic, formulating a research design, managing the extended research process and achieving milestones, and drawing relevant policy conclusions from the research findings.
To develop a deeper understanding in depth of a relevant body of literature.
To develop analytical skills and critical thinking on current research issues.
To develop writing, presentation and bibliographic skills in preparing and submitting a high quality, fully-referenced dissertation.
","(LO1) To identify an appropriate research topic that can be investigated and reported on through sources of information that be in the form of written and/or design output.
(LO2) To manage the research process effectively within given resources and meeting milestones on time.
(LO3) To gain a deeper understanding of a particular topic in a chosen subject area.
(LO4) To form independent and objective views on issues in a specialised subject area.
(LO5) To produce a well-written, clearly presented consistently referenced and properly formatted Dissertation.
(S1) Improving own learning/performance - Reflective practice.
(S2) Improving own learning/performance - Self-awareness/self-analysis.
(S3) Improving own learning/performance - Personal action planning.
(S4) Communication (oral, written and visual) - Presentation skills - written.
(S5) Critical thinking and problem solving - Critical analysis.
(S6) Research skills - All Information skills.
"
Research Methodology ,(ARCH707),Compulsory modules,M,15,Second Semester,0:100,"This module aims to equip the student with the key skills needed to prepare a written dissertation or design thesis at postgraduate level in architecture, with visiting lecturers describing their own research and dissertation preparation and methods, with the overall aim of assisting students to select, define and launch their dissertation/thesis projects.
","(LO1) Setting up and managing a research project
(LO2) Identifying a topic and understanding the stages of developing and conducting a research project.
(LO3) Using bibliographies, referencing, citations and quotations
(LO4) Understanding the principles of preparing and performing an effective oral presentation
(S1) Improving own learning/performance - Reflective practice
(S2) Time and project management - Project planning
(S3) Research skills - All information skills
(S4) Personal attributes and qualities - Initiative
(S5) Critical thinking and problem solving - Creative thinking
"
Sustainable Environmental Design ,(ARCH734),Compulsory modules,M,30,Second Semester,0:100,"The aim of this module is to develop an understanding of the principles underpinning the environmentally sustainable design and develop skills for more sustainable design practices in areas such as passive design, sustainable construction and low impact building materials. The module recognises that sustainable development is not limited not only to environmental considerations but also to the establishment of a social, economic and cultural balance - hence, some time is spent considering the eco-refurbishment of existing buildings within their traditional communities. The module will take the form of a series of lectures and design studio tutorials that will introduce basic principles and examples of good practice. For the assignment, students will be expected to derive a design solution and an environmental strategy for a building type and site, and demonstrate both at a strategic and technological level.
","(LO1) Develop an understanding of the principles underpinning environmentally sustainable design in the wider context of sustainable development.
(LO2) Develop sustainable design skills through the completion of a comprehensive building design project that is based on clear environmental design strategies and sustainable architecture principles.
(LO3) Develop an ability to conduct an environmental assessment of own design project according to well established assessment tools.
(LO4) Develop drawing, model making and oral skills for clear communication and presentation of ideas in reviews.
(S1) Improving own learning/performance - Reflective practice.
(S2) Communication (oral, written and visual) - Presentation skills - written.
"
Net Zero Carbon Design ,(ARCH747),Compulsory modules,M,15,First Semester,0:100,"The module’s main educational aims are:
•	To introduce definitions of net zero carbon and basic concepts in net zero carbon design
•	To raise awareness of the social, economic, and technical challenges of achieving zero carbon buildings 
•	To provide knowledge and skills in net zero carbon design in the believe that employers will increasingly specify these attributes in job descriptions.
","(LO1) To demonstrate knowledge and a critical understanding of the impact of the built environment on the climate emergency
(LO2) To relate this knowledge and understanding to the historical context in which climate has influenced building design
(LO3) To display a knowledge of net carbon net zero and related concepts such as ‘embodied carbon’ and ‘life cycle analysis’
(LO4) To explain and evaluate the importance of low carbon retrofitting of the existing building stock
(S1) To demonstrate knowledge and a critical understanding of how to analyse a net zero carbon building
(S2) To communicate the development and performance of a net zero carbon building
"
Architectural Theories From 1900 to the Present ,(ARCH712),Optional modules,M,15,First Semester,0:100,"The module aims to introduce a broad framework of architectural concepts, themes and theories that have influenced the field of architecture globally from 1900 to the present. This framework can then serve as the critical foundation for design modules as well as the final 60-credit design project or dissertation.
The module also aims to introduce study, research and writing skills and methodologies and to link rigorous academic practices to real world and employment-related scenarios. Finally, the module aims to provide opportunities for the development of presentation, teamwork and time management skills via a variable and flexible seminar series and multiple activities throughout the semester.
","(LO1) Identify a range of theories that have been influential in the field of architecture from 1900 onwards.
(LO2) Recognise and discuss the significance and evolution of key concepts and themes and how these reflect the development of architectural trends from 1900 onwards.
(LO3) Evaluate the content and different perspectives of various written architectural sources.
(LO4) Research, situate historically, critique and present visually and verbally – orally and in writing – the relationship of specific theories to relevant built or unbuilt architectural projects or to the oeuvre of an architect or an architectural practice.
(LO5) Plan and manage a written project.
(LO6) Prepare a well-documented, referenced and appropriately illustrated academic essay.
(LO7) Use well-documented and referenced research in a shorter written format appropriate for real life or employment-related purposes.
(S1) Reading, research and writing skills. How this is developed: Students will be directed to University resources on these skills. They will be implicitly taught through the scrutiny placed on related issues during the module lectures, seminars and tutorials. They will also be practised in the module coursework. Students will be engaging with guided readings in preparation for seminars. Students will also be asked to do additional readings for a visual and oral presentation (summative assessment 20%). Final assessment (summative assessment 80%: essay and real world / employment-related summary) will be based on a well-researched discussion of an agreed topic in written form.
(S2) Critical thinking skills. How this is developed: These skills will be implicitly taught through the scrutiny placed on related issues during the module lectures, seminar discussions, seminar presentations, and tutorials. They will also be practised in the final module coursework. Students will be invited to critically evaluate and discuss related readings during seminars. Students will also be asked to present such a critical evaluation in a visual and oral presentation (summative assessment 20%: presentation). Final assessment (summative assessment 80%: essay and real world / employment-related summary) will be based on a well-researched critical discussion of an agreed topic.
(S3) Visual and verbal communication skills. How this is developed: Students will develop these skills through practice and received feedback during the module seminar discussions, seminar presentations, tutorials and coursework. Students will be invited to discuss readings during seminars. In selected weeks, students will also be asked to prepare a well-researched visual and oral presentation (summative assessment 20%: presentation). Final assessment (summative assessment 80%: essay and real world / employment-related summary) will be a written discussion accompanied by appropriate illustrations.
(S4) Teamwork skills. How this is developed: Students will develop these skills through practice and received feedback during the module seminar. Students will prepare at least one oral presentation within a group. They may also be invited to propose a specific format for some of the seminars and to collaborate towards planning those sessions themselves.
(S5) Time management skills. How this is developed: Students will develop these skills through practice during the module seminar discussions, seminar presentations, tutorials, self-directed study and coursework. The varied format of the module’s summative assessment (presentation, and essay and real world / employment-related summary) and the varied nature of tasks throughout the semester will require good time management.
"
Parametric Design and Digital Fabrication 1 ,(ARCH729),Optional modules,M,15,First Semester,0:100,"To gain knowledge in the use of parametric modelling tools digital/fabrication techniques and apply them in the design and production of a prototype component.
","(LO1) Students will be able to demonstrate basic knowledge and application of parametric tools.
(LO2) Students will be able to demonstrate basic knowledge and application of digital fabrication techniques.
(LO3) Students will be able to demonstrate ability to present and communicate design and fabrication process.
(LO4) Students will be able to demonstrate ability to apply digital fabrication techniques in relation to meteriality.
(S1) Basic knowledge and application of parametric tools.
(S2) Basic knowledge and application of digital fabrication techniques.
(S3) Ability to present and communicate design and fabrication process.
(S4) Ability to apply digital fabrication techniques in relation to meteriality.
"
Parametric Design and Digital Fabrication 2 ,(ARCH730),Optional modules,M,15,Second Semester,0:100,"To deepen the knowledge of parametric modelling and digital fabrication techniques.
","(LO1) Students will be able to demonstrate advanced knowledge and application of parametric tools/fabrication techniques.
(LO2) Students will be able to demonstrate an advanced knowledge and application of digital fabrication techniques.
(LO3) Students will be able to demonstrate the ability to present and communicate design and fabrication demonstrate ability to present and communicate design and fabrication process.
(LO4) Students will be able to demonstrate advanced ability to apply digital fabrication techniques in relation to meteriality.
(S1) Advanced knowledge and application of parametric tools/fabrication techniques.
(S2) Advanced knowledge and application of digital fabrication techniques.
(S3) Ability to present and communicate design and fabrication process.
(S4) Advanced ability to apply digital fabrication techniques in relation to materiality.
"
