Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Introduction to Research ,(PGSC003),Compulsory modules,M,30,Whole Session,0:100,"The aim of this module is to give students the necessary background and research skills to be able to undertake a chemical research project.
","(LO1) After completion of this module students will have developed sufficient experimental skills to be able to work in a research laboratory in the chemical sciences.
(LO2) Students will have sufficient background knowledge to be able to complete a successful chemical sciences research project. 
(LO3) Students will be able to access and critically review scientific literature.
(LO4) Students will have gained knowledge of and the ability to access relevant information on Intellectual Property Rights (IPR).
(LO5) Students will have improved their ability to plan, evaluate and reflect on their knowledge and skills in the chemical sciences, including assessing safety aspects.
(S1) Students will have developed chemistry-related cognitive abilities and skills as identified in the QAA chemistry benchmark statement including:- the skills to undertake a research project.- the ability to assimilate, evaluate and present research results objectively (note particularly in relation to results of others, rather than self)
(S2) Students will have developed chemistry-related practical skills as identified in the QAA chemistry benchmark statement including:- improved competence in the planning and design of experiments- skills required to work independently and be self-critical in the evaluation of risks and experimental procedures- improved skills in the ability to select appropriate techniques and procedures.
(S3) Students will have developed generic skills as identified in the QAA chemistry benchmark statement including:- the demonstration of self-direction.- the ability to exercise initiative and personal responsibility.- independent learning ability required for continuing professional development.
(S4) Personal attributes and qualities - Integrity
"
Pgsc004 - MSc Research Project ,(PGSC004),Compulsory modules,M,60,Summer (June-September),0:100,"The aim of this module is to give students the opportunity to work in a guided but independent fashion on an area of chemical research making use of the knowledge and skills acquired elsewhere in the programme.
","(LO1) After completion of this module students will have demonstrated an ability to contribute towards a research project in chemistry, the outcome of which is potentially publishable.
(LO2) Students will have gained project-specific knowledge of how to conduct an individual piece of chemical research.
(LO3) Students will be able to implement planned experiments, record and critically analyse data.
(LO4) Students will be able to present their research using a variety of oral and written methods.
(S1) Students will have gained chemistry-related cognitive abilities and skills identified in the QAA Chemistry benchmark statement including:- skills required to undertake a research project, the outcome of which is of a quality that is potentially publishable.- the ability to assimilate, evaluate and present research results objectively.
(S2) Students will have gained chemistry-related practical skills identified in the QAA Chemistry benchmark statement including:-the ability to select appropriate techniques and procedures.- competence in the planning, design and execution of experiments.- skills required to work independently and be self-critical in the evaluation of risks, experimental procedures and outcomes.- the ability to use an understanding of the limits of accuracy of experimental data to inform the planning of future work.
(S3) Students will have gained generic skills identified in the QAA Chemistry benchmark statement including:- problem-solving skills and the demonstration of self-direction and originality.- the ability to exercise initiative and personal responsibility.- the ability to make decisions in complex and unpredictable situations.- independent learning ability required for continuing professional development.
(S4) Research skills - Awareness of /commitment to academic integrity
"
Lanthanoid and Actinoid Chemistry ,(CHEM411),Optional modules,M,7.5,First Semester,80:20,"The aim of the module is to give students an overview of the most important aspects of the unique chemistry and spectroscopy of the lanthanide and actinide elements, illustrated with contemporary examples of the applications of their compounds in chemistry and technology.
","(LO1) Students will understand the underlying principles of lanthanoid and actinoid chemistry, and how these differ from those of d-transition metal chemistry
(LO2) Students will have an understanding of the most important aspects of spectroscopy of compounds of the lanthanoids
(LO3) Students will have an appreciation of how recent research is developing applications for the elements and their compounds
(LO4) Students will have appreciation of the strategic importance of the elements e.g. in nuclear power and sustainable energy applications
(LO5) Students will be able to read and critically evaluate research papers from the recent literature
(S1) Problem solving skills
"
Organic and Molecular Electronics ,(CHEM413),Optional modules,M,7.5,First Semester,81:19,"The aims of the module are: 
1. To show students how semiconducting organic molecules and materials can be designed and synthesised for use in a wide range of electronic devices, such as organic light-emitting diodes, thin film transistors, photovoltaic devices and sensors. 
2. To introduce the students to current topics of interest in the field of molecular electronics, the science of incorporating single molecules into electrical circuits.
","(LO1) By the end of the module, students should be able to show:
* familiarity with important structure-property relationships in pi-conjugated materials, and how these relate to their uses as organic semiconductors in different electronic devices.
* awareness of synthetic routes to the materials, and how these can limit or control their properties.
* familiarity with important parameters used to assess the performance of various organic electronic devices, such as OLEDs, OTFTs and OPVDs.
* awareness of current and possible future industrial applications of this new technology.
* awareness of concepts underlying experiments to determine the electrical properties of single molecules, and of the significance of these measurements.
* the ability to read and understand review papers from the literature in these areas.
"
Main Group Organic Chemistry ,(CHEM431),Optional modules,M,7.5,First Semester,85:15,"The aim of this module is to broaden and extend the knowledge of modern Organic Chemistry so that students will be able to enter directly into a PhD or embark on a career as a specialist chemist.
","(LO1) By the end of the module students will have achieved a solid foundation in Organic Chemistry. In particular they will have a clear understanding of Main Group Organic Chemistry and Organopalladium Chemistry and be able to give examples of their use in modern synthetic methodology.
(S1) Students will develop their chemistry-related cognitive abilities and skills, ie abilities and skills relating to intellectual tasks, including problem-solving as required by the Chemistry subject benchmark statement. In particular, at master&#39;s level, they will gain the ability to adapt and apply methodology to the solution of unfamiliar problems.
"
Asymmetric Synthesis and Synthetic Strategy ,(CHEM433),Optional modules,M,7.5,First Semester,85:15,"The aim of this module is to further broaden and extend the students&#39; knowledge of modern Organic Chemistry, so that they will be able to enter directly into a PhD programme or embark on a career as a specialist chemist. Specifically, students will learn the concepts that enable stereo control in reactions and the fundamental disconnections in organic synthesis.
","(LO1) Ability to understand and design strategies that enable the synthesis of complex organic molecules in a stereocontrolled fashion.
(S1) Critical thinking and problem-solving
(S2) critical analysis of experimental results
"
Advanced Spectroscopy (c Option) ,(CHEM451),Optional modules,M,7.5,First Semester,83:17,"This is an advanced module that aims to introduce the student to modern spectroscopic techniques and their applications in materials characterisation. Emphasis is given to three techniques, which are currently most important to chemical research both in industry and academia. The students should be able to understand the basic physical principles of these techniques and to decide which combination of techniques is best employed to tackle a particular problem of materials characterisation.
The module will deal in-depth with
- vibrational spectroscopies (infrared reflection absorption, attenuated total internal reflection and surface enhanced Raman) and their application to the study of molecules at surfaces relevant to materials characterisation, heterogeneous catalysis and nanoscience;
- X-ray photoelectron spectroscopy and its application to determine the chemical composition of interfaces.
","(LO1) Successful students should have gained an in-depth understanding of a range of advanced spectroscopies and be able to explain the physical principles of these spectroscopies, analyse spectra and be able to discuss their suitability to address certain problems of materials characterisation.
(LO2) Successful students should be able to explain surface vibrational spectroscopy (infrared absorption and surface-enhanced Raman spectroscopy), interpret spectra and apply selection rules to determine the orientation of molecules at surfaces.
(LO3) Successful students should be able to explain X-ray photoelectron spectroscopy, interpret spectra and deduce surface chemical composition based on quantitative and qualitative analysis
(LO4) Successful students should be able to critically compare different methods of spectroscopy and their suitability to tackle a particular problem in materials characterisation
(LO5) Successful students should be able to critically evaluate the use of spectroscopy to support scientific conclusions based on literature
(S1) Critical thinking and problem solving - Critical analysis
(S2) Numeracy/computational skills - Problem solving
(S3) Information skills - Critical reading
"
Electrochemistry (c Option) ,(CHEM453),Optional modules,M,7.5,First Semester,81:19,"The aim of this module is to develop the students&#39; knowledge of interfacial electrochemistry. This includes both the understanding of fundamental aspects of electrochemistry, as well as techniques for characterising surfaces under electrochemical conditions. Applications of electrochemistry will also be discussed.
","(LO1) The students be knowledgeable on what happens when an aqueous medium is in the vicinity of the surface and be able to describe the structure that occurs in an electrochemical cell. They should be able to describe how cyclic voltammetry and potential step methods can be used to analyse and understand electrochemical reactions. They should be able to perform an electrochemical kinetic analysis of simple and multistep reactions as a means of analysing the mechanism. They should be able to analyse and to answer questions on a number of electrochemical reactions such as metal deposition, electroorganic reactions and adsorption. They should be able to describe fuel cell reactions (hydrogen/air and methanol/air) and be able to analyse fuel cell polarisation curves. They should also be aware of modern spectroscopic methods employed for analysing the solid/liquid interface and be able to describe the level of detail which can be obtained through appropriate application of these techniques.
(S1) Students will develop their chemistry-related cognitive abilities and skills, ie abilities and skills relating to intellectual tasks, including problem-solving as required by the Chemistry subject benchmark statement. In particular, at master&#39;s level, they will gain the ability to adapt and apply methodology to the solution of unfamiliar problems.
"
"Molecular Modelling, Chemical Databases and Employability for MSc Students ",(CHEM473),Optional modules,M,7.5,First Semester,0:99,"• To introduce students to further molecular modelling techniques, so that they can apply molecular modelling software in studies of a variety of chemical systems. 
• To ensure that students can choose the appropriate modelling technique for a given system and are able to perform calculations and interpret the data from the calculations. 
• To remind students of chemical literature, References, Referencing, Databases, Chemical search strategy, Text based searches (Web of Science), structure based searches (Reaxys), Boolean operators, Wildcards. 
• To introduce students to other aspects of the chemical literature such as Patents, Chemical Database Service, Scifinder and crystallographic databases.
• To enhance students employability skills concerning career planning, skills review and skills profiling.
","(LO1) By the end of this module, successful students will:
• be able to predict the ground state energy and structure of isolated molecules (for relatively simple systems).
• be able to estimate equilibrium constants, rate constants and calculate transition states for simple reactions.
• be able to rationalise some aspects of reactivity (charge density, frontier orbitals).
• be able to identify an appropriate molecular modelling method relevant to their research project.
(LO2) By the end of the chemical database section of the module, a successful student will have gained: 
• the ability to perform chemical literature searches based on text and structure based searching; 
• the ability to appropriately reference a scientific document;
• knowledge and ability to view and extract structural information from X-ray structures.
(LO3) By the end of the employability section of the module, a successful student will have constructed a personalised action plan of their own employability priorities and engaged with a new activity to address their priority.
(S1) Students will develop their chemistry-related cognitive abilities and skills, ie abilities and skills relating to intellectual tasks, including problem-solving as required by the Chemistry subject benchmark statement. In particular, they will gain the ability to adapt and apply methodology to the solution of unfamiliar problems.
(S2) Communication skills
(S3) Lifelong learning skills
(S4) Organisational skills
(S5) IT skills
"
Advanced Key Skills for MSc Students ,(CHEM495),Optional modules,M,7.5,First Semester,0:100,"This module aims to develop essential skills that MSc students will need for both the duration of the programme and beyond, whether this be further education opportunities (ie., PhD) or employment in a wide range of chemical and non-chemical based sectors.
","(LO1) By the end of the molecular modelling section of the module, a successful student will have gained: 
•	a qualitative understanding of ab initio, semi-empirical and empirical models, knowing which model is suitable for a particular type of problem; 
•	some experience of modelling intermolecular forces and complexes .
(LO2) By the end of the employability section of the module, students will be able to 
* self-evaluate their employability needs
* design the types of activities they need to complete for improving employability
* deliver a presentation
* construct a portfolio of evidence
(LO3) By the end of the module, students should be able to use scientific databases effectively for literature and citation searches and to find relevant information from on-line chemical databases regarding chemical reactions, structures and properties. They should be able to apply the database skills in writing a report drawing from scientific literature.
(S1) Communication skills
(S2) Lifelong learning skills
(S3) Organisational skills
(S4) IT skills
(S5) Commercial awareness
"
