Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Media and Politics: Theories and Cases A ,(COMM764),Compulsory modules,M,30,First Semester,0:100,"The module aims to give students an appreciation of how questions of the media are placed within political studies and how questions of politics are placed within media and communication studies. It also aims to develop skills both of political and media analysis and to encourage students to understand the media-political relationship within a context of change in political culture and in media and information technology. The module will also equip students with the skill to assess and examine the power dynamics, contested representations, and consequences of media reporting of selected contemporary political conflicts. A further aim is for students to become able to scrutinise the underlying rationale for media representation and reporting of politics.
","(LO1) Students will acquire advanced knowledge and understanding of key theories and debates relating to the relationship between media and politics.
(LO2) Students will be able to critically analyse the theoretical approaches to media/politics relationship.
(LO3) Students will be able to evaluate media power through a focus on selected contemporary cases and controversies.
(LO4) Students will acquire an advanced understanding of different models of the relationship between media, society and the state.
(S1) Critical thinking and problem solving - Critical analysis.
(S2) Communication (oral, written and visual) - Presentation skills – oral.
(S3) Communication (oral, written and visual) - Presentation skills - visual.
(S4) Communication (oral, written and visual) - Academic writing (inc. referencing skills).
(S5) Research skills - Awareness of /commitment to academic integrity.
(S6) Critical thinking and problem solving - Evaluation.
"
Research Methods in Media & Politics ,(COMM747),Compulsory modules,M,15,First Semester,0:100,"To introduce students to some of the fundamental aspects of research design, including ethical considerations and procedures.
To familiarise students with a variety of approaches to political communication research.
To provide practical guidance on selecting methods appropriate to research questions in the field of political communication.
To help students to develop a number of transferable skills in project planning, critique and analysis, as well as verbal and written communication.
","(LO1) Students will acquire broad foundational knowledge of research methods design, research philosophy, and research ethics policy and practice.
(LO2) Students will be able to locate their research within its field.
(LO3) Students will understand several key approaches to political communication research.
(LO4) Students will be able to design a research project using appropriate methodology.
(S1) Information skills - critical reading
(S2) Communication (oral, written and visual) - media analysis
(S3) Time and project management - project planning
"
Media and Politics: Economy and Society A ,(COMM762),Compulsory modules,M,30,Second Semester,0:100,"This module aims to encourage students to develop a critical understanding of the economic underpinnings of media and, in particular, news production, and how these relate to and impact upon media texts, discourses, and public politics more generally. Students will be encouraged to develop a critical attitude towards media ownership, and processes/conventions of media production in capitalist societies. Further, they will be given opportunities to analyse the ways in which these influences manifest themselves in media texts and, by extension, in political culture and public opinion. Students will be encouraged to develop a critical and analytical understanding of various media discourses affected by neoliberal thought, populist rhetoric, and political partisanship. Students will develop a basic understanding of media effects research, in particular as regards the use of experimental designs and regression analyses.
","(LO1) Students will have understanding of economic theories of news production and the relationship of media and communication with a neoliberal, capitalist system.
(LO2) Students will have understanding of economic media production contexts and their bearing on offline and online media discourses and, by extension, political culture and public opinion.
(LO3) Students will have understanding of current trends and developments in media technology, business logics, and media use, and their implications for democratic politics.
(LO4) Students will have understanding of approaches to studying citizens’ media use and its effects on political knowledge, attitudes, and participation.
(S1) Critical thinking and problem solving - Critical analysis.
(S2) Critical thinking and problem solving - Evaluation.
(S3) Communication (oral, written and visual) - Influencing skills – argumentation.
(S4) Communication (oral, written and visual) - Presentation skills – visual.
(S5) Communication (oral, written and visual) - Academic writing (including referencing skills).
(S6) Research skills - Awareness of /commitment to academic integrity.
(S7) Global citizenship - Relevant economic/political understanding.
"
Dissertation ,(COMM716),Compulsory modules,M,60,Summer (June-September),0:100,"1. To construct an extended and original research project on an appropriate topic which is clear and realistic in scope and seeks to make a distinct contribution both to the student’s own learning and to debates within their chosen field.
2. To enable students to further develop their independent research skills.
3. To enable students to develop professional standards for the presentation of research material.
","(LO1) Students will be encouraged to demonstrate a deep knowledge and understanding of the chosen topic and a critical awareness of the relationship of their own research to other work in the field.
(LO2) Students will be encouraged to identify and use appropriate research methods of research and data collection, with awareness of ethical implications.
(LO3) Students will be encouraged to identify core theoretical and conceptual approaches in the study of media and communications.
(LO4) Students will be encouraged to construct a coherent and sustained argument as appropriate to the research project and method of enquiry and to present it in appropriate academic format to a professional standard.
(S1) Proficiency in digital resources and tools for research as required by the chosen research project.
(S2) Time and project management, and autonomous organisation of work.
(S3) Understanding and application of appropriate terminology and analytical criteria.
(S4) Identifying and accessing relevant sources of information and materials.
"
"Big Data and Society B: Foundations, Politics, and Policy ",(COMM752),Optional modules,M,15,First Semester,0:100,"This module aims to introduce students to the study of online media and platforms, with a particular focus on ‘big’ social trace data. As well as developing their understanding of how Internet-based media systems work, students will learn about the strengths and weaknesses of using big data for social science research, and engage with key online political communication policy questions.
","(LO1) Students will learn about the interactions between the media, platforms, and citizens.
(LO2) Students will develop their understanding of how digital data is generated, collected and used in the modern world.
(LO3) Students will understand key current debates around media, data and society.
(S1) Students will develop their skills in building an argument, selecting appropriate sources, and academic writing.
(S2) Students will be able to link key public policy questions to social science research approaches that could help practically address them.
(S3) Students will develop skills in critically engaging with evidence.
"
Fundamentals of Strategic Communication B ,(COMM517),Optional modules,M,15,First Semester,0:100,"The module aims at providing students with:
•	Advanced knowledge of the multidisciplinary study of strategic communication and gain familiarity with crucial concepts in fields such as public relations and corporate communication, (strategic) management, discourse studies, marketing and advertising. 
•	Critical understanding of the functions and impact of strategic communication in contemporary organisations, institutions and society at large. 
•	Familiarity with the different contexts of strategic communication, in particular crisis communication, issue and reputation management
•	Ability to analyse strategic communication contexts by identifying goals, audiences-stakeholders and institutional constraints within different communicative situations.
","(LO1) Students will acquire advanced knowledge of the multidisciplinary study of strategic communication and gain familiarity with crucial concepts in fields such as public relations and corporate communication, (strategic) management, discourse studies, marketing and advertising.
(LO2) Students will demonstrate critical understanding of the functions and impact of strategic communication in contemporary organisations, institutions and society at large.
(LO3) Students will demonstrate familiarity with the domain of crisis communication, issue and reputation management and other contexts of strategic communication.
(LO4) Students will be able to critically examine and explain strategic communication issues and cases through a rigorous application of academic concepts and methods.
(S1) Use of relevant theories for the critical understanding of strategic communication processes.
(S2) Ability to analyse and critically assess strategic communication phenomena.
(S3) Communication and presentation skills including clarifying and explaining concepts, defending and justifying opinions, anticipating and addressing critical questions, visualising knowledge effectively.
"
Introduction to Data Science B ,(COMM767),Optional modules,M,15,First Semester,0:100,"At the end of the module, students will have a good understanding of the theory and application of major techniques used in data science.  They will develop core skills in computer coding which they will make further use of in the rest of their programme.  The module will also prepare them for future positions in research and industry, where data science and coding skills are in growing demand.  The module will be taught and assessed to reflect the emphasis on gaining practical coding skills, underpinned by theoretical understanding.
","(LO1) Demonstrate knowledge of the data lifecycle in the context of data science and communication.
(LO2) Use programming concepts such as variables, conditional statements, loops and functions.
(LO3) Know how to collect and process data from a range of sources.
(LO4) Select and apply suitable methods to analyse and visualise data to investigate and solve problems.
(S1) Numeracy/computational skills - Confidence/competence in measuring and using numbers
(S2) Skills in using technology - Information accessing
(S3) Problem solving – analysing facts and situations and applying creative thinking to develop appropriate solutions
(S4) Communication (oral, written and visual) - Presentation skills - written
"
Screen Cultures B ,(COMM744),Optional modules,M,15,First Semester,0:100,"1.	To introduce students to screen cultures as they are formed through the historical, industrial, and political contexts of production and reception. 
2.	To encourage students to develop advanced moving image analysis skills and use them to differentiate between the forms and practices within a diverse range of screen cultures.
3.	To introduce key concepts and key theories in the study of screen cultures as they are historically, culturally, and politically situated.
4.	To encourage students to widen their knowledge and understanding of diversity in cinema through the study of marginal and alternative screen cultures.
","(LO1) Students will demonstrate a detailed knowledge of a range of dominant and marginal screen cultures.
(LO2) Students will demonstrate familiarity with advanced concepts and debates in film studies.
(LO3) Students will demonstrate skills in advanced moving image analysis.
(S1) Researching and locating materials through the effective use of library and information services, bibliographies and electronic sources of knowledge and information
(S2) Academic writing
(S3) Creative thinking and writing techniques
(S4) Time management and project planning
"
Understanding Media Change B ,(COMM757),Optional modules,M,15,First Semester,0:100,"1. To familiarise students with philosophical and theoretical approaches that will have relevance beyond the module.
2. To enable students to critically interrogate claims made about ‘new’ and outmoded media forms and platforms, and to distinguish moments of key cultural, social and technical change.
3. To equip students with critical understanding of media, particularly in relation to technology and technological progress.
4. To expand students’ historical awareness and introduce them to a range of sources and archives through which they can learn about past media forms.
","(LO1) Students will gain a familiarity with philosophical and theoretical approaches that will have relevance beyond the module
(LO2) Students will gain an ability to critically interrogate claims made about ‘new’ and outmoded media forms and platforms, and to distinguish moments of key cultural, social and technical change.
(LO3) Students will gain a critical understanding of ideas about media, particularly in relation to technology and technological progress.
(LO4) Students will gain an historical awareness and familiarity with  a range of sources and archives through which they can learn about past media forms.
(S1) Further develop critical thinking
(S2) Develop critical writing ability
(S3) Archival research and historiographic skills
(S4) Close reading and analysis
"
"Contemporary Anti-slavery, Forced Labour and Human Rights ",(POLI150),Optional modules,M,15,Second Semester,0:100,"To develop students’ familiarity with contemporary examples of human exploitation analogous with slavery;
To develop students’ analysis of current practice and assist them in drawing reasoned conclusions for future action ;
To contribute to the process of developing anti-slavery and anti-trafficking strategies, amongst governments and NGOs, and raising awareness of issues related to their development .
","(LO1) Analyse theoretical approaches to contemporary forms of ‘slavery’ and human exploitation.
(LO2) Evaluate the role of scholarly concepts, rhetorical analogies, legal definitions and national or international legislation in identifying and eliminating forms of modern ‘slavery’.
(LO3) Formulate conclusions regarding the role of current practice and the potential for future development in a specific area of voluntary, legislative or enforcement efforts to end contemporary ‘slaveries’.
(S1) Information skills - Information accessing:[Locating relevant information] [Identifying and evaluating information sources]
(S2) Critical thinking and problem solving - Critical analysis
(S3) Critical thinking and problem solving - Synthesis
(S4) Communication (oral, written and visual) - Presentation skills - written
(S5) Communication (oral, written and visual) - Presentation skills – oral
"
