Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Screen Cultures A ,(COMM743),Compulsory modules,M,30,First Semester,0:100,"1.	To introduce students to screen cultures as they are formed through the historical, industrial, and political contexts of production and reception. 
2.	To encourage students to develop advanced moving image analysis skills and use them to differentiate between the forms and practices within a diverse range of screen cultures.
3.	To introduce key concepts and key theories in the study of screen cultures as they are historically, culturally, and politically situated.
4.	To encourage students to widen their knowledge and understanding of diversity in cinema through the study of marginal and alternative screen cultures.
","(LO1) Students will demonstrate a detailed knowledge of a range of dominant and marginal screen cultures.
(LO2) Students will demonstrate familiarity with advanced concepts and debates in film studies.
(LO3) Students will demonstrate skills in advanced moving image analysis.
(LO4) Students will demonstrate a practical ability to facilitate a workshop discussion.
(S1) Researching and locating materials through the effective use of library and information services, bibliographies and electronic sources of knowledge and information
(S2) Academic writing
(S3) Creative thinking and writing techniques
(S4) Time management and project planning
"
Researching Screen ,(COMM749),Compulsory modules,M,15,First Semester,0:100,"1.	To foster a thorough understanding of the fundamental principles that underpin and the main elements that comprise an academic research project (research design, philosophy, ethics, practice)
2.	To outline a range of research methods in screen media studies research informed by arts, humanities and cultural studies approaches
3.	To enable students to understand and critique the methodological approaches used within the interdisciplinary environment of screen studies
4.	To train students to identify the most appropriate methods for any given research topic in the field of screen studies
5.	To develop transferable skills (devising a research project, presenting and justifying it to your peers, locating and retrieving area specific sources, writing it up as an advanced piece of research)
","(LO1) Students will acquire broad foundational knowledge of research methods design, research philosophy and research ethics policy and practice.
(LO2) Student will demonstrate knowledge of a variety of methods in screen media studies research informed by arts, humanities and cultural studies approaches
(LO3) Students will be able to understand, evaluate and critique methodological approaches used within the interdisciplinary environment of screen studies
(LO4) Students will be able to choose the most appropriate methods for a research project they will develop with the field of screen studies
(S1) Devising a research project, presenting and justifying it to your peers, locating and retrieving area specific sources, writing it up as an advanced piece of research
(S2) Identifying and accessing area specific sources of information and materials
(S3) Developing literacy in terms of an ability to produce clear, structured written work
(S4) Developing proficiency in using digital resources and tools for research as required by the chosen project
"
Screen Industries A ,(COMM745),Compulsory modules,M,30,Second Semester,0:100,"1.	To provide students with an understanding of the organizational and operational logic of screen industries in the 21st century
2.	To examine debates and ideas about the role and nature of screen industries as they operate in a converged and global media environment
3.	To investigate working and other professional practices in screen industries and the cultures that produce and cultivate them
4.	To understand the political, economic, social, cultural and other contexts that shape the environment within which screen industries operate
","(LO1) Demonstrate an understanding of the distinct organizational and operational logic that characterizes film, television and video game industries in the 21st century
(LO2) Demonstrate an ability to interrogate how political, economic, social, cultural and other contexts shape the environment within which screen industries operate
(LO3) Demonstrate a critical awareness of working and other professional practices in screen industries and the cultures that produce and cultivate them
(LO4) Demonstrate an ability to engage critically with debates about the nature of screen industries in the increasingly converged and global media environment within which they operate and evolve
(S1) Researching and locating materials through the effective use of library and information services, bibliographies and electronic sources of knowledge and information
(S2) Academic writing
(S3) Creative thinking and writing techniques
(S4) Time management and project planning
"
Dissertation ,(COMM716),Compulsory modules,M,60,Summer (June-September),0:100,"1. To construct an extended and original research project on an appropriate topic which is clear and realistic in scope and seeks to make a distinct contribution both to the student’s own learning and to debates within their chosen field.
2. To enable students to further develop their independent research skills.
3. To enable students to develop professional standards for the presentation of research material.
","(LO1) Students will be encouraged to demonstrate a deep knowledge and understanding of the chosen topic and a critical awareness of the relationship of their own research to other work in the field.
(LO2) Students will be encouraged to identify and use appropriate research methods of research and data collection, with awareness of ethical implications.
(LO3) Students will be encouraged to identify core theoretical and conceptual approaches in the study of media and communications.
(LO4) Students will be encouraged to construct a coherent and sustained argument as appropriate to the research project and method of enquiry and to present it in appropriate academic format to a professional standard.
(S1) Proficiency in digital resources and tools for research as required by the chosen research project.
(S2) Time and project management, and autonomous organisation of work.
(S3) Understanding and application of appropriate terminology and analytical criteria.
(S4) Identifying and accessing relevant sources of information and materials.
"
"Big Data and Society B: Foundations, Politics, and Policy ",(COMM752),Optional modules,M,15,First Semester,0:100,"This module aims to introduce students to the study of online media and platforms, with a particular focus on ‘big’ social trace data. As well as developing their understanding of how Internet-based media systems work, students will learn about the strengths and weaknesses of using big data for social science research, and engage with key online political communication policy questions.
","(LO1) Students will learn about the interactions between the media, platforms, and citizens.
(LO2) Students will develop their understanding of how digital data is generated, collected and used in the modern world.
(LO3) Students will understand key current debates around media, data and society.
(S1) Students will develop their skills in building an argument, selecting appropriate sources, and academic writing.
(S2) Students will be able to link key public policy questions to social science research approaches that could help practically address them.
(S3) Students will develop skills in critically engaging with evidence.
"
Fundamentals of Strategic Communication B ,(COMM517),Optional modules,M,15,First Semester,0:100,"The module aims at providing students with:
•	Advanced knowledge of the multidisciplinary study of strategic communication and gain familiarity with crucial concepts in fields such as public relations and corporate communication, (strategic) management, discourse studies, marketing and advertising. 
•	Critical understanding of the functions and impact of strategic communication in contemporary organisations, institutions and society at large. 
•	Familiarity with the different contexts of strategic communication, in particular crisis communication, issue and reputation management
•	Ability to analyse strategic communication contexts by identifying goals, audiences-stakeholders and institutional constraints within different communicative situations.
","(LO1) Students will acquire advanced knowledge of the multidisciplinary study of strategic communication and gain familiarity with crucial concepts in fields such as public relations and corporate communication, (strategic) management, discourse studies, marketing and advertising.
(LO2) Students will demonstrate critical understanding of the functions and impact of strategic communication in contemporary organisations, institutions and society at large.
(LO3) Students will demonstrate familiarity with the domain of crisis communication, issue and reputation management and other contexts of strategic communication.
(LO4) Students will be able to critically examine and explain strategic communication issues and cases through a rigorous application of academic concepts and methods.
(S1) Use of relevant theories for the critical understanding of strategic communication processes.
(S2) Ability to analyse and critically assess strategic communication phenomena.
(S3) Communication and presentation skills including clarifying and explaining concepts, defending and justifying opinions, anticipating and addressing critical questions, visualising knowledge effectively.
"
Introduction to Data Science B ,(COMM767),Optional modules,M,15,First Semester,0:100,"At the end of the module, students will have a good understanding of the theory and application of major techniques used in data science.  They will develop core skills in computer coding which they will make further use of in the rest of their programme.  The module will also prepare them for future positions in research and industry, where data science and coding skills are in growing demand.  The module will be taught and assessed to reflect the emphasis on gaining practical coding skills, underpinned by theoretical understanding.
","(LO1) Demonstrate knowledge of the data lifecycle in the context of data science and communication.
(LO2) Use programming concepts such as variables, conditional statements, loops and functions.
(LO3) Know how to collect and process data from a range of sources.
(LO4) Select and apply suitable methods to analyse and visualise data to investigate and solve problems.
(S1) Numeracy/computational skills - Confidence/competence in measuring and using numbers
(S2) Skills in using technology - Information accessing
(S3) Problem solving – analysing facts and situations and applying creative thinking to develop appropriate solutions
(S4) Communication (oral, written and visual) - Presentation skills - written
"
Media and Politics: Theories and Cases B ,(COMM765),Optional modules,M,15,First Semester,0:100,"The module aims to give students an appreciation of how questions of the media are placed within political studies and how questions of politics are placed within media and communication studies. It also aims to develop skills both of political and media analysis and to encourage students to understand the media-political relationship within a context of change in political culture and in media and information technology. The module will also equip students with the skill to assess and examine the power dynamics, contested representations, and consequences of media reporting of selected contemporary political conflicts. A further aim is for students to become able to scrutinise the underlying rationale for media representation and reporting of politics.
","(LO1) Students will acquire advanced knowledge and understanding of key theories and debates relating to the relationship between media and politics.
(LO2) Students will be able to critically analyse the theoretical approaches to media/politics relationship.
(LO3) Students will be able to evaluate media power through a focus on selected contemporary cases and controversies.
(LO4) Students will acquire an advanced understanding of different models of the relationship between media, society and the state.
(S1) Critical thinking and problem solving - Critical analysis.
(S2) Communication (oral, written and visual) - Academic writing (inc. referencing skills).
(S3) Research skills - Awareness of /commitment to academic integrity.
(S4) Critical thinking and problem solving - Evaluation.
"
Understanding Media Change B ,(COMM757),Optional modules,M,15,First Semester,0:100,"1. To familiarise students with philosophical and theoretical approaches that will have relevance beyond the module.
2. To enable students to critically interrogate claims made about ‘new’ and outmoded media forms and platforms, and to distinguish moments of key cultural, social and technical change.
3. To equip students with critical understanding of media, particularly in relation to technology and technological progress.
4. To expand students’ historical awareness and introduce them to a range of sources and archives through which they can learn about past media forms.
","(LO1) Students will gain a familiarity with philosophical and theoretical approaches that will have relevance beyond the module
(LO2) Students will gain an ability to critically interrogate claims made about ‘new’ and outmoded media forms and platforms, and to distinguish moments of key cultural, social and technical change.
(LO3) Students will gain a critical understanding of ideas about media, particularly in relation to technology and technological progress.
(LO4) Students will gain an historical awareness and familiarity with  a range of sources and archives through which they can learn about past media forms.
(S1) Further develop critical thinking
(S2) Develop critical writing ability
(S3) Archival research and historiographic skills
(S4) Close reading and analysis
"
Redefining Television ,(COMM750),Optional modules,M,15,Second Semester,0:100,"1.	To provide students with an understanding of the nature, role and function of television as a medium in the 21st century.
2.	To give students the opportunity to engage in debates about what constitutes television in a rapidly changing technological climate.
3.	To provide students with knowledge about television, VOD streaming and online platforms in a global context.
4.	To develop students’ critical and theoretical capabilities by analysing television texts through intersecting issues including genre, identity politics, promotional culture and the role of the industry.
","(LO1) Students will gain an understanding of the role, function and form of television in the 21st century, changes in the industry and relationships to the politics of representation facilitated by VOD.
(LO2) Students will gain an ability to critique television texts and their forms in terms of genre, history, identity politics and industrial perspectives.
(LO3) Students will gain an ability to both deconstruct, and write, theoretically reflective pieces about TV and their own viewing practices.
(LO4) Students will gain an understanding of algorithmic viewing and marketing.
(S1) Researching and locating materials through the effective use of library and information services, bibliographies and electronic sources of knowledge and information.
(S2) Critical evaluation of academic and TV texts.
(S3) Academic writing.
(S4) Creative thinking and writing techniques.
(S5) Time management and project planning.
"
