Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Fundamentals of Strategic Communication ,(COMM518),Compulsory modules,M,30,First Semester,0:100,"The module aims at providing students with:
•	advanced knowledge of the multidisciplinary study of strategic communication and familiarity with crucial concepts in fields such as public relations and corporate communication, (strategic) management, discourse studies, marketing and advertising. 
•	critical understanding of the functions and impact of strategic communication in contemporary organisations, institutions and society at large. 
•	familiarity with the different contexts of strategic communication (e.g. financial communication, managerial communication, crisis communication, sustainability communication, etc.).
•	ability to analyse strategic communication contexts by identifying goals, audiences-stakeholders and institutional constraints within different communicative situations.
","(LO1) Students will acquire advanced knowledge of the multidisciplinary study of strategic communication and gain familiarity with crucial concepts in fields such as public relations and corporate communication, (strategic) management, discourse studies, marketing and advertising.
(LO2) Students will demonstrate critical understanding of the functions and impact of strategic communication in contemporary organisations, institutions and society at large.
(LO3) Student will demonstrate familiarity with the different contexts of strategic communication (e.g. financial communication, managerial communication, crisis communication, sustainability communication).
(LO4) Students will be able to critically examine and explain strategic communication issues and cases through a rigorous application of academic concepts and methods.
(S1) Use of relevant theories for the critical understanding of strategic communication processes.
(S2) Ability to analyse and critically assess strategic communication phenomena.
(S3) Communication skills including clarifying and explaining concepts, defending and justifying opinions, anticipating and addressing critical questions.
(S4) Critical thinking and analysis, including justifying interpretation and evaluation of strategic communication phenomena, constructing rigorous and convincing arguments.
"
Research Methods for Strategic Communication ,(COMM523),Compulsory modules,M,15,First Semester,0:100,"The module had the following aims:
1.	To introduce students to principles and methods of academic research in communication and media, with a particular focus on the field of strategic communication studies. 
2.	To provide students with research methods knowledge and skills to undertake independent research 
3.	To support student in planning and preparing their dissertation project
4.	To give students critical awareness of issues of research ethics and familiarity with the procedures needed for undertaking ethically compliant research
","(LO1) Students will gain critical understanding of the importance of rigorous methods in academic research
(LO2) Students will learn how to identify research problems and formulate relevant questions and hypotheses
(LO3) Students will learn how to select appropriate methods and data to investigate a research problem
(LO4) Students will learn how to discuss and present research results
(LO5) Students will gain awareness of ethical implications of social research
(LO6) Students will have the ability to prepare and outline a dissertation proposal
(S1) Numeracy (application of) manipulation of numbers, general mathematical awareness and its application in practical contexts (e.g. measuring, weighing, estimating and applying formulae)
(S2) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions
(S3) Research management developing a research strategy, project planning and delivery, risk management, formulating questions, selecting literature, using primary/secondary/diverse sources, collecting &amp; using data, applying research methods, applying ethics
(S4) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S5) Positive attitude/ self-confidence A &#39;can-do&#39; approach, a readiness to take part and contribute; openness to new ideas and the drive to make these happen
"
Argumentation and Influencing Strategies ,(COMM519),Compulsory modules,M,30,Second Semester,0:100,"The module aims at providing students with:
•	advanced knowledge of argumentation and rhetorical theories for the study of strategic communication
•	theory-driven analytical methods for the critical examination of arguments manifested in different genres of strategic communication, with a focus on online and digital communication strategies
•	key concepts and instruments for the design of effective and reasonable argumentation strategies
•	critical understanding of issues of persuasion and public trust in strategic communication
","(LO1) Students will acquire advanced knowledge of argumentation and rhetorical theories for the study of strategic communication
(LO2) Students will acquire advanced theory-driven analytical methods for the critical examination of arguments manifested in different genres of strategic communication, with a focus on online and digital communication strategies
(LO3) Students will familiarise themselves with key concepts and instruments for the design of effective and reasonable argumentation strategies
(LO4) Students will develop critical understanding of issues of persuasion and public trust in strategic communication
(S1) Use of relevant theories and concepts for the critical analysis of argumentation and persuasion processes in organisational and media discourse, including ability to distinguish facts, opinions and arguments
(S2) Critical thinking for managing controversial decision-making problems
(S3) Skills in written argumentation and rhetoric for the strategic planning of persuasive communications.
(S4) Ability to offer strategic advice to organisations on communication issues and initiatives
(S5) Ability to use digital tools for the analysis and visualisation of strategic communication
"
Dissertation ,(COMM716),Compulsory modules,M,60,Summer (June-September),0:100,"1. To construct an extended and original research project on an appropriate topic which is clear and realistic in scope and seeks to make a distinct contribution both to the student’s own learning and to debates within their chosen field.
2. To enable students to further develop their independent research skills.
3. To enable students to develop professional standards for the presentation of research material.
","(LO1) Students will be encouraged to demonstrate a deep knowledge and understanding of the chosen topic and a critical awareness of the relationship of their own research to other work in the field.
(LO2) Students will be encouraged to identify and use appropriate research methods of research and data collection, with awareness of ethical implications.
(LO3) Students will be encouraged to identify core theoretical and conceptual approaches in the study of media and communications.
(LO4) Students will be encouraged to construct a coherent and sustained argument as appropriate to the research project and method of enquiry and to present it in appropriate academic format to a professional standard.
(S1) Proficiency in digital resources and tools for research as required by the chosen research project.
(S2) Time and project management, and autonomous organisation of work.
(S3) Understanding and application of appropriate terminology and analytical criteria.
(S4) Identifying and accessing relevant sources of information and materials.
"
"Big Data and Society B: Foundations, Politics, and Policy ",(COMM752),Optional modules,M,15,First Semester,0:100,"This module aims to introduce students to the study of online media and platforms, with a particular focus on ‘big’ social trace data. As well as developing their understanding of how Internet-based media systems work, students will learn about the strengths and weaknesses of using big data for social science research, and engage with key online political communication policy questions.
","(LO1) Students will learn about the interactions between the media, platforms, and citizens.
(LO2) Students will develop their understanding of how digital data is generated, collected and used in the modern world.
(LO3) Students will understand key current debates around media, data and society.
(S1) Students will develop their skills in building an argument, selecting appropriate sources, and academic writing.
(S2) Students will be able to link key public policy questions to social science research approaches that could help practically address them.
(S3) Students will develop skills in critically engaging with evidence.
"
Digital Marketing ,(ULMS855),Optional modules,M,15,First Semester,0:100,"This module aims to provide students with the knowledge and expertise to enhance their careers in the digital marketing age. In addition to nurturing the digital marketing practitioner skills required by employers in areas such as website analytics and social media metrics, it is intended to build upon and widen the agenda for research into contemporary marketing communications.
","(LO1) Develop a critical awareness of the main digital marketing tools;
(LO2) Appreciate the theoretical underpinnings of digital marketing;
(LO3) Develop awareness and knowledge of the role of online marketers;
(LO4) Demonstrate understanding of digital marketing communications strategy.
(S1) Problem solving skills. Via interactive discussions in tutorials.
(S2) Commercial awareness. Commercial awareness is a crucial component of the overall teaching and learning experience of the module.
(S3) Teamwork. Teamworking skills are developed through formative assessment in seminar sessions.
(S4) Communication skills. Nurturing of communication skills is a crucial component of the overall teaching and learning experience of the module.
(S5) IT skills. IT literacy skills are developed through tutorial activities related to digital marketing.
"
Introduction to Data Science B ,(COMM767),Optional modules,M,15,First Semester,0:100,"At the end of the module, students will have a good understanding of the theory and application of major techniques used in data science.  They will develop core skills in computer coding which they will make further use of in the rest of their programme.  The module will also prepare them for future positions in research and industry, where data science and coding skills are in growing demand.  The module will be taught and assessed to reflect the emphasis on gaining practical coding skills, underpinned by theoretical understanding.
","(LO1) Demonstrate knowledge of the data lifecycle in the context of data science and communication.
(LO2) Use programming concepts such as variables, conditional statements, loops and functions.
(LO3) Know how to collect and process data from a range of sources.
(LO4) Select and apply suitable methods to analyse and visualise data to investigate and solve problems.
(S1) Numeracy/computational skills - Confidence/competence in measuring and using numbers
(S2) Skills in using technology - Information accessing
(S3) Problem solving – analysing facts and situations and applying creative thinking to develop appropriate solutions
(S4) Communication (oral, written and visual) - Presentation skills - written
"
Media and Politics: Theories and Cases B ,(COMM765),Optional modules,M,15,First Semester,0:100,"The module aims to give students an appreciation of how questions of the media are placed within political studies and how questions of politics are placed within media and communication studies. It also aims to develop skills both of political and media analysis and to encourage students to understand the media-political relationship within a context of change in political culture and in media and information technology. The module will also equip students with the skill to assess and examine the power dynamics, contested representations, and consequences of media reporting of selected contemporary political conflicts. A further aim is for students to become able to scrutinise the underlying rationale for media representation and reporting of politics.
","(LO1) Students will acquire advanced knowledge and understanding of key theories and debates relating to the relationship between media and politics.
(LO2) Students will be able to critically analyse the theoretical approaches to media/politics relationship.
(LO3) Students will be able to evaluate media power through a focus on selected contemporary cases and controversies.
(LO4) Students will acquire an advanced understanding of different models of the relationship between media, society and the state.
(S1) Critical thinking and problem solving - Critical analysis.
(S2) Communication (oral, written and visual) - Academic writing (inc. referencing skills).
(S3) Research skills - Awareness of /commitment to academic integrity.
(S4) Critical thinking and problem solving - Evaluation.
"
Screen Cultures B ,(COMM744),Optional modules,M,15,First Semester,0:100,"1.	To introduce students to screen cultures as they are formed through the historical, industrial, and political contexts of production and reception. 
2.	To encourage students to develop advanced moving image analysis skills and use them to differentiate between the forms and practices within a diverse range of screen cultures.
3.	To introduce key concepts and key theories in the study of screen cultures as they are historically, culturally, and politically situated.
4.	To encourage students to widen their knowledge and understanding of diversity in cinema through the study of marginal and alternative screen cultures.
","(LO1) Students will demonstrate a detailed knowledge of a range of dominant and marginal screen cultures.
(LO2) Students will demonstrate familiarity with advanced concepts and debates in film studies.
(LO3) Students will demonstrate skills in advanced moving image analysis.
(S1) Researching and locating materials through the effective use of library and information services, bibliographies and electronic sources of knowledge and information
(S2) Academic writing
(S3) Creative thinking and writing techniques
(S4) Time management and project planning
"
Understanding Media Change B ,(COMM757),Optional modules,M,15,First Semester,0:100,"1. To familiarise students with philosophical and theoretical approaches that will have relevance beyond the module.
2. To enable students to critically interrogate claims made about ‘new’ and outmoded media forms and platforms, and to distinguish moments of key cultural, social and technical change.
3. To equip students with critical understanding of media, particularly in relation to technology and technological progress.
4. To expand students’ historical awareness and introduce them to a range of sources and archives through which they can learn about past media forms.
","(LO1) Students will gain a familiarity with philosophical and theoretical approaches that will have relevance beyond the module
(LO2) Students will gain an ability to critically interrogate claims made about ‘new’ and outmoded media forms and platforms, and to distinguish moments of key cultural, social and technical change.
(LO3) Students will gain a critical understanding of ideas about media, particularly in relation to technology and technological progress.
(LO4) Students will gain an historical awareness and familiarity with  a range of sources and archives through which they can learn about past media forms.
(S1) Further develop critical thinking
(S2) Develop critical writing ability
(S3) Archival research and historiographic skills
(S4) Close reading and analysis
"
