Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Research Methods in Computer Science ,(COMP516),Compulsory modules,M,15,First Semester,0:100,"1. To provide a deep and systematic understanding of the nature and conduct of CS research.
2. To enhance existing transferable key skills.
3. To develop high order transferable key skills.
4. To equip students with the ability to undertake independent research.
5. To remind students of the Legal, Social, Ethical and Professional (LSEP) issues applicable to the computer industry.
","(LO1) Have an understanding of how established techniques of research and enquiry are used to extend, create and interpret knowledge in Computer Science.
(LO2) Have a conceptual understanding sufficient to:(i) evaluate critically current research and advanced scholarship in Computer Science and (ii) propose possible alternative directions for further work.
(LO3) Be able to: (i) deal with complex issues at the forefront of the academic discipline of Computer Science in a manner, based on sound judgements, that is both systematic and creative, (ii) demonstrate self-direction and originality in tackling and solving problems within the domain of Computer Science, (iii) act autonomously in planning and implementing solutions in a professional manner and (iv) define, plan, and/or carry out a project related to research and to communicate conclusions clearly to both specialists and non-specialists.
(LO4) Make use of the qualities and transferable skills necessary for employment requiring:(i) the exercise of initiative and personal responsibility, (ii) decision making in complex and unpredictable situations, (iii) scientific risk identification, assessment and control, and (iv) the independent learning ability required for continuing professional development.
(LO5) Understand and participate within the professional, legal, social and ethical framework within which they would be expected to operate as professionals within the IT industry.
(LO6) Have the skills set to be able to continue to advance their knowledge and understanding, and to develop new skills to a high level, with respect to continuing professional development as a &#34;self-directed life-long learner&#34; across the discipline of Computer Science.
(S1) Communication (oral, written and visual) - Presentation skills – oral
(S2) Communication (oral, written and visual) - Listening skills
(S3) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S4) Time and project management - Project planning
(S5) Research skills - Ethical awareness
"
MSc Project ,(COMP702),Compulsory modules,M,60,Whole Session,0:100,"To give students the opportunity to work in a guided but independent fashion to explore a substantial problem in depth, making practical use of principles, techniques and methodologies acquired elsewhere in the programme.  
To give experience of carrying out a large piece of individual work and in producing a dissertation.  
To enhance communication skills, both oral and written.
","(LO1) After completing the module students should be able to: Investigate and specify a substantial problem in the domain of Computer Science, to place it in the context of related work including, as appropriate, Computer Science reserach, and to produce a plan to address this problem
(LO2) Make use of the qualities and transferable skills necessary for the conduct of a Computer Science project: (i) the exercise of initiative and personal responsibility, (ii) decision making in complex situations, (iii) risk identification (including, as appropriate, commercial and scientific risk), assessment and control, and (iv) the independent learning ability required for continuing professional development
(LO3) Demonstrate effective time management, self-direction and originality in carrying out a project in the domain of Computer Science
(LO4) Locate and make use of information relevant to a given IT project
(LO5) Design a solution to a substantial IT problem
(LO6) Implement and test potential solutions to IT problems
(LO7) Evaluate critically, as relevant to the project, current research and advanced scholarship in Computer Science, evaluate their own work, and participate effectively in the process of peer review of other projects
(LO8) Conduct and evaulate critically the project within the professional, legal, social and ethical framework in Computer Science and Sortware Engineering
(LO9) Prepare and deliver formal presentations
(LO10) Prepare and deliver a demonstration of software
(LO11) Structure and write a dissertation describing their project
(S1) Communication (oral, written and visual) - Presentation skills – oral
(S2) Communication (oral, written and visual) - Presentation skills - written
(S3) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S4) Time and project management - Project planning
(S5) Critical thinking and problem solving - Critical analysis
(S6) Critical thinking and problem solving - Evaluation
(S7) Commercial awareness - Ability to analyse/balance risk and reward
"
Knowledge Representation ,(COMP521),Optional modules,M,15,First Semester,75:25,"To introduce Knowledge Representation as a research area. 
To give a complete and critical understanding of the notion of representation languages and logics. 
To study modal logics and their use.
To study description logic and its use.
To study epistemic logic and its use.
To study methods for reasoning under uncertainty
","(LO1) Demonstrate a critical understanding of the languages of modal and description logics by translating between English and those languages.
(LO2) Exhibit a comprehensive understanding of the semantics of modal and description logics by arguing whether formulas of propositional, modal and description logic are true or valid.
(LO3) Analyse scenarios involving knowledge, and represent them in modal and description logics.
(LO4) Have a deep understanding of formal proof methods and apply them to modal and description logics.
(S1) Problem Identification
(S2) Critical Analysis
(S3) Solution Synthesis
(S4) Evaluation of Problems and Solutions
"
Privacy and Security ,(COMP522),Optional modules,M,15,First Semester,60:40,"The aims of this module are: to introduce students to the major problems and solution approaches in the area of computer and Internet privacy, confidentiality and security. to provide a theoretical framework for subsequent research in these challenging areas.
","(LO1) At the end of the module, students should understand the main problems in security, confidentiality and privacy in conputers and in networks, and the reasons for their importance.
(LO2) At the end of the module, students should understand the main approaches adopted for their solution and/or mitigation, together with the strengths and weaknesses of each of these approaches
(LO3) At the end of the module, students should understand the main encryption algorithms and protocols
(LO4) At the end of the module, students should appreciate the application of encryption algorithms to secure messaging, key distribution and exchange, authentication and electronic payment systems
(LO5) At the end of the module, students should understand the use of epistemic logics for formal modeling of security and privacy protocols.
(LO6) At the end of the module, students should understand the legal and ethical issues related to securit, confidentiality and privacy.
(S1) Adaptability
(S2) Problem solving skills
(S3) Numeracy
(S4) IT skills
(S5) Commercial awareness
(S6) Ethical awareness
(S7) Lifelong learning skills
"
Advanced Algorithmic Techniques ,(COMP523),Optional modules,M,15,Second Semester,70:30,"To provide a sound foundation concerning the design and analysis of advanaced discrete algorithms. 
To provide a critical rational concerning advanced complexity theory and algorithmics. 
To provide an in-depth, systematic and critical understanding of selected significant issues at the forefront of research explorations in the design and analysis of discrete algorithms. 
","(LO1) Describe the following classes of algorithms and design principles associated with them: recursive algorithms, graph (search-based) algorithms, greedy algorithms, algorithms based on dynamic programming, network flow (optimisation) algorithms, approximation algorithms, randomised algorithms, distributed and parallel algorithms.
(LO2) Illustrate the above mentioned classes by examples from classical algorithmic areas, current research and applications. 
(LO3) Identify which of the studied design principles are used in a given algorithm taking account of the similarities and differences between the principles. 
(LO4) Apply the studied design principles to produce efficient algorithmic solutions to a given problem taking account of the strengths and weaknesses of the applicable principles. 
(LO5) Outline methods of analysing correctness and asymptotic performance of the studied classes of algorithms, and apply them to analyse correctness and asymptotic performance of a given algorithm.
(S1) Critical thinking and problem solving - Critical analysis
(S2) Critical thinking and problem solving - Evaluation
(S3) Critical thinking and problem solving - Problem identification
(S4) Critical thinking and problem solving - Creative thinking
(S5) Numeracy/computational skills - Reason with numbers/mathematical concepts
(S6) Numeracy/computational skills - Problem solving
"
Biocomputation ,(COMP305),Optional modules,3,15,First Semester,70:30,"To introduce students to some of the established work in the field of neural computation.  
To highlight some contemporary issues within the domain of neural computation with regard to biologically-motivated computing particularly in relation to multidisciplinary research.  
To equip students with a broad overview of the field of evolutionary computation, placing it in a historical and scientific context.
To emphasise the need to keep up-to-date in developing areas of science and technology and provide some skills necessary to achieve this.
To enable students to make reasoned decisions about the engineering of evolutionary (&#39;selectionist&#39;) systems.
","(LO1) Account for biological and historical developments neural computation
(LO2) Describe the nature and operation of MLP and SOM networks and when they are used
(LO3) Assess the appropriate applications and limitations of ANNs
(LO4) Apply their knowledge to some emerging research issues in the field
(LO5) Understand how selectionist systems work in general terms and with respect to specific examples
(LO6) Apply the general principles of selectionist systems to the solution of a number of real world problems
(LO7) Understand the advantages and limitations of selectionist approaches and have a considered view on how such systems could be designed
(S1) Improving own learning/performance - Reflective practice
(S2) Improving own learning/performance - Self-awareness/self-analysis
(S3) Critical thinking and problem solving - Critical analysis
(S4) Critical thinking and problem solving - Evaluation
(S5) Critical thinking and problem solving - Synthesis
(S6) Critical thinking and problem solving - Problem identification
(S7) Critical thinking and problem solving - Creative thinking
(S8) Research skills - All Information skills
(S9) Research skills - Awareness of /commitment to academic integrity
(S10) Numeracy/computational skills - Numerical methods
(S11) Numeracy/computational skills - Problem solving
(S12) Skills in using technology - Information accessing
"
Safety and Dependability ,(COMP524),Optional modules,M,15,Second Semester,70:30,"1. To provide a critical and in-depth understanding of all aspects of software safety and dependability; including issues realting to security, reliability and trustworthiness.
2. To provide a broad understanding of the state-of-the-art software engineering techniques currently used to address safety and dependability issues. 
3. To provide an overview of the contemporary research issues relating to software safety and dependability.
","(LO1) At the end of the module, a student will understand some of the problems associated with the use of computer software in critical applications where safety, security and trust are issues.
(LO2) At the end of the module, a student will understand some of the contemporary mechanisms for ensuring dependability and reliability.
(LO3) At the end of the module, a student will understand a variety of approaches to the design and development of safe and dependable systems.
(LO4) At the end of the module, a student will understand formal verification techniques in relation to the assessment of safety and dependability.
(LO5) At the end of the module, a student will  be aware of some of the contemporary research problems in the areas of safety, security, dependability and trust.
(S1) Working in groups and teams - Group action planning
(S2) Skills in using technology - Using common applications (work processing, databases, spreadsheets etc.)
(S3) Numeracy/computational skills - Reason with numbers/mathematical concepts
(S4) Numeracy/computational skills - Problem solving
(S5) Communication skills - Presenting
(S6) Problem solving - Co-designing a program and a correctness proof
(S7) Problem solving - Model (MDP) design analysis
(S8) Business and customer awareness - Brief discussion of the cost of software bugs and the cost of applying formal techniques
(S9) Information Technology (IT) skills - Formulating (probabilistic) models as Markov chains and decision processes, and using of-the-shelf tools for their analysis
"
Efficient Algorithms ,(COMP526),Optional modules,M,15,First Semester,60:40,"The main aim of this module is to lay a strong foundation for research in the field of algorithms, with a clear emphasis on algorithmic problems and solutions that haven proven useful in applications (e.g., in bioinformatics, search engines, networks, and data compression).  This is done through the rigorous study of selected algorithmic techniques, an in-depth, systematic, and critical discussion of their respective benefits and weaknesses (by means of mathematical and empirical analysis), and by gaining hands-on experience on solving new algorithmic challenges residing on the border of the theory of abstract algorithms and engineering of applied algorithmic solutions.
","(LO1) Be able to recognize standard algorithmic problems, apply and judge known solutions based on comprehensive and in-depth understanding of their properties and limitations.
(LO2) Be able to systematically compare the goals and approaches in algorithm theory and algorithm engineering.
(LO3) Be able to critically assess algorithmic solutions from the research literature and to adapt these solutions to a range of application scenarios.
(LO4) Be able to design algorithmic solutions for real-world applications in small-scale programming projects.
(LO5) Be able to critically communicate algorithmic problems and solutions (both within and outside of the algorithms/computer science community).
(S1) Critical thinking and problem solving - Critical analysis
(S2) Critical thinking and problem solving - Problem identification
(S3) Critical thinking and problem solving - Evaluation
(S4) Critical thinking and problem solving - Creative thinking
(S5) Numeracy/computational skills - Problem solving
"
Data Mining and VIsualisation ,(COMP527),Optional modules,M,15,Second Semester,70:30,"To provide an in-depth, systematic and critical understanding of some of the current research issues at the forefront of the academic research domain of data mining.
","(LO1) A critical awareness of current problems and research issues in Data Mining.
(LO2) A comprehensive understanding of current advanced scholarship and research in data mining and how this may contribute to the effective design and implementation of data mining applications.
(LO3) The ability to consistently apply knowledge concerning current data mining research issues in an original manner and produce work which is at the forefront of current developments in the sub-discipline of data mining.
(LO4) A conceptual understanding sufficient to evaluate critically current research and advanced scholarship in data mining.
(S1) Critical thinking and problem solving - Problem identification
(S2) Critical thinking and problem solving - Critical analysis
"
Multi-core and Multi-processor Programming ,(COMP528),Optional modules,M,15,First Semester,0:100,"To provide students with a deep, critical and systematic understanding of key issues and effective solutions for parallel programming for systems with multi-core processors and parallel architectures. 
To develop students appreciation of a variety of approaches to parallel programming, including using MPI, OpenMP and CUDA.   
To develop the students skills in parallel programming using MPI, OpenMP and CUDA.  
To develop the students skills in parallelization of existing serial code.
","(LO1) At the end of the module students should be able to:  Explain the concepts of multi-core processors and systems and parallel architectures,  their advantages and challenges of their programming.
(LO2) Appraise the differences between various programming techniques and programming patterns available for parallel programming for multi-core systems and parallel architectures. 
(LO3) Design parallel multi-threaded programs using the most appropriate for a particular application approach, using one of MPI, OpenMP, CUDA, or a combination of thereof.  
(LO4) Design and implement reasonably sophisticated parallel multi-threaded programs demonstrating reasonable scalability on multi-core and parallel systems  using MPI, OpenMP, or CUDA, or the combination of thereof. 
(LO5) Analyse and evaluate the efficiency and scalability of parallel multi-threaded programs for multi-core parallel systems.
(S1) Improving own learning/performance - Personal action planning
(S2) Communication (oral, written and visual) - Presentation skills
(S3) Communication (oral, written and visual) - Report writing
(S4) Critical thinking and problem solving
(S5) Information skills - Critical reading
(S6) Numeracy/computational skills - Reason with numbers/mathematical concepts
(S7) Numeracy/computational skills - Problem solving
"
