Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Research Methods in Computer Science ,(COMP516),Compulsory modules,M,15,First Semester,0:100,"1. To provide a deep and systematic understanding of the nature and conduct of CS research.
2. To enhance existing transferable key skills.
3. To develop high order transferable key skills.
4. To equip students with the ability to undertake independent research.
5. To remind students of the Legal, Social, Ethical and Professional (LSEP) issues applicable to the computer industry.
","(LO1) Have an understanding of how established techniques of research and enquiry are used to extend, create and interpret knowledge in Computer Science.
(LO2) Have a conceptual understanding sufficient to:(i) evaluate critically current research and advanced scholarship in Computer Science and (ii) propose possible alternative directions for further work.
(LO3) Be able to: (i) deal with complex issues at the forefront of the academic discipline of Computer Science in a manner, based on sound judgements, that is both systematic and creative, (ii) demonstrate self-direction and originality in tackling and solving problems within the domain of Computer Science, (iii) act autonomously in planning and implementing solutions in a professional manner and (iv) define, plan, and/or carry out a project related to research and to communicate conclusions clearly to both specialists and non-specialists.
(LO4) Make use of the qualities and transferable skills necessary for employment requiring:(i) the exercise of initiative and personal responsibility, (ii) decision making in complex and unpredictable situations, (iii) scientific risk identification, assessment and control, and (iv) the independent learning ability required for continuing professional development.
(LO5) Understand and participate within the professional, legal, social and ethical framework within which they would be expected to operate as professionals within the IT industry.
(LO6) Have the skills set to be able to continue to advance their knowledge and understanding, and to develop new skills to a high level, with respect to continuing professional development as a &#34;self-directed life-long learner&#34; across the discipline of Computer Science.
(S1) Communication (oral, written and visual) - Presentation skills – oral
(S2) Communication (oral, written and visual) - Listening skills
(S3) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S4) Time and project management - Project planning
(S5) Research skills - Ethical awareness
"
Programming Fundamentals ,(COMP517),Compulsory modules,M,15,First Semester,0:100,"This module provides an intensive introduction to programming for postgraduate students who do not have a computer science background. The basics of program development, control flow, data structures and object-oriented design will be covered. The primary objective is to develop key programming and problem-solving skills using a modern programming language.
","(LO1) Demonstrate knowledge of fundamental imperative programming concepts such as variables and assignment, conditional statements, loops and methods.
(LO2) Be able to design and code applications in a suitable programming language.
(LO3) Critical knowledge of concepts and principles of object-orientation such as objects and classes, encapsulation, object state, coupling, cohesion and modularity.
(LO4) Critical awareness of important principles of software design and development, including appropriate naming of variables and classes, code layout, testing and debugging, and documentation.
(S1) Problem Solving - Numeracy and computational skills
(S2) Problem solving – analysing facts and situations and applying creative thinking to develop appropriate solutions.
"
Database and Information Systems ,(COMP518),Compulsory modules,M,15,First Semester,25:75,"To provide a deep, systematic and critical understanding of the nature of information systems, with a focus on database systems and their operation.
","(LO1) Design and implement relational databases with multiple tables.
(LO2) Understand the mathematical foundations of relational databases through the use of relational algebra.
(LO3) Use SQL effectively and efficiently as a data definition and data manipulation language in a modern DBMS.
(LO4) Demonstrate a systematic understanding of transaction management and concurrency control in database systems.
(S1) Skills in using technology - Using common applications (work processing, databases, spreadsheets etc.)
(S2) Critical thinking and problem solving - Creative thinking
(S3) Critical thinking and problem solving - Critical analysis
(S4) Critical thinking and problem solving - Synthesis
(S5) Skills in using technology - Information accessing
(S6) Numeracy/computational skills - Confidence/competence in measuring and using numbers
(S7) Problem solving
(S8) Business and customer awareness
(S9) Information Technology (IT) skills
(S10) Computer science principles
"
Web Programming ,(COMP519),Compulsory modules,M,15,Second Semester,0:100,"To provide students with a deep, critical and systematic understanding of the most significant technologies for developing web applications. 
To enable students to use these technologies in the development of web applications. 
To provide knowledge of the characteristics of good web site design principles.
","(LO1) be able to use a range of technologies and programming languages available to organisations and businesses and be able to choose an appropriate architecture for a web application.
(LO2) be able  to develop reasonably sophisticated client-side web applications using one or more suitable technologies and to make informed and critical decisions in that context.
(LO3) be able  to develop reasonably sophisticated server-side web applications using one or more suitable technologies and to make informed and critical decisions in that context.
(S1) Problem Solving - Numeracy and computational skills
(S2) Problem solving – Analysing facts and situations and applying creative thinking to develop appropriate solutions.
"
MSc Project ,(COMP702),Compulsory modules,M,60,Whole Session,0:100,"To give students the opportunity to work in a guided but independent fashion to explore a substantial problem in depth, making practical use of principles, techniques and methodologies acquired elsewhere in the programme.  
To give experience of carrying out a large piece of individual work and in producing a dissertation.  
To enhance communication skills, both oral and written.
","(LO1) After completing the module students should be able to: Investigate and specify a substantial problem in the domain of Computer Science, to place it in the context of related work including, as appropriate, Computer Science reserach, and to produce a plan to address this problem
(LO2) Make use of the qualities and transferable skills necessary for the conduct of a Computer Science project: (i) the exercise of initiative and personal responsibility, (ii) decision making in complex situations, (iii) risk identification (including, as appropriate, commercial and scientific risk), assessment and control, and (iv) the independent learning ability required for continuing professional development
(LO3) Demonstrate effective time management, self-direction and originality in carrying out a project in the domain of Computer Science
(LO4) Locate and make use of information relevant to a given IT project
(LO5) Design a solution to a substantial IT problem
(LO6) Implement and test potential solutions to IT problems
(LO7) Evaluate critically, as relevant to the project, current research and advanced scholarship in Computer Science, evaluate their own work, and participate effectively in the process of peer review of other projects
(LO8) Conduct and evaulate critically the project within the professional, legal, social and ethical framework in Computer Science and Sortware Engineering
(LO9) Prepare and deliver formal presentations
(LO10) Prepare and deliver a demonstration of software
(LO11) Structure and write a dissertation describing their project
(S1) Communication (oral, written and visual) - Presentation skills – oral
(S2) Communication (oral, written and visual) - Presentation skills - written
(S3) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S4) Time and project management - Project planning
(S5) Critical thinking and problem solving - Critical analysis
(S6) Critical thinking and problem solving - Evaluation
(S7) Commercial awareness - Ability to analyse/balance risk and reward
"
Safety and Dependability ,(COMP524),Optional modules,M,15,Second Semester,70:30,"1. To provide a critical and in-depth understanding of all aspects of software safety and dependability; including issues realting to security, reliability and trustworthiness.
2. To provide a broad understanding of the state-of-the-art software engineering techniques currently used to address safety and dependability issues. 
3. To provide an overview of the contemporary research issues relating to software safety and dependability.
","(LO1) At the end of the module, a student will understand some of the problems associated with the use of computer software in critical applications where safety, security and trust are issues.
(LO2) At the end of the module, a student will understand some of the contemporary mechanisms for ensuring dependability and reliability.
(LO3) At the end of the module, a student will understand a variety of approaches to the design and development of safe and dependable systems.
(LO4) At the end of the module, a student will understand formal verification techniques in relation to the assessment of safety and dependability.
(LO5) At the end of the module, a student will  be aware of some of the contemporary research problems in the areas of safety, security, dependability and trust.
(S1) Working in groups and teams - Group action planning
(S2) Skills in using technology - Using common applications (work processing, databases, spreadsheets etc.)
(S3) Numeracy/computational skills - Reason with numbers/mathematical concepts
(S4) Numeracy/computational skills - Problem solving
(S5) Communication skills - Presenting
(S6) Problem solving - Co-designing a program and a correctness proof
(S7) Problem solving - Model (MDP) design analysis
(S8) Business and customer awareness - Brief discussion of the cost of software bugs and the cost of applying formal techniques
(S9) Information Technology (IT) skills - Formulating (probabilistic) models as Markov chains and decision processes, and using of-the-shelf tools for their analysis
"
Reasoning About Action and Change ,(COMP525),Optional modules,M,15,Second Semester,75:24,"1. Give the student a feel for several formalisms that deal with change 
2. Show how logics can be used to specify and verify dynamic systems 
3. Give students a deeper knowledge of the semantics of such systems 
4. Develop awareness of the usual trade-off between expressivity and complexity of logical languages. 
","(LO1) Provide formal specifications, using a logical language, of informal problem descriptions.
(LO2) Verify simple properties of models.
(LO3) Produce simple logical proofs.
(LO4) Understand how temporal logics relate to each other.
(LO5) Understand and use model checkers.
(LO6) Understand and be able to explain and fomulate properties (such as &#34;safety&#34;, &#34;fairness&#34; and &#34;liveness&#34;) of systems and be able to formulate simple instances of them.
(S1) Numeracy/computational skills - Reason with numbers/mathematical concepts
(S2) Numeracy/computational skills - Problem solving
"
Efficient Algorithms ,(COMP526),Optional modules,M,15,First Semester,60:40,"The main aim of this module is to lay a strong foundation for research in the field of algorithms, with a clear emphasis on algorithmic problems and solutions that haven proven useful in applications (e.g., in bioinformatics, search engines, networks, and data compression).  This is done through the rigorous study of selected algorithmic techniques, an in-depth, systematic, and critical discussion of their respective benefits and weaknesses (by means of mathematical and empirical analysis), and by gaining hands-on experience on solving new algorithmic challenges residing on the border of the theory of abstract algorithms and engineering of applied algorithmic solutions.
","(LO1) Be able to recognize standard algorithmic problems, apply and judge known solutions based on comprehensive and in-depth understanding of their properties and limitations.
(LO2) Be able to systematically compare the goals and approaches in algorithm theory and algorithm engineering.
(LO3) Be able to critically assess algorithmic solutions from the research literature and to adapt these solutions to a range of application scenarios.
(LO4) Be able to design algorithmic solutions for real-world applications in small-scale programming projects.
(LO5) Be able to critically communicate algorithmic problems and solutions (both within and outside of the algorithms/computer science community).
(S1) Critical thinking and problem solving - Critical analysis
(S2) Critical thinking and problem solving - Problem identification
(S3) Critical thinking and problem solving - Evaluation
(S4) Critical thinking and problem solving - Creative thinking
(S5) Numeracy/computational skills - Problem solving
"
Data Mining and VIsualisation ,(COMP527),Optional modules,M,15,Second Semester,70:30,"To provide an in-depth, systematic and critical understanding of some of the current research issues at the forefront of the academic research domain of data mining.
","(LO1) A critical awareness of current problems and research issues in Data Mining.
(LO2) A comprehensive understanding of current advanced scholarship and research in data mining and how this may contribute to the effective design and implementation of data mining applications.
(LO3) The ability to consistently apply knowledge concerning current data mining research issues in an original manner and produce work which is at the forefront of current developments in the sub-discipline of data mining.
(LO4) A conceptual understanding sufficient to evaluate critically current research and advanced scholarship in data mining.
(S1) Critical thinking and problem solving - Problem identification
(S2) Critical thinking and problem solving - Critical analysis
"
Multi-agent Systems ,(COMP310),Optional modules,3,15,Second Semester,100:0,"To introduce the student to the concept of an agent and multi-agent systems, and the main applications for which they are appropriate.
To introduce the main issues surrounding the design of intelligent agents.
To introduce the main issues surrounding the design of a multi-agent society.
To introduce a contemporary platform for implementing agents and multi-agent systems.
","(LO1) Understand the notion of an agent, how agents are distinct from other software paradigms (eg objects) and understand the characteristics of applications that lend themselves to an agent-oriented solution;
(LO2) Understand the key issues associated with constructing agents capable of intelligent autonomous action, and the main approaches taken to developing such agents;
(LO3) Understand the key issues in designing societies of agents that can effectively cooperate in order to solve problems, including an understanding of the key types of multi-agent interactions possible in such systems;
(LO4) Understand the main application areas of agent-based solutions, and be able to develop a meaningful agent-based system using a contemporary agent development platform.
"
