Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Research Methods Online (15 Credits) ,(CDEN207),Compulsory modules,M,15,Whole Session,0:100,"To facilitate the development of in-depth knowledge and advanced skills in   qualitative and quantitative  research,  commensurate with postgraduate level. To enable students to develop a critical awareness of the processes required for successful planning and delivery of research. To equip and develop the students with appropriate and transferable communication skills for dissemination in both scientific and popular audiences.
","(LO1) Develop a systematic understanding of knowledge, and critical awareness of the professional, social, ethical and legal frameworks within the appropriate academic disciplines.
(LO2) Analyse and evaluate critically the appropriate literature, to inform research methodology.
(LO3) Synthesise hypotheses/research questions and design experimental approaches that allow these to be tested.
(LO4) Develop a comprehensive understanding of appropriate data analysis tools to analyse and evaluate critically appropriate datasets.
(LO5) Synthesise information and make sound judgements to communicate to a range of audiences.
(S1) Communication, listening and questioning respecting others, contributing to discussions, communicating in a foreign language, influencing, presentations
(S2) Communication and collaboration online participating in digital networks for learning and research
(S3) Digital scholarship participating in emerging academic, professional and research practices that depend on digital systems
(S4) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S5) Learning skills online studying and learning effectively in technology-rich environments, formal and informal
(S6) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S7) Numeracy (application of) manipulation of numbers, general mathematical awareness and its application in practical contexts (e.g. measuring, weighing, estimating and applying formulae)
(S8) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S9) Ethical Awareness
(S10) Lifelong learning Skills
(S11) Organisational Skills
"
"Communication, Health Promotion and Clinical Governance ",(CDEN233),Compulsory modules,M,15,Whole Session,50:50,"To understand Health Service structures and clinical governance and effectively communicate with the dental team.
","(LO1) Apply a professional, caring and understanding approach, modified to a patient’s individual needs and demonstrate an ability to communicate  effectively with persons of all ages, recognising the cultural differences and barriers to effective communication, whilst operating within ethical and legal guidelines, maintaining oral health standards.
(LO2) Demonstrate a systematic understanding of knowledge and ability to implements all aspects of clinical governance.
(LO3) Demonstrate a systematic understanding of knowledge of and critically evaluate the role and contribution of Health Service structures and the principles of Audit.
(S1) Information and communication technology
(S2) Working with others
(S3) Time management
(S4) Improving own learning and performance
(S5) Professionalism
(S6) Professional and Research skills are embedded throughout the programme using activities such as workshops, a weekly Journal Club and conferences. The Journal Club runs weekly and students are expected to present to the class in rotation.
"
Research Protocol ,(CDEN299),Compulsory modules,D,60,Research Session,0:100,"To produce a postgraduate capable of the general ability to  design and implement a project for the generation of new knowledge, applications or understanding at the forefront of professional practice, and to adjust the project design in the light of unforeseen problems
","(LO1) Be able to conceive, design a substantial process of research with scholarly integrity and communicate with their peers and the larger scholar community.
(LO2) Be able to produce a concise written report and demonstrate a practical understanding of how established techniques of research and enquiry were used to create and design a research protocol.
(S1) Information and communication technology
(S2) Working with others
(S3) Time management
(S4) Improving own learning and performance
(S5) Professionalism
(S6) Professional and Research skills are embedded throughout the programme using activities such as workshops, a weekly Journal Club and conferences. The Journal Club runs weekly and students are expected to present to the class in rotation.
"
Clinical Research and Investigation ,(CDEN304),Compulsory modules,D,60,Whole Session,0:100,"To produce a specialist capable of a systematic acquisition and understanding of a substantial body of knowledge which is at the forefront of professional practice
","(LO1) Demonstrate a systematic acquisition and understanding of applicable techniques for research and advanced academic enquiry.
(LO2) Undertake a research, evidenced-based critical appraisal of treatment techniques in named patients.
(S1) Information and communication technology
(S2) Working with others
(S3) Time management
(S4) Improving own learning and performance
(S5) Professionalism
(S6) Professional and Research skills are embedded throughout the programme using activities such as workshops, a weekly Journal Club and conferences. The Journal Club runs weekly and students are expected to present to the class in rotation.
"
Doctoral Thesis ,(CDEN399),Compulsory modules,D,180,Whole Session,0:100,"To produce a specialist capable of the creation and interpretation of new knowledge, through original research or other advanced scholarship, of a quality to satisfy peer review, extend the forefront of the discipline, and merit publication
To produce a specialist capable of the general ability to conceptualise, design and implement a project for the generation of new knowledge, applications or understanding at the forefront of professional practice, and to adjust the project design in the light of unforeseen problems.
To produce a specialist capable of a detailed understanding of applicable techniques for research and advanced academic enquiry.
","(LO1) Demonstrate a systematic acquisition and understanding of applicable techniques for research and advanced academic enquiry.
(LO2) Conceptualise, design and implement a project for the generation of new knowledge, applications or understanding at the forefront of professional practice, adjusting the project design in the light of unforeseen problems.
(LO3) Undertake pure and/or applied research at an advanced level, contributing substantially to the development of new techniques, ideas, or approaches and produce a concise written report to communicate with their peers and the larger scholarly community about their areas of expertise.
(S1) Information and communication technology
(S2) Working with others
(S3) Time management
(S4) Improving own learning and performance
(S5) Professionalism
(S6) Professional and Research skills are embedded throughout the programme using activities such as workshops, a weekly Journal Club and conferences. The Journal Club runs weekly and students are expected to present to the class in rotation.
"
Orthodontic Patient Clinical Assessment ,(CDEN201),Compulsory modules,M,30,First Semester,50:50,"To acquire the skills of taking a history from a patient
To undertake an intra oral examination of the head and neck
To examine the occlusion of the patient
To acquire the skills of clinical information gathering by way of relevant clinical investigations and be able to interpret the clinical data including study models
To acquire the skills of gathering images of patients at appropriate stages of treatment and interpreting these images
To acquire the skills of prescribing, reporting and interpreting relevant radiographic images with particular emphasis on the tracing and interpretation of cephalometric radiographs
","(LO1) Be able to prepare, disseminate and critically evaluate a patient’s case history.
(LO2) Demonstrate a systematic, comprehensive and critically reflective approach to intra and extra-oral examinations of the head and neck and transfer the knowledge and skills gained through experiential learning to the solution of new clinical problems and recognise the need to modify skills in different clinical settings.
(LO3) Undertake skilled, competent, safe, critically evaluative and reflective examinations of the occlusion.
(LO4) Undertake skilled, competent, safe, critically evaluative and reflective clinical, radiological and laboratory investigations, whilst operating   within an appropriate legal and ethical framework.
(LO5) Manipulate and evaluate clinical, radiological and laboratory investigations in a critical manner.
"
Orthodontic Treatment Planning ,(CDEN202),Compulsory modules,M,15,First Semester,100:0,"To identify the general principles of treatment planning for an orthodontic patient
To acquire the skills of formulating an orthodontic treatment taking medical problems into account and identify treatment procedures that will guide the developing malocclusion
To identify the biological principles of treatment, the development of the dento-facial complex and the importance of psychology in patient care
","(LO1) Critically appraise a clinical examination to exercise professional judgement in the justification of treatment planning for a malocclusion taking medical problems into account and to identify treatment procedures that will guide the developing malocclusion.
(LO2) Demonstrate an in-depth knowledge and understanding of the biological basis for Orthodontics.
"
Orthodontic Appliances A ,(CDEN203),Compulsory modules,M,30,Second Semester,50:50,"To acquire the knowledge of dental materials that will inform clinical decisions of appliance selection.
To develop the knowledge and skill to use a range of  fixed and removable orthodontic appliances.
","(LO1) Demonstrate an in-depth knowledge and understanding of fixed, removable and retention appliances.
(LO2) Demonstrate an in-depth knowledge and understanding of dental materials that will inform clinical decisions and appliance selection.
(LO3) Undertake skilled, competent and safe procedures with fixed, removable and retention appliances.
(S1) Information and communication technology
(S2) Working with others
(S3) Time management
(S4) Improving own learning and performance
(S5) Professionalism
(S6) Professional and Research skills are embedded throughout the programme using activities such as workshops, a weekly Journal Club and conferences. The Journal Club runs weekly and students are expected to present to the class in rotation.
"
Orthodontic Appliances B ,(CDEN204),Compulsory modules,M,15,Second Semester,0:0,"To acquire the knowledge of dental materials that will inform clinical decisions of appliance selection and adjustment
To develop the knowledge and skill to use a range of  fixed and removable orthodontic appliances
","(LO1) Adjust fixed and removable and retention appliances through critical evaluation and reflection of procedures.
(S1) Information and communication technology
(S2) Working with others
(S3) Time management
(S4) Improving own learning and performance
(S5) Professionalism
(S6) Professional and Research skills are embedded throughout the programme using activities such as workshops, a weekly Journal Club and conferences. The Journal Club runs weekly and students are expected to present to the class in rotation.
"
Growth Modification and Anchorage ,(CDEN301),Compulsory modules,D,30,First Semester,50:50,"To identify the clinical reasoning and judgement used in growth and treatment analysis, long term effects and latrogenic effects of orthodontic treatment.
To identify the clinical reasoning and judgement used in treatment anchorage systems and the clinical governance and safety of these systems.
","(LO1) Demonstrate a systematic acquisition and understanding of a substantial body of knowledge of dental materials that will inform clinical decisions of appliance selection.
(LO2) Demonstrate a systematic acquisition and understanding of growth and treatment analysis, long term effects of orthodontic treatment and iatrogenic effects of orthodontic treatment.
(LO3) Undertake skilled, competent, safe, critically evaluative and reflective procedures with functional and extra-oral appliances.
(LO4) 
Make informed judgements about growth and treatment analysis, long term effects and iatrogenic effects of orthodontic treatment.
(LO5) Make informed judgements about treatment anchorage appliance systems and the clinical governance and safety of these systems.
(S1) Information and communication technology
(S2) Working with others
(S3) Time management
(S4) Improving own learning and performance
(S5) Professionalism
(S6) Professional and Research skills are embedded throughout the programme using activities such as workshops, a weekly Journal Club and conferences. The Journal Club runs weekly and students are expected to present to the class in rotation.
"
