Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Wireless Systems and Cad Designs ,(ELEC462),Compulsory modules,M,15,Whole Session,65:35,"This module aims to introduce the main components in a typical wireless communication  system; enable students  to understand the fundamental of Radio Frequency engineering; prepare students with the knowledge of theoretical design and simulation; enable students to use industrial standard software to develop sophisticated wireless communication systems.
","(LO1) Knowledge and Understanding:
After successfully completing the module, a student should have an understanding of:  
essentials of wireless systems;oscillators  and mixers;microwave filters;microwave amplifiers;antennas and link budget;communication systems design.
(LO2) After successful completion of the module, the student should be able to understand the fundamentals of RF transmitters and receivers for wireless communication systems.
(LO3) Students passing the module should acquire the ability to use at least one standard industrial software ADS for Microwave Office; design and test fundamental RF components including filters, amplifiers and antennas; evaluate the performance of wireless communication systems.
(S1) Independant Problem solving and design skills
(S2) Commercial awareness
(S3) Numeracy
"
Advanced Signal Processing ,(ELEC474),Compulsory modules,M,15,Whole Session,75:25,"To develop higher level signal processing techniques and apply them to some problems.
To develop different types filters and demonstrate their applications.
","(LO1) On successful completion of this module the student should be able to explain concepts of time and frequency domain descriptions of signals.
(LO2) On successful completion of this module the student should be able to describe,use and design &#39;fixed&#39; filter for different types of noise reduction tasks.
(LO3) On successful completion of this module the student should be able to explainand use auto-correlation and cross-correlation.
(LO4) On successful completion of this module the student should be able to describe,use and design linear predictor and matched filter, and explain theirapplications.
(LO5) On successful completion of this module the student should be able to describe,use and design FIR Wiener filters for different tasks, and explain theirapplications.
(LO6) On successful completion of this module the student should be able to describe,use and design FIR adaptive filters, and explain their applications.
(LO7) On successful completion of this module the student should be able to describe,use and design Kalman filters.
(S1) Critical thinking and problem solving - Critical analysis
(S2) Numeracy/computational skills - Problem solving
(S3) Improving own learning/performance - Self-awareness/self-analysis
(S4) Research skills - Awareness of /commitment to academic integrity
"
Research Skills & Project Management ,(ELEC483),Compulsory modules,M,15,Whole Session,0:100,"To provide students with the necessary background information so that they will be able to satisfactorily research, plan and undertake their project.
","(E1) Reflect on experiences, reflecting on goals and objectives, building a reflective habit, and building self-awareness through reflection.
(E2) Assess and compare personal skills and attributes to identify development needs.
(E3) Apply knowledge and skills to build a professional network, integrating program learning, graduate attributes and professional experiences to construct a professional identity.
(E4) Prepare evidence to enhance employability, to demonstrate positive behaviours and communicate appropriately for a job/study interview.
(LO1) Ability to demonstrate and appreciate the importance of communicating technical/scientific information.
(LO2) Ability to demonstrate and appreciate the importance formalising the organisation and planning of project work
(LO3) Capable of collecting and assessing the resources required to complete a project and presenting their findings in both oral presentation and written reports
(LO4) Determining the critical path in the planning of a project
(LO5) Show use of methodologies for organising and planning project workcommunicate via executive summaries, technical reports and oral presentationsanalysing and synthesise research data
(LO6) Demonstrate an understanding of Academic Integrity Policy.
(S1) On successful completion of the module, students should be able to show use of methodologies for: organising and planning project work; communicate via executive summaries, technical reports and oral presentations; analysing abd synthesise research data
(S2) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: Independent learning; Problem solving and design skills
(S3) Academic integrity awareness.
"
Digital and Wireless Communications ,(ELEC477),Compulsory modules,M,15,First Semester,100:0,"To provide an extensive coverage of the theory and practice of digital and wireless communication systems. To allow students to be able to design and develop digital and wireless communication systems, with an awareness of all the main factors involved and of existing and emerging technologies.
","(LO1) On successful completion of the module, students should be able to demonstrate a knowledge in applying the module topics to: Specify the requirements for a digital or wireless communication system, Design the optimum receiver for a communication system, Analyse the performance of a communication system, Critical thinking ability from evaluating and responding to issues such as unachievable or impractical specifications and impossible performance claims.
(LO2) After completion of the module, the student should have a good knowledge and understanding of: The nature of data and how it is stored and communicated. The limitations imposed on communication system performance and design by various factors, How noise arises in communications systems, and its effects of noise upon communications system behaviour and performance. Sources and effects of mobile radio propagations. Design of the optimum receiver and analysis of error probability for digital communications. How to achieve the goals of a communication system by trading off system parameters such as signal-to-noise ratio, error probability and bandwidth expenditure, Various multiuser communication techniques.
(S1) Time and project management - Personal organisation
(S2) On successful completion of the module, students should be able to show experience and enhancement of the following discipline-specific skills: Applying signal and system design to the engineering problems associated with communication systems, e.g., how to combat wireless fading channels, Identifying the channel degradation sources and their effects in a communications system, Simulation of a communication system via MATLAB.
(S3) Critical thinking and problem solving - Critical analysis
(S4) Critical thinking and problem solving - Problem identification
(S5) Critical thinking and problem solving - Creative thinking
"
Radio Propagation for Wireless Systems ,(ELEC411),Compulsory modules,M,7.5,Second Semester,100:0,"To develop an appreciation and understanding of radio propagation mechanisms.
To introduce and apply radio propagation models to applications.
","(LO1) Ability to solve basic radio propagation problems.
(LO2) Ability to conduct radio system coverage and planning.
(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: independent learning, problem solving and design skills.
(S2) On successful completion of the module, students should: be capable of calculated propagation characteristics and of performing system link calculations; be able to design radio communications circuits involving single-hop propagation via the ionosphere based on a knowledge of its key parameters.
(S3) On successful completion of the module, the student should be able to: apply their knowledge in the analysis of plane wave propagation in lossless media as well as to adapt this to situations involving reflection from complex, planar objects and refraction from the ionosphere.
(S4) After successful completion of the module, the student should be able to: demonstrate their knowledge and understanding of electromagnetic propagation in free space and in ionized media.
"
Engineering  Programming ,(ELEC431),Compulsory modules,M,15,First Semester,0:100,"This module aims to equip students with knowledge of two most popular programming languages, C++ and MATLAB, an understanding of the Functional Decomposition method for program design, and practical skills of designing and coding software for engineering applications based on a problem specification.
","(LO1) Knowledge and Understanding : On successful completion of the module, students should be able to demonstrate their appreciation of software as an &#34;engineered product&#34; and its development procedure;understanding of established engineering principles, such as abstraction, modularity and information hiding;knowledge of MATLAB and C++ as programming languages commonly used for enginnering computation and modelling, and their pros and cons for different applications requirements.knowledge of logic structures, data types, user sub-routines (functions), operater precedancy, and the availability of special functions or tool boxes in MATLAB for signal analysis, image processing, filter design, and simulation of electrical systems.
(LO2) Intellectual Abilities: On successful completion of the module students should be able to analyse and determine the suitability of a programming language based on the nature of the problem; based on relevant software engineering principles, decompose a problem specification into well defined functional blocks (modules) and design the overall program structure; propose coding algorithms based on their knowledge of the programming languages to efficiently implement the software design; design and carry out a test strategy to assess the soundness of the software and make subsequent improvement to design and code; choose and correctly use appropriate tool boxes or functions for a given computational or data processing need in Matlab.
(S1) On completion of the module students should be able to show experience and skills in software design based on functional decomposition method; design and coding C++ classes for Object oriented program design; using MATLAB to perform matrix calculation and generating high quality visualisation of a given data set. using SIMULINK to model electrical and electronic systems.
(S2) On completion of the module students should be able to show experience and enhancement in software design using different programming languages; project organisation and problem solving; exploring the functionality of emerging Matlab toolboxes and C++ libraries through independent study.
"
Information Theory and Coding ,(ELEC415),Compulsory modules,M,7.5,Second Semester,100:0,"To introduce the techniques used in source coding and error correcting codes, including the use of information as a measure.
","(LO1) After successful completion of the module the student should have: An appreciation of information sources and of the information rates    available on real channels. An appreciation of techniques for making the best use of channels for efficient transmission with error protection.
(LO2) After successful completion of the module the student should have: An understanding of the basic methods of source coding and error correcting codes.
(S1) Critical thinking and problem solving - Critical analysis
(S2) Critical thinking and problem solving - Evaluation
(S3) Critical thinking and problem solving - Problem identification
"
Communications Networks ,(ELEC461),Compulsory modules,M,15,Second Semester,100:0,"To  introduce the principles of communications networks, their components and protocols.    
To provide students with the tools and techniques to analyse the performance of the main communications protocols, including: link layer, MAC layer, Network Layer (IP) including the main routing protocols, the transport control protocol (TCP), and basic packet queuing theory.
To provide an overview of the main topic areas in network/Cyber secuity including firewalls, intrusion detection and prevention systems, key  ciphers and applied cryptogrphy, and secure sockets layer (SSL).
","(LO1) Knowledge and Understanding:On successful completion of the module, students should be able to demonstrate knowledge and understanding of:- The structure of communications networks and how these can be described and analysed using standard reference models (OSI, TCP/IP).- The common protocols used over the major  wired and wireless networks, and ther Interent. - The concept of quality of service (QoS) as applied to networks, and the techniques for implementing it.- The essential parts of an Interent router and the main routing protocols used over the Interent
(LO2)  Intellectual Abilities: On successful completion of the module, students should be able to  demonstrate the ability to apply their knowledge of the above topics to: - Design and analyse communications networks - Analyse the behaviour, and predict the performance of the communications protocols they have learned. - Analyse and predict the behaviour of queues in packet switched networks. - Analyse and predict the performance of common Internet routing algorithms when applied to differnt network topologies.  - Analyse QoS for communications networks.  -
(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: Independent learning Problem solving and design skills
(S2) Practical Skills:On successful completion of the module, students should be able to show experience and enhancement of the following key skills:- General mathematical and IT skills.- The ability to analyse and configure networks and protocols.
"
MSc Placement Experience ,(ELEC498),Compulsory modules,M,60,Whole Session,0:100,"The aim of this module is provide students with experience of an industrial environment and to assess operational aspects of the company, its products, working practices, and management structures, also to work as a normal exployee to develop a range of skills and knowledge required for a company.
The specific aims are: to have an appreciation of: - 
Management and organisational structure of the company. 
Principal roles of company personnel. 
Strategic plans (as published). 
Processes for ordering goods etc. 
Processes for processing orders etc.
Financial controls that are in place to ensure that costs are controlled. 
The company’s accounts. 
Decision making processes within the company. 
Processes function in the company to ensure delivery of quality in services or products.  
Any ethical policies. 
Sustainability of product lines or services.
To develop a range of practical skills. Students should gain where appropriate: -
Hands on experience of manufacturing products or services. Organising paper work
Setting realistic deadlines with the expectation to deliver on time.
To develop general Transferable Skills  
Effective communication (written, audio and visual) 
Able to work in a team towards a common goal 
Develop leadership skills 
Managing of time and resources 
Enhanced ability to self learn
","(LO1) To gain experience of a working environment
(LO2) To gain knowledge of the organizational structure of a company
(LO3) To understand the working practices of a company
(LO4) To organize paperwork related to employment and relevant employment legislation.
(S1) Business and customer awareness basic understanding of the key drivers for business success – including the importance of innovation and taking calculated risks – and the need to provide customer satisfaction and build customer loyalty
(S2) Positive attitude/ self-confidence A &#39;can-do&#39; approach, a readiness to take part and contribute; openness to new ideas and the drive to make these happen
(S3) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
"
MSc Industrial Project ,(ELEC499),Compulsory modules,M,60,Whole Session,0:100,"The main aim of this module is for the students to undertake a research project in a real world envionment successfully.
In particular The aims of the project are:
for the student to plan, carry out and control a research project at the forefront of their academic discipline, field of study or area of professional practice undertake research or investigative work in professional engineering.
gain a comprehensive understanding of the techniques applicable to research or advanced scholarship in their field of study to make an original contribution to knowledge.
to report and present finding and work in both writting and oral presentation.
to gain industrial experience and enhence the employability.
","(LO1) An in-depth understanding of the subject.
(LO2) Mastery of research techniques.
(LO3) Ability to apply the theory to practice.
(LO4) Ability and skills to evaluate and present the project outcomes.
(LO5) Ability and skills to manage and undertake an engineering project in a company.
(S1) Skills to undertake a research project independently
(S2) Effective management of resources and time
(S3) Effective communication, presentation and documentation skills
(S4) Effective use of knowledge and information technology to solve engineering problems
"
