Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Manufacturing Systems ,(MNFG401),Compulsory modules,M,15,First Semester,60:40,"To obtain an overall understanding of manufacturing systems.
To understand manufacturing systems on the global, company, factory and shop floor scale.
To enable students to understand that manufacturing systems function at many levels within a Global Company and to identify the interactions between the systems at different levels.
To understand the function of a Manufacturing System at each level and be able to articulate the factors that control the system at that level, while also being able to take a holistic view of the system.
To be able to examine a pre-existing system, identifying points of weakness and how that system may be improved, given the external and internal constraints.

","(LO1) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the different levels of a Manufacturing System from Global Company to Shop Floor and Individual Machine, being able to articulate how these levels interact and how this interaction is accomplished.
(LO2) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the factors internal to the Manufacturing Systems that affect behaviour and robustness. While showing an understanding of how these can be controlled and modified to change the system.
(LO3) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the importance of data and computer systems in controlling complex companies and manufacturing systems, identifying what in these system may lead to failure or the creation of waste.
(LO4) On successful completion of the module, students should be able to identify in systems the presence of waste, to identify processes that are not efficient and consider methods to improve these systems, and be able to report this in a concise manner.
(S1) Critical thinking and problem solving - Critical analysis
(S2) Commercial awareness - Relevant economic/political understanding
(S3) Commercial awareness - Relevant understanding of organisations
(S4) Critical thinking and problem solving - Problem identification
"
Computer Aided Design ,(MNFG604),Compulsory modules,M,7.5,First Semester,0:100,"To introduce the student to the latest 3D tools and techniques used by designers.
To develop a wider knowledge and understanding of integrated systems design.
To stimulate an appreciation of modern design and development methodologies.
","(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: Engineering related IT skills Qualitative and quantitative analysis and problem-solving
(S2) On successful completion of the module, students should be able to show experience and enhancement of the following discipline-specific practical skills: Proficient use of Pro/ENGINEER 3D CAD/CAM/CAE - [WILDFIRE]
(S3) On successful completion of the module, students should be able to demonstrate ability in: Working from existing specifications and technical drawings Translating concepts and ideas into non-ambiguous 3D models in virtual space Developing articulate and intelligent parametric models with the correct &#39;design intent&#39; Integrated system design
(S4) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the following: Principles of modern computer aided design Latest computer aided design methodologies Processes used in integrated systems design Parametric modelling - the master model concept Pro/ENGINEER CAD/CAM/CAE &#39;Design for Manufacture and Assembly&#39; (DFMA) Traditional management of assemblies using a &#39;Bill of Materials&#39; (BOM) Industry standard technical drawings
"
Materials Processing and Selection ,(MATS520),Compulsory modules,M,15,First Semester,70:30,"This module will introduce the student to the concepts of materials processing and selection and the criteria used in these processes. The broad scope of manufacturing and processing technologies for metals, ceramics and polymers will be introduced.  This will be followed by development of a deeper appreciation of the influence of processing upon the structure and properties of these materials.
","(LO1) Knowledge and understanding of a broad range of advanced metal, polymer and ceramic processing techniques and manufacturing technology. 
(LO2) Appreciation of how the processing of materials affects their microstructure and properties.
(LO3) Understanding of heat-treatment processes in the context of materials processing
(LO4) Appreciation of the factors which are important in the selection of a material and fabrication process to produce components with specific mechanical and other properties
(S1) Problem solving skills
(S2) Numeracy
(S3) IT skills
(S4) Commercial awareness
"
Additive Manufacturing ,(MNFG610),Compulsory modules,M,7.5,First Semester,60:40,"To provide an overview on the role of additive manufacturing in new product development.
To develop a generic understanding on the principles and the complete process chain of additive manufacturing processes.
To provide an awareness on recent developments in additive manufacturing and associated technologies.
","(LO1) Knowledge and Understanding
On successful completion of the module, students should be able to demonstrate knowledge and understanding of: 
- The scientific principles of additive manufacturing technology
- The generic software for slicing operations.
- The niche role of additive manufacturing technology in rapid product development. 
- Analysis and evaluation of AM processes.  
- Intellectual Abilities
On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to:
- Selecting an appropriate additive manufacturing process for a particular need based on technical, economic, quality and time considerations. 
- Practical Skills N/A General Transferable Skills
On successful completion of the module, students should be able to show experience and enhancement of the following key skills: 
- written report writing. 
- Ability to work in a team Ability to deliver work to a deadline
(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: 
- Written report writing (publishable standard)
- Ability to work in a team Ability to deliver work to a deadline
(S2) On successful completion of the module, students should be able to show experience and enhancement of the following key skills:
Teamwork skills: Communication - Time management - Problem-solving - Listening - Critical thinking - Collaboration
(S3) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to:
- Select an appropriate additive manufacturing process for a particular need based on technical, economic, quality and time considerations.
-  Suggest and discuss future advances in Additive Manufacturing
(S4) On successful completion of the module, students should be able to demonstrate knowledge and understanding of:
- The scientific principles of additive manufacturing technology.
- The generic software for slicing operations.
- The niche role of additive manufacturing technology in rapid product development.
- Analysis and evaluation of AM processes.  
-The types of materials used in Additive Manufacturing
"
Enterprise Studies ,(MNGT414),Compulsory modules,M,7.5,Second Semester,0:100,"To introduce the student to various aspects of entrepreneurial activity
To develop a knowledge and understanding of enterprise related concepts, legislation and current development tools.
To stimulate an appreciation of modern enterprise challenges and the importance of entrepreneurial activity in relation to organisational success.
","(LO1) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the key aspects of enterprise activities (Marketing, Management of Technology, Entrepreneurship, Business Planning, Legislation, Ethics).
(LO2) On successful completion of the module, students should be able to demonstrate knowledge and understanding of theory on technology assessment and competitive positioning.
(LO3) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the relationships between innovation, technology and commercial viability.
(LO4) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the main differences between general management and enterprise processes.
(LO5) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the process of business planning and financing new business start-ups.
(LO6) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the modern approach to innovation management and professional ethics.
(LO7) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to describing and explaining the concepts and processes in the syllabus.
(LO8) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to analysing technology opportunity and value propositions.
(LO9) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to preparing of business plans.
(LO10) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to dealing with ambiguity.
(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: in descriptive writing in qualitative and quantitative analysis and problem-solving in effective assessment of business opportunities
(S2) On successful completion of the module, students should have gained the following practical skills: Computer searching for real-time business information, worldwide patents and British Standards Using software to assist with the preparation of a plan for a technology-based business group working project management
"
Advanced Manufacturing With Lasers ,(MECH607),Compulsory modules,M,15,Second Semester,80:20,"To provide an understanding of the principles of advanced manufacturing techniques using lasers and how these are being explored through current/recent research and adopted by industry.
","(LO1) A systematic understanding of knowledge about the principles and practice of a range of advanced manufacturing processes using lasers and up to date research activity.
(LO2) A systematic understanding of knowledge about the applications of lasers in micro and nano scale processing.
(LO3) A systematic understanding of knowledge about the principles of laser-materials interactions at the micro level.
(LO4) A systematic understanding of knowledge about how new laser technology may be introduced to enhance current practice, using a sound theoretical approach.
(S1) Organisational skills - Independent learning, via private study
(S2) Communication skills - ability to write scientific and technical reports
(S3) Problem solving skills
"
Industrial Robotics and Automated Assembly ,(MNFG409),Compulsory modules,M,15,Second Semester,0:100,"To provide the basic knowledge and skills to design, build and operate industrial robotic systems and to understand the advantages and disadvantages of their deployment.
","(LO1) To have a systematic understanding and critical awareness of key aspects of industrial robotics and their integration into automated systems; understanding the concepts that underpin this application and current problems in designing applications.
(LO2)  To solve problems when using the industrial robots and virtulisation sofware, using concepts and ideas from research, technical manuals and videos. Analysis of problems by developing a comprehensive understanding of the methods and techniques, and then using concepts and judgementto solve a real problem.
(LO3)  To be able to communicate ideas about robot cell design and integration, discussing the complexity of design and ambiguity in developing technical solutions. In doing so the students should show the ability to critically evaluate the important features and assumptions in the design by evaluating the design requirements. They also need to creatively deal with complex design issues in a systematic and creative way.
(LO4)  To work as a group on a project developing initiative in the solving of the task and taking personal responsibility when using industrial equipment. Applying methods and techniques developed during the training and using literature identified in the videos to complete the task.
(LO5) To develop qualities and transferable skills applicable to industrial robotic and automated industrial situations such as analysis of complex technical situations, identification of novel methods and communication of these to other students and staff as logical arguements.
(S1) Problem solving skills
(S2) Teamwork
(S3) Adaptability
"
Msc(eng) Project (60 Credits) ,(ENGG660),Compulsory modules,M,60,Summer (June-September),0:100,"This module enables students to pursue a research project under the guidance of a member of academic staff.
","(LO1) On successful completion of the project, the student should have developed a substantial and systematic knowledge and understanding of key aspects of the engineering or engineering-related topic of his/her project, including the theory, recognised principles and best practices (as appropriate).  Much of this knowledge will be at, or informed by, the forefront of defined aspects of the discipline.
(LO2) On successful completion of the project, the student should also have developed a comprehensive knowledge and understanding of the experimental and theoretical techniques and research methodology appropriate to advanced study in their field.
(S1) On successful completion of the project, the student should be able to show experience and enhancement of the following key skills: 
Dealing with complex issues in a systematic and creative manner; 
Effectively communicating findings orally and in writing to specialist and non-specialist audiences; 
Planning and implementing tasks autonomously at a professional level; 
Interacting effectively with others (eg, supervisor, technicians, etc); 
Designing poster/webpages; 
Computing and ITskills (scope-dependent);
Self-discipline, self-motivation, self-direction and originality in tackling and solving problems.
(S2) On successful completion of the project, the student should be able to show experience and enhancement in some of the following discipline-specific practical skills (depending on the scope of the project): 
Using sophisticated research equipment to carry out experimental/laboratory/workshop activities with due regard to safety;
Using appropriate engineering analysis software and IT tools.
(S3) On successful completion of the project, the student should be able to demonstrate ability in several of the following: 
Critically evaluating current research and advanced scholarship;
Defining/specifying a problem; 
Researching and information-gathering; 
Planning/designing experimental work using suitable techniques and procedures with due regard to safety; 
Assessing and managing risk; 
Analysing technical problems qualitatively and/or quantitatively and drawing conclusions; 
Designing a system, component or process based on an outline or detailed specification; 
Assembling and analysing data and drawing conclusions; 
Evaluating current methodologies and (where appropriate) propose new methodologies; 
Critically evaluate the project outcomes; 
Making an original contribution to knowledge.
"
Technical Writing for Engineers ,(ENGG596),Compulsory modules,M,7.5,First Semester,0:100,"This module develops technical writing skills to support project planning.
","(LO1) Critical Review of Scientific Literature
(LO2) Technical Writing Skills
(LO3) Carrying out a Literature Survey
(S1) Communication skills
(S2) Problem solving skills
(S3) IT skills
"
Laser Materials Processing ,(MECH605),Optional modules,M,15,First Semester,80:20,"To provide an overview of the interaction of (high power) lasers with materials and their application in a selected range of established industrial processes, including: key features &amp; properties of high power lasers, laser beam deployment, safety in high power laser use; laser process principles &amp; practice for cutting, welding and a selected range of surface treatments.
","(LO1) A systematic understanding of knowledge about the principles of operation of established industrial high power lasers and their beam characteristics.
(LO2) A systematic understanding of knowledge about the interaction of optical energy with materials.
(LO3) A systematic understanding of how, why and where lasers are applied in a selected range of processes.
(LO4) A systematic understanding of knowledge about the principles of safety in the use of high power lasers in materials processing.
(S1) Communication skills - ability to write scientific and technical reports
(S2) Organisational skills - Independent learning, via private study
"
