Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Structural Biomaterials ,(MATS410),Compulsory modules,M,15,First Semester,0:100,"The aims of this course are to develop an advanced understanding of the structure and properties of materials used in medical devices.  In particular: how this relates to their application in medical devices how the interactions with the biological environment influences their structure and properties (e.g. degradation) how the surface properties of the materials influence the bio interactions and biocompatibility how the surface properties of the materials can be modified to enhance the biological interactions
","(LO1) Be able to select appropriate materials, in terms of their structure and properties, for specific medical implant applications
(LO2)  Evaluate and understand the likely biocompatibility of the choice of material
(LO3)  Undestand strategies to enhance biocompatibility via surface modification
(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: Independent learning, group discussions, Scientific literature searching, interpretation of scientific literature, report writing
(S2) On successful completion of the module, student should be able to demonstrate ability in applying knowledge of the above topics to: select the appropriate materials, in terms of their structure and properties, for specific medical implant applications, evaluate and understand the likely biocompatibility of their choice, consider strategies to enhance biocompatibility via surface modification.
(S3) On successful completion of the module, students should be able to demonstrate knowledge and understanding of: The structure and properties of key metals and alloys that make them applicable in specific medical applications, How implantation in the body influence the corrosion of key implant metals and alloys, The structure and properties of key polymers that make them applicable in specific medical applications, The mechanisms of polymer degradation and how they can be used in specific applications such as to aid drug delivery, The structure and properties of specific ceramics that make them applicable in medical applications, The structure and properties of a range of composites and how to tailor their properties for specific medical applications, The concept of biocompatibility, The structure and importance of the material surface/biological environment interface, The important surface properties of implant materials and how they are analysed, How the surface properties of implant materials can be modified to control the biological interactions/
"
Computer Aided Design ,(MNFG604),Compulsory modules,M,7.5,First Semester,0:100,"To introduce the student to the latest 3D tools and techniques used by designers.
To develop a wider knowledge and understanding of integrated systems design.
To stimulate an appreciation of modern design and development methodologies.
","(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: Engineering related IT skills Qualitative and quantitative analysis and problem-solving
(S2) On successful completion of the module, students should be able to show experience and enhancement of the following discipline-specific practical skills: Proficient use of Pro/ENGINEER 3D CAD/CAM/CAE - [WILDFIRE]
(S3) On successful completion of the module, students should be able to demonstrate ability in: Working from existing specifications and technical drawings Translating concepts and ideas into non-ambiguous 3D models in virtual space Developing articulate and intelligent parametric models with the correct &#39;design intent&#39; Integrated system design
(S4) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the following: Principles of modern computer aided design Latest computer aided design methodologies Processes used in integrated systems design Parametric modelling - the master model concept Pro/ENGINEER CAD/CAM/CAE &#39;Design for Manufacture and Assembly&#39; (DFMA) Traditional management of assemblies using a &#39;Bill of Materials&#39; (BOM) Industry standard technical drawings
"
Musculoskeletal Biomechanics ,(ENGG410),Compulsory modules,M,15,Second Semester,0:100,"To introduce biomechanics terminology and concepts. To develop knowledge of biomechanics of tissues and structures of the musculoskeletal system (bone, cartilage, tendons, ligaments, skeletal muscle). To develop knowledge of biomechanics of joints (knee, hip, foot and ankle) to develop understanding of biomechanics of human movement.
","(LO1) Students will develop knowledge and understanding of the basic principles of biomechanics
(LO2) Students will develop knowledge and understanding of the structure and biomechanical of hard and soft tissues
(LO3) Students will develop knowledge and understanding of the structure and biomechanical of hard and soft tissues of the musculoskeletal system.
(LO4) Students will develop knowledge and understanding of the biomechanics of human gait and techniques to measure and analyse human movement.
(S1) Critical thinking and problem solving - Critical analysis
(S2) Critical thinking and problem solving - Problem identification
(S3) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
"
Group Engineering Design ,(MECH401),Compulsory modules,M,15,Whole Session,0:100,"To present the fundamental principles of Engineering Product Design according to the Total design methodology.
To engage students in a multi-disciplinary group project to develop and justify an innovative engineering solution/product that is part of a grand challenge which is formulated from complex and uncertain factors.
To develop students team working, communication, project management, problem solving and critical evaluation skills.
To formulate a theoretical novel solution that is supported by valid evidence and meets an authentic need.
","(M1) (LO1) On successful completion of the module the students should be able to critically evaluate methodologies and associated outcomes, in order to select and use the most appropriate methods and identify good practice in the areas of:
-	Product development processes – particularly “Total Design”
-	Management of Engineering Design
-	Tools and techniques employed in engineering design
-	3D computer Aided Design in Creo
-	Materials and manufacturing process selection using   Cambridge Engineering Selector software
-	Design for Manufacture, Assembly and Sustainability
-	Record keeping and meeting administration
(S1) On successful completion of the module, students should be able to reflect and evaluate factors which have an impact on and contribute to good practice in
-Group working
- Project planning and management
- Creative solutions of uncertain and open ended complex problems
(S2) On successful completion of the module students should be able to identify good practice and  make and justify decisions which are based on a critical evaluation of data/solutions derived from the following design skills:
-Analysis of market and technical state of the art to identify innovation opportunity
- Preparation of product design specification
- Creative concept design through group brainstorming
- Formal approaches to Concept Variant Analysis
- Detailed design and embodiment in 3D CAD (Creo)
- Materials and manufacturing selection using CES
- Specification and sourcing of standard engineering components
- Preparation of 2D technical drawings
- Preparation of formal design review documents
"
Cardiovascular Bioengineering ,(ENGG411),Compulsory modules,M,7.5,Second Semester,80:20,"To introduce engineering students to various biofluid mechanicsproblems. In particular the fluidmechanics of the circulation (haemodynamics) will be presented in terms thatare familiar to students of engineering.
","(LO1) On successful completion of the module, students should be able to demonstrate knowledge and understanding of: The role of different bio-fluids in the human bodyThe importance of blood flow in relation to health and disease.The basic principles of blood flow in the body
(LO2) On successful completion of the module students should be able to perform calculations relating to blood flow in arteries and cardiovascular devices
(S1) Critical thinking and problem solving - Problem identification
(S2) Numeracy/computational skills - Problem solving
(S3) Communication (oral, written and visual) - Presentation skills - written
"
Tissue Engineering ,(ENGG412),Compulsory modules,M,15,Second Semester,0:100,"The aim of this module are to provide an overview and tissue engineering applications and their use in current and future therapies, giving specific examples in hard and soft tissue engineering.
","(LO1) Understand the multi-disciplinary nature of tissue engineering and the key target areas that are currently successful within the field and why in terms of material development and cost.
(LO2) Develop a basic understanding of the biological environment into which a specific tissue engineered device could be implanted and the associated experimental/functional parameters that need to be considered when addressing these areas.  Understand the differences in tissue structure in terms of mechanical properties and how these need to be incorporated into material and experimental design.
(LO3) Develop an understanding for the need for “bottom-up” (material induced biological responses) approaches to tissue engineering  , understanding how to use material variables to control cell responses and what material variables can be changed to control certain biological responses
(LO4) Identify novel material development/modification techniques that can be used to develop the next generation of smart materials for tissue engineering applications
(LO5) Understand and design in vitro testing regimes that can be used to assess the potential of materials for tissue engineering applications.
(S1) Communication skills-Oral Presentation
(S2) Teamwork-Group Work
(S3) Problem solving skills-Material selection ssesments
"
Project Management ,(MNGT502),Compulsory modules,M,7.5,First Semester,45:55,"To teach students the fundamentals of practical project management required in later university study and in professional engineering careers;
To provide students with the opportunity to develop a range of professional and project management skills through group project work.
","(LO1) On completion of this module students will have developed knowledge un understanding of fundamentals of practical project management including:
- situational analysis
-preparation of requirements documentation
- formulation of objectives
- work programme planning
- work programme scheduling
- understanding and use of critical path
(LO2) On completion of this module students will have developed knowledge un understanding of fundamentals of practical risk management including:
- identification of risks to project completion
- quantification of risk severity
- risk analysis and mitigation / contingency planning
(LO3) On completion of this module students will have developed knowledge un understanding of fundamentals of practical cost management including:
- understanding and analysis of direct and indirect costs
- calculation of key costs such as labour and depreciation of capital
- understanding and analysis of cost behaviour over time
- understanding and calculation of overheads and overhead absorption rates
- cost analysis as a decision making tool (eg special order costing)
(S1) On completion of the 5 project tasks students will be able to demonstrate their development of group work and communications skills
(S2) On completion of the 5 project tasks students will be able to demonstrate their development of meeting management and record keeping skills
(S3) On completion of the 5 project tasks students will be able to demonstrate that they can deliver project outputs to a hard deadline
(S4) On completion of the 5 project tasks students will be able to demonstrate their ability to use MS Project software as a management tool.
(S5) On completion of the MSc only task the students will develop and evidence skills in self and peer performance evaluation
"
Advanced Modern Management ,(MNGT352),Compulsory modules,3,7.5,First Semester,100:0,"The Aims of this module are as follows:
To introduce the student to various aspects of advanced modern management.
To develop a knowledge and understanding of modern management tools.
To stimulate an appreciation of management and its importance in organisational success.
","(LO1) Students who complete this module will obtain a good understanding of the following:    The scientific theory of industrial psychology and organisational behaviour.    The key components of operations and management.    The impact of supply chain and logistics to modern business.
(LO2) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to:    Analysis of organisation behaviour.    Analysing of operations systems and performance evaluation.    Analysis and modelling of supply chain.
(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: in descriptive writing in qualitative and quantitative analysis and problem-solving
(S2) On completion of the module, students should have gained the following practical skills: Management awareness. Strategy development based on case studies including proposals for improvement.
"
Enterprise Studies ,(MNGT414),Compulsory modules,M,7.5,Second Semester,0:100,"To introduce the student to various aspects of entrepreneurial activity
To develop a knowledge and understanding of enterprise related concepts, legislation and current development tools.
To stimulate an appreciation of modern enterprise challenges and the importance of entrepreneurial activity in relation to organisational success.
","(LO1) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the key aspects of enterprise activities (Marketing, Management of Technology, Entrepreneurship, Business Planning, Legislation, Ethics).
(LO2) On successful completion of the module, students should be able to demonstrate knowledge and understanding of theory on technology assessment and competitive positioning.
(LO3) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the relationships between innovation, technology and commercial viability.
(LO4) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the main differences between general management and enterprise processes.
(LO5) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the process of business planning and financing new business start-ups.
(LO6) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the modern approach to innovation management and professional ethics.
(LO7) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to describing and explaining the concepts and processes in the syllabus.
(LO8) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to analysing technology opportunity and value propositions.
(LO9) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to preparing of business plans.
(LO10) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to dealing with ambiguity.
(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: in descriptive writing in qualitative and quantitative analysis and problem-solving in effective assessment of business opportunities
(S2) On successful completion of the module, students should have gained the following practical skills: Computer searching for real-time business information, worldwide patents and British Standards Using software to assist with the preparation of a plan for a technology-based business group working project management
"
Msc(eng) Project (60 Credits) ,(ENGG660),Compulsory modules,M,60,Summer (June-September),0:100,"This module enables students to pursue a research project under the guidance of a member of academic staff.
","(LO1) On successful completion of the project, the student should have developed a substantial and systematic knowledge and understanding of key aspects of the engineering or engineering-related topic of his/her project, including the theory, recognised principles and best practices (as appropriate).  Much of this knowledge will be at, or informed by, the forefront of defined aspects of the discipline.
(LO2) On successful completion of the project, the student should also have developed a comprehensive knowledge and understanding of the experimental and theoretical techniques and research methodology appropriate to advanced study in their field.
(S1) On successful completion of the project, the student should be able to show experience and enhancement of the following key skills: 
Dealing with complex issues in a systematic and creative manner; 
Effectively communicating findings orally and in writing to specialist and non-specialist audiences; 
Planning and implementing tasks autonomously at a professional level; 
Interacting effectively with others (eg, supervisor, technicians, etc); 
Designing poster/webpages; 
Computing and ITskills (scope-dependent);
Self-discipline, self-motivation, self-direction and originality in tackling and solving problems.
(S2) On successful completion of the project, the student should be able to show experience and enhancement in some of the following discipline-specific practical skills (depending on the scope of the project): 
Using sophisticated research equipment to carry out experimental/laboratory/workshop activities with due regard to safety;
Using appropriate engineering analysis software and IT tools.
(S3) On successful completion of the project, the student should be able to demonstrate ability in several of the following: 
Critically evaluating current research and advanced scholarship;
Defining/specifying a problem; 
Researching and information-gathering; 
Planning/designing experimental work using suitable techniques and procedures with due regard to safety; 
Assessing and managing risk; 
Analysing technical problems qualitatively and/or quantitatively and drawing conclusions; 
Designing a system, component or process based on an outline or detailed specification; 
Assembling and analysing data and drawing conclusions; 
Evaluating current methodologies and (where appropriate) propose new methodologies; 
Critically evaluate the project outcomes; 
Making an original contribution to knowledge.
"
