Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Materials Processing and Selection ,(MATS520),Compulsory modules,M,15,First Semester,70:30,"This module will introduce the student to the concepts of materials processing and selection and the criteria used in these processes. The broad scope of manufacturing and processing technologies for metals, ceramics and polymers will be introduced.  This will be followed by development of a deeper appreciation of the influence of processing upon the structure and properties of these materials.
","(LO1) Knowledge and understanding of a broad range of advanced metal, polymer and ceramic processing techniques and manufacturing technology. 
(LO2) Appreciation of how the processing of materials affects their microstructure and properties.
(LO3) Understanding of heat-treatment processes in the context of materials processing
(LO4) Appreciation of the factors which are important in the selection of a material and fabrication process to produce components with specific mechanical and other properties
(S1) Problem solving skills
(S2) Numeracy
(S3) IT skills
(S4) Commercial awareness
"
"Design for Environment, Manufacture and Assembly ",(MNFG413),Compulsory modules,M,7.5,Second Semester,0:100,"The aim of this module is to provide an introduction to the tools and methods of Eco-design, Design for Manufacture and Assembly using real, everyday products as examples.
","(S1)  On successful completion of the module, students should be able to show experience and enhancement of the following key skills: Written communication by means of project reports and engineering drawings. Project team work. Creative design and problem solving skills.
(S2)  The module will require the strip-down of a variety of household products (e.g. electric screwdriver, toaster, electric kettle etc.), the investigation and understanding of the functions and features of these products, and the redesign of the products. It will therefore enable the practical application of: Real engineering design techniques; Eco-design as an engineering tool; Procedures for optimised product design using the techniques of Boothroyd and Dewhurst; The &amp;quot;Durham Methodology&amp;quot; for Design for Manufacture and Design for Assembly.
(S3)  On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to: Evaluating and improving existing designs. Choosing eco-design, manufacturing and assembly methods. Making complex design decisions at various points throughout the design process based on conflicting design requirements.
(S4)  On successful completion of the module, students should be able to demonstrate knowledge and understanding of: Eco-Design methods (including the 10 Golden Rules, the MET, the Eco-design Web and so on). The relationship between Eco-Design and Design for Sustainability Design Costing methods The principles of design for manufacture and assembly The conflict between eco-design, design for manufacture and design for assembly
"
Computer Aided Design ,(MNFG604),Compulsory modules,M,7.5,First Semester,0:100,"To introduce the student to the latest 3D tools and techniques used by designers.
To develop a wider knowledge and understanding of integrated systems design.
To stimulate an appreciation of modern design and development methodologies.
","(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: Engineering related IT skills Qualitative and quantitative analysis and problem-solving
(S2) On successful completion of the module, students should be able to show experience and enhancement of the following discipline-specific practical skills: Proficient use of Pro/ENGINEER 3D CAD/CAM/CAE - [WILDFIRE]
(S3) On successful completion of the module, students should be able to demonstrate ability in: Working from existing specifications and technical drawings Translating concepts and ideas into non-ambiguous 3D models in virtual space Developing articulate and intelligent parametric models with the correct &#39;design intent&#39; Integrated system design
(S4) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the following: Principles of modern computer aided design Latest computer aided design methodologies Processes used in integrated systems design Parametric modelling - the master model concept Pro/ENGINEER CAD/CAM/CAE &#39;Design for Manufacture and Assembly&#39; (DFMA) Traditional management of assemblies using a &#39;Bill of Materials&#39; (BOM) Industry standard technical drawings
"
Product Modelling & VIrtual Reality ,(MNFG608),Compulsory modules,M,15,Second Semester,0:100,"Welcome to Product Modelling &amp; VR.
This module provides a continuance to the subjects and topics covered in Product Design 1 and an opportunity to apply them to a detailed project. This module also includes an overview and introduction to the area of modelling and virtual reality in design on a practical level. During the next 24 weeks, modelling and simulation will be examined, discussed and analysed by relating theories to practice in a 12 week lonh product design and development project.
Students will examine what it takes to bring a new product off the drawing board, through virtual development, and into a modern pre-tooling &#39;pre-sales&#39; promotional environment. Students will also be encouraged to examine how this process is inextricably linked to achieving success in the development of new products.
Students will learn:
Through Discussion: Perhaps the most important mechanism, discussion involves everyone. Moreover, without discussion, we cannot identify that you have grasped the basic principles. Sharing is an important learning mechanism. Do it often.
Through Written Assignments: Written assignments help us to look at you individually. You can sometimes “hide” in the group, but with individual written assignments, we are able to judge your compliance with learning outcomes and see where you have strengths and weaknesses.
Through Group and/or Individual Projects: These facilitate teamwork, critical thinking, decision making, and enhance organizational skills. Modelling and virtual reality (particularly thanks to the development and incorporation of Web3D facilities into the global design arena) is a growing and highly researched area within current design education and practice.
The development of exceptional design modelling and virtual reality skills will become increasingly crucial to sustaining economic growth in the dynamic global economy in the not too distant future.
The ability to leading design and simulation tools is now considered key to long-term organizational success - it is a new strategic weapon. Students nearing graduation must therefore learn the keys to this approach in order to become effective managers in the 21st Century. Once managers adopt a posture which includes these modern tools and techniques, they will be able to better deliver true market opportunities and exploit those opportunities with speed and confidence.
","(S1)  On completion of the module, students should be able to show experience and enhancement of the following key skills: &amp;#183;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;IT skills in the use of Windows 2000 and the University network &amp;#183;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;IT skills in the use of the internet for uploading and downloading files &amp;#183;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;Self-learning using online courses &amp;#183;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;&amp;#160;Self-discipline and motivation in submitting coursework to deadlines.
(S2)  On completion of the module, students should be able to show experience and enhancement of their skills in: the specification of PMVR for the communication of engineering and design information. the specification of designs and methodologies for the communication of, and the development of designs and design information
(S3)  Theoretical and applied topics covering the application of modern product modelling and design simulation software for visual communication of designs, animated movie planning and execution, and component / assembly analysis using simulation practices including finite element and mould flow techniques are introduced, discussed and practiced. Theoretical and applied topics covering manual calculations, design specifications, DFM/A, design reviews, and detailed engineering tolerance drawings.
(S4)  On successful completion of the module, students should be able to demonstrate knowledge and understanding of the following:&amp;#160; To provide Knowledge of theory and methodologies of product design practice To give students practical experience in developing product design techniques Investigate in-depth relationships, concepts, and PMVR methodologies Make a technical presentations to the class Demonstrate PMVR knowledge through relevant design exercises &amp;#160;
"
Integrated Systems Design ,(MNFG615),Compulsory modules,M,15,Second Semester,0:100,"The primary aim is to gain a practical appreciation of Integrated System Design (ISD) through the design, build and operation of free-standing mobile robots which will perform specific tasks.  This module will give the students an opportunity to work in teams; gain an understanding of what it means to plan and work through a project; work to deadlines; maximise resources; and cope with uncertainty.
","(S1) On successful completion of the module, students should be able to show experience in the entire design cycle of an integrated system within a team environment.
(S2) On successful completion of the module, students should be able to demonstrate ability in using appropriate system design tools and methodologies.
(S3) On successful completion of the module, students should be able to demonstrate the ability in: -design a product with an integrated systems approach. -analysis and synthesis of product requirements in a systematic framework.
(S4) The students will learn a range of skills ranging from vision systems, sensors, control, drive and materials etc.  They will learn disciplines relating to project planning and budget control. They will learn skills relating to integrated system design and engineering implementation.  All of this will provide them with knowledge and skills that will be of benefit during their engineering careers.
"
Management of Design ,(MNGT413),Compulsory modules,M,7.5,Second Semester,70:30,"To enable students to develop a general understanding of a wide range of aspects of the design function in a manufacturing company and its management, and in particular a comprehensive understanding of the Design Process. The core of the module is a detailed study of a six-phase model of the Design Process derived from several authors and BS7000: Product Planning and Feasibility; Design Specification; Conceptual Design; Embodiment Design; Detail Design; Post-Design-Release.
","(LO1) To enable students to develop a general understanding of a wide range ofaspects of the design function in a manufacturing company and itsmanagement, and in particular a comprehensive understanding of the DesignProcess.
The core of the module is a detailed study of a six-phase model of theDesign Process derived from several authors and BS7000: Product Planning andFeasibility; Design Specification; Conceptual Design; Embodiment Design;Detail Design; Post-Design-Release.
(S1)  On successful completion of the module, students should be able to show awareness of organisational and management aspect of design-related companies.
(S2)  Researching information and writing reports
(S3)  On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to: describing and explaining the concepts and processes in the syllabus comparing and contrasting the design processes described by different authors applying the concepts to a case study.
(S4)  On successful completion of the module, students should be able to demonstrate knowledge and understanding of: the importance of EFFECTIVE DESIGN to the company and to the UK economy the role of the DESIGN FUNCTION within a manufacturing company the key stages of the DESIGN PROCESS the importance of COST MANAGEMENT in all design activities the key aspects of the DESIGN PROJECT MANAGEMENT the key aspects of CORPORATE DESIGN MANAGEMENT management aspects of COMPUTER AIDS in Design.
"
Enterprise Studies ,(MNGT414),Compulsory modules,M,7.5,Second Semester,0:100,"To introduce the student to various aspects of entrepreneurial activity
To develop a knowledge and understanding of enterprise related concepts, legislation and current development tools.
To stimulate an appreciation of modern enterprise challenges and the importance of entrepreneurial activity in relation to organisational success.
","(LO1) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the key aspects of enterprise activities (Marketing, Management of Technology, Entrepreneurship, Business Planning, Legislation, Ethics).
(LO2) On successful completion of the module, students should be able to demonstrate knowledge and understanding of theory on technology assessment and competitive positioning.
(LO3) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the relationships between innovation, technology and commercial viability.
(LO4) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the main differences between general management and enterprise processes.
(LO5) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the process of business planning and financing new business start-ups.
(LO6) On successful completion of the module, students should be able to demonstrate knowledge and understanding of the modern approach to innovation management and professional ethics.
(LO7) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to describing and explaining the concepts and processes in the syllabus.
(LO8) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to analysing technology opportunity and value propositions.
(LO9) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to preparing of business plans.
(LO10) On successful completion of the module, students should be able to demonstrate ability in applying knowledge of the above topics to dealing with ambiguity.
(S1) On successful completion of the module, students should be able to show experience and enhancement of the following key skills: in descriptive writing in qualitative and quantitative analysis and problem-solving in effective assessment of business opportunities
(S2) On successful completion of the module, students should have gained the following practical skills: Computer searching for real-time business information, worldwide patents and British Standards Using software to assist with the preparation of a plan for a technology-based business group working project management
"
Msc(eng) Project (60 Credits) ,(ENGG660),Compulsory modules,M,60,Summer (June-September),0:100,"This module enables students to pursue a research project under the guidance of a member of academic staff.
","(LO1) On successful completion of the project, the student should have developed a substantial and systematic knowledge and understanding of key aspects of the engineering or engineering-related topic of his/her project, including the theory, recognised principles and best practices (as appropriate).  Much of this knowledge will be at, or informed by, the forefront of defined aspects of the discipline.
(LO2) On successful completion of the project, the student should also have developed a comprehensive knowledge and understanding of the experimental and theoretical techniques and research methodology appropriate to advanced study in their field.
(S1) On successful completion of the project, the student should be able to show experience and enhancement of the following key skills: 
Dealing with complex issues in a systematic and creative manner; 
Effectively communicating findings orally and in writing to specialist and non-specialist audiences; 
Planning and implementing tasks autonomously at a professional level; 
Interacting effectively with others (eg, supervisor, technicians, etc); 
Designing poster/webpages; 
Computing and ITskills (scope-dependent);
Self-discipline, self-motivation, self-direction and originality in tackling and solving problems.
(S2) On successful completion of the project, the student should be able to show experience and enhancement in some of the following discipline-specific practical skills (depending on the scope of the project): 
Using sophisticated research equipment to carry out experimental/laboratory/workshop activities with due regard to safety;
Using appropriate engineering analysis software and IT tools.
(S3) On successful completion of the project, the student should be able to demonstrate ability in several of the following: 
Critically evaluating current research and advanced scholarship;
Defining/specifying a problem; 
Researching and information-gathering; 
Planning/designing experimental work using suitable techniques and procedures with due regard to safety; 
Assessing and managing risk; 
Analysing technical problems qualitatively and/or quantitatively and drawing conclusions; 
Designing a system, component or process based on an outline or detailed specification; 
Assembling and analysing data and drawing conclusions; 
Evaluating current methodologies and (where appropriate) propose new methodologies; 
Critically evaluate the project outcomes; 
Making an original contribution to knowledge.
"
Early Stage New Product Development ,(MNFG601),Compulsory modules,M,15,First Semester,0:100,"To critically engage students in the various aspects of early stage new product development.
To teach the fundamentals of Industrial Design including drawing, graphical presentation and design communication skills.
To develop a knowledge, understanding and mastery of current early stage new product development tools and their integration.
","(LO1) On successful completion of the module, students should be able to demonstrate knowledge, understanding and mastery of the key aspects of early stage new product development (Product Briefs, Product Design Specifications, Conceptualisation, Concept Variant Analysis, Embodiment Design, Initial Detailed Design and Prototyping).
(LO2) On successful completion of the module, students should be able to demonstrate knowledge, understanding and mastery of the processes of designing within the context of Industrial Design. This will include drawing, graphical presentation, design communication skills, the role the Industrial Designer plays in the development of a new or existing product, the importance of human perception with respect to the end use of a product and anthropometrics.
(LO3) On successful completion of the module, students should be able to demonstrate an ability to negotiate and develop a working project brief, write product design specifications, conceptualise (through sketch work) new designs, rationalise ideas, develop an initial product in 3D space and present an initial ‘proof of concept’ prototype.
(S1) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S2) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
"
Technical Writing for Engineers ,(ENGG596),Compulsory modules,M,7.5,First Semester,0:100,"This module develops technical writing skills to support project planning.
","(LO1) Critical Review of Scientific Literature
(LO2) Technical Writing Skills
(LO3) Carrying out a Literature Survey
(S1) Communication skills
(S2) Problem solving skills
(S3) IT skills
"
