Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Creative Writing I: the Social Text ,(ENGL792),Compulsory modules,M,15,First Semester,0:100,"The aims of this module are: To give students the opportunity to consider how critically-informed creative practice engages with a global society, social justice, political and environmental issues and human rights; to introduce how creative and critical forms can complement one another, with a particular focus on textual practice; to develop facilities in producing creative writing in a critical context across poetry, prose, drama and other forms of writing; to develop a greater theoretical understanding of matters pertaining to socially-engaged writing; to foster independence in creative and critical thinking, alongside reading of contemporary writing in a variety of genre and media.
","(LO1) Students will have the ability to engage with a variety of advanced technical and formal approaches to socially-engaged creative writing in a critical context, and to constructively evaluate their own writing.
(LO2) Students will be able to demonstrate an advanced compositional techniques and methods and a sophisticated awareness of the range of options available to them as writers.
(LO3) Students will be able to demonstrate an understanding of the drafting process and its importance in relation to creative writing.
(LO4) Students will be able to develop sophisticated arguments that reflect social engagement through creative writing in a critical context.
(S1) Students will gain advanced compositional skills in creative writing in a critical context.
(S2) Students will gain advanced communication, interpersonal and communication skills.
(S3) Students will develop resilience and independence in the production of their own creative writing.
(S4) Students will gain the ability to use IT and other relevant tools to present written work to a professional standard.
(S5) Students will gain the ability to handle complex information in a critical, creative and self-reflective manner.
(S6) Students will gain organisation skills in managing time and workloads, and in meeting deadlines.
(S7) Students will gain advanced critical and analytical skills in relation diverse forms of discourse.
"
Creative Writing Workshop 1 ,(ENGL790),Compulsory modules,M,15,First Semester,0:100,"This module seeks to provide students with the opportunity to enhance and refine their creative writing. The module offers students a supportive environment to develop their own distinctive approach to creative practice. Through reflective reading – both of their peers and established writers, in addition to exploratory reading of their choice – students will learn to read as writers, drawing on the skills and practices of other writers, whilst situating their own work within a wider field.
","(LO1) Students will be able to work with independence to produce original creative writing.
(LO2) Students will be able to demonstrate an advanced compositional techniques and methods and a sophisticated awareness of the range of options available to them as writers.
(LO3) Students will be able to demonstrate an understanding of the drafting process and its importance in relation to creative writing.
(LO4) Students will be able to reflect on their creative practice in relation to the writing of others.
(S1) Students will gain advanced compositional skills in creative writing.
(S2) Students will gain advanced communication, interpersonal and communication skills.
(S3) Students will develop resilience and independence in the production of their own creative writing.
(S4) Students will gain the ability to use IT and other relevant tools to present written work to a professional standard.
(S5) Students will gain the ability to handle complex information in a critical, creative and self-reflective manner.
(S6) Students will gain organisation skills in managing time and workloads, and in meeting deadlines.
"
Creative Writing II: the Social Voice ,(ENGL793),Compulsory modules,M,15,Second Semester,0:100,"The aims of this module are: To give students the opportunity to consider how creative performative practice engages in a critical context with a global society, social justice, political and environmental issues and human rights; to introduce how creative and critical forms can complement one another, with a particular focus on voice-based practice; to develop facilities in producing critical-inflected creative writing across poetry, prose, drama and other forms of writing with a view to understanding how students can use their own voice and the voices of others; to develop a greater theoretical understanding of matters pertaining to socially-engaged writing; to foster independence in creative and critical thinking, alongside reading of contemporary writing in a variety of genre and media.
","(LO1) Students will have the ability to engage with a variety of advanced technical and formal approaches to socially-engaged creative writing in a critical context, and to constructively evaluate their own writing.
(LO2) Students will be able to demonstrate an advanced compositional techniques and methods and a sophisticated awareness of the range of options available to them as writers.
(LO3) Students will be able to demonstrate an understanding of the drafting process and its importance in relation to creative writing.
(LO4) Students will be able to develop sophisticated arguments that reflect social engagement through creative writing in a critical context.
(S1) Students will gain advanced compositional skills in creative writing in a critical context.
(S2) Students will gain advanced communication, interpersonal and communication skills.
(S3) Students will develop resilience and independence in the production of their own creative writing.
(S4) Students will gain the ability to use IT and other relevant tools to present written work to a professional standard.
(S5) Students will gain the ability to handle complex information in a critical, creative and self-reflective manner.
(S6) Students will gain organisation skills in managing time and workloads, and in meeting deadlines.
(S7) Students will gain advanced critical and analytical skills in relation diverse forms of discourse.
"
Creative Writing Workshop II ,(ENGL791),Compulsory modules,M,15,Second Semester,0:100,"This module seeks to provide students with the opportunity to enhance and refine their creative writing. The module offers students a supportive environment to develop their own distinctive approach to creative practice. Through reflective reading – both of their peers and established writers, alongside exploratory reading of their choice – students will learn to read as writers, drawing on the skills and practices of other writers, whilst situating their own work within a wider field. Students will enhance their awareness of appropriate industry areas, gaining skills and confidence in approaching key figures such as agents and editors.
","(LO1) Students will be able to work with independence to produce original creative writing.
(LO2) Students will be able to demonstrate an advanced compositional techniques and methods and a sophisticated awareness of the range of options available to them as writers.
(LO3) Students will be able to demonstrate an understanding of the drafting process and its importance in relation to creative writing.
(LO4) Students will be able to reflect on their creative practice in relation to the writing of others.
(LO5) Students will be able to identify key industry figures and to articulate how their work is appropriate for particular platforms.
(S1) Students will gain advanced compositional skills in creative writing.
(S2) Students will gain advanced communication, interpersonal and communication skills.
(S3) Students will develop resilience and independence in the production of their own creative writing.
(S4) Students will gain the ability to use IT and other relevant tools to present written work to a professional standard.
(S5) Students will gain the ability to handle complex information in a critical, creative and self-reflective manner.
(S6) Students will gain organisation skills in managing time and workloads, and in meeting deadlines.
(S7) Students will gain confidence in self-promotion and enhance their professional practice skills.
"
Creative Writing Dissertation ,(ENGL794),Compulsory modules,M,60,Whole Session,0:100,"Students must develop and deliver a capstone portfolio of original creative writing, consisting of either 14,000-15,000 words of prose, 70-80 pages of drama or 20-25 pages of poetry. Over the course of four one-to-one meetings, students will work a supervisor who is an expert in their field. Part of the portfolio may be work that students have submitted in the Workshop modules, but this will be expected to be revised in response feedback. As the module requires students to undertake a large project over a number of months and to produce, independently, a coherent body of work of significant length, it provides an excellent grounding in many key professional skills.
","(LO1) Students will be able to demonstrate an advanced compositional techniques and methods and a sophisticated awareness of the range of options available to them as writers.
(LO2) Students will be able to demonstrate an advanced compositional techniques and methods and a sophisticated awareness of the range of options available to them as writers.
(LO3) Students will be able to work with a supervisor to identify as well as autonomously plan and implement an independent, dissertation-length creative project.
(LO4) Students will be able to demonstrate a sophisticated awareness of current trends and new opportunities within the field of creative writing, and to respond to these with their own original work.
(S1) Students will gain advanced compositional skills in creative writing.
(S2) Students will develop resilience and independence in the production of their own creative writing.
(S3) Students will gain the ability to use IT and other relevant tools to present written work to a professional standard.
(S4) Students will gain organisation skills in managing time and workloads, and in meeting deadlines.
(S5) Students will gain confidence in independently producing a substantial work creative writing.
(S6) Students will gain advanced communication, interpersonal and communication skills.
"
Bodies in Space ,(ENGL783),Optional modules,M,15,Second Semester,0:100,"This module enables students to re-conceptualise a number of established tropes of SF writing within a broader contextual and theoretical framework. Using theories and theorists of the body, of environments, and of systems, the sf texts under consideration will be interrogated for the politics they adopt, reject, or appropriate, as well as the ways in which they position the body historically, socially, and culturally.
","(LO1) Students will be able to analyse the ways in which science fiction, and its associated tropes, can be situated within relevant historical, theoretical, and cultural contexts.
(LO2) Students will be able to reflect critically on the ways in which science fiction utilises notions such as ‘the body’ and ‘space’ to reflect social concerns and positions.
(LO3) Students will be able to demonstrate a nuanced understanding in which texts can be oriented in relation to their conceptions of ‘the body’ and the frameworks in which it is placed.
(LO4) Students will be able to engage rigorously with relevant critical debates.
(S1) Communication (oral, written and visual).
(S2) Critical thinking and problem solving.
(S3) Communication (oral, written and visual).
(S4) Information skills.
(S5) Research skills.
(S6) Skills in using technology.
(S7) Research skills.
"
Editing the Early Modern ,(ENGL752),Optional modules,M,15,Second Semester,0:100,"The module aims to: introduce students to the practice of scholarly editing; familiarise students with historical trends in editing and current debates in editing/textual theory; develop in students a knowledge of printing practice and book history over the course of the Renaissance and eighteenth century; encourage students to consider the artistic and interpretative implications of practical editorial decisions; consider the relationship between editing and interpretation.
","(LO1) Students will gain the ability to read, analyse, interpret and compare with competence and independence a wide variety of literary texts.
(LO2) Students will gain an advanced knowledge and systematic understanding of the political and ideological aspects of literary texts and how they can be situated within appropriate cultural and social contexts.
(LO3) Students will gain a critical appreciation of the ways in which texts can be situated within literary history, including issues of genre, influence, and creation and reception.
(LO4) Students will gain an advanced knowledge and critical awareness of current and new literary, critical and theoretical debates.
(LO5) Students will gain a comprehensive and practical understanding of techniques for accessing electronic and bibliographic sources.
(LO6) Students will gain the ability to use scholarly referencing and bibliographic conventions appropriate for advanced literary scholarship.
(LO7) Students will gain research skills enabling critical evaluation of different research methodologies and selection of appropriate methodologies.
(LO8) Students will gain research skills to deal with complex issues both systematically and creatively in order to generate new and independent research.
(S1) Students will gain a systematic knowledge and critical awareness of current debates and new insights within the field of literature and its contexts.
(S2) Students will gain advanced critical and analytical skills in relation to diverse forms of discourse.
(S3) Students will gain advanced literacy, interpersonal and communications skills, and the ability to present sustained and persuasive written and oral arguments.
(S4) Students will gain the ability to autonomously design and self-direct a research project that brings together historical and literary approaches.
(S5) Students will gain the ability to comprehensively understand and apply a variety of theoretical approaches to literature.
(S6) Students will gain the ability to handle complex information and argument in a critical, creative and self-reflective manner.
(S7) Students will gain practical research skills to retrieve information, assemble bibliographic data, and critically evaluate, sift and organize material independently.
(S8) Students will gain the ability to use IT and other relevant tools and resources to present written and oral work to a professional, scholarly standard.
(S9) Students will gain advanced skills and experience in selecting and using electronic and/or archival resources for planning and undertaking research and writing.
(S10) Students will gain organisational skills in managing time and workloads, and in meeting deadlines.
"
Fictions of Technology ,(ENGL782),Optional modules,M,15,Second Semester,0:100,"This module examines the role that technology has played in literature, and how literature engages with discourses of technology. Reading texts from across history—and considering Victorian representations of technology, mechanisation and industrialisation, the optimism of Golden Age SF, cyberpunk and internet culture, and techno-thrillers—we will explore: the social hopes and fears that representations of new technologies encode; what literature reveals about the relationship between humanity and technology (as tool, opportunity, threat, and so on); the extent to which technology is conceived of as a solution, as a problem, or as both simultaneously, in relation to particular cultural concerns; the ways in which technologies and representations of technologies can be understood in relation to issues such as race, gender, disability, sexuality, nationality, wealth, and power; the “fictions” that we tell ourselves about technology, and about its impact on society.
","(LO1) Students will be able to demonstrate a systematic understanding of the ways in which a given technology has been situated in relation to social conventions and expectations.
(LO2) Students will be able to demonstrate advanced skills in textual analysis of a range of texts with detailed attention to the ways in which technology is represented.
(LO3) Students will be able to analyse, evaluate, and contextualise the ways in which technologies and representations of technology reflect—and may reinforce—established social hierarchies.
(LO4) Students will be able to critically engage with academic research and/or theoretical discourses about technology, and relate these to specific texts.
(LO5) Students will be able to present their knowledge in a format appropriate to advanced academic study, and suitable for different audiences.
(S1) Communication (oral, written and visual) - Academic writing (inc referencing skills).
(S2) Critical thinking and problem solving - Critical analysis.
(S3) Communication (oral, written and visual) - Presentation skills – oral.
(S4) Communication (oral, written and visual) - Listening skills.
(S5) Information skills - Critical reading.
(S6) Research skills - All Information skills.
(S7) Skills in using technology - Using common applications (word processing, databases, spreadsheets etc.).
(S8) Research skills - Awareness of /commitment to academic integrity.
"
Genre Definitions ,(ENGL780),Optional modules,M,15,First Semester,0:100,"The purpose of this module is to introduce students to the critical debates within and about the field of Science Fiction. Over the module, Science Fiction texts and cinematic adaptations will be compared to analyse the potentialities and limitations of each medium, alongside an exploration of a broad gamut of its sub-genres, side-genres, and modes, from scientific romance to the New Weird. The module compares “mainstream” Science Fiction texts (including short stories) with selected texts which might be said to explore comparable imaginative territory, or to be conducting similar experiments with language, narrative, and the mythologies of scientific progress and decline. In so doing, this module attempts to address a most basic question as directly as possible: what does Science Fiction do that other kinds of fiction doesn’t, or can’t?
","(LO1) Students will be able to demonstrate a systematic understanding of the ways in which science fiction has been defined, historically and conceptually.
(LO2) Students will be able to analyse and evaluate the ways in which texts can connect with each other to comprise a body of knowledge and field of study.
(LO3) Students will be able to demonstrate advanced skills in textual analysis of a range of science fiction works with detailed attention to questions of genre, form, content, and narrative structure.
(LO4) Students will be able to critically engage with academic research and/or theoretical discourses, and relate these to specific science fiction texts.
(LO5) Students will be able to present their knowledge in a format appropriate to advanced academic study, and suitable for different audiences.
(S1) Communication (oral, written and visual)
(S2) Critical thinking and problem solving
(S3) Communication (oral, written and visual)
(S4) Communication (oral, written and visual)
(S5) Information skills - Critical reading
(S6) Research skills
(S7) Skills in using technology
(S8) Research skills
"
Literature and Crisis ,(ENGL771),Optional modules,M,15,First Semester,0:100,"To deepen student critical awareness of non-canonical and canonical literatures. To advance student understanding of the social and political aspects of literature as a response to the present. To enable students to undertake individual research on lesser-known approaches and topics across time periods.
","(LO1) Students will gain the ability to read, analyse, interpret and compare with competence and independence a wide variety of literary texts.
(LO2) Students will gain an advanced knowledge and systematic understanding of the political and ideological aspects of literary texts and how they can be situated within appropriate cultural and social contexts.
(LO3) Students will gain a critical appreciation of the ways in which texts can be situated within literary history, including issues of genre, influence, and creation and reception.
(LO4) Students will gain an advanced knowledge and critical awareness of current and new literary, critical and theoretical debates.
(LO5) Students will gain new skills fostering continued independent learning and a critical appreciation of complex issues within the broader context of the Arts and Humanities.
(S1) Students will gain a systematic knowledge and critical awareness of current debates and new insights within the field of literature and its contexts.
(S2) Students will gain advanced critical and analytical skills in relation to diverse forms of discourse.
(S3) Students will gain advanced literacy, interpersonal and communications skills, and the ability to present sustained and persuasive written and oral arguments to specialist and non-specialist audiences.
(S4) Students will gain the ability to comprehensively understand and apply a variety of theoretical approaches to literature.
(S5) Students will gain the ability to handle complex information and argument in a critical, creative and self-reflective manner.
(S6) Students will gain the ability to use IT and other relevant tools and resources to present written and oral work to a professional, scholarly standard.
(S7) Students will gain advanced skills and experience in selecting and using electronic and/or archival resources for planning and undertaking research and writing.
(S8) Students will gain organisational skills in managing time and workloads, and in meeting deadlines.
"
