Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Analysing Language: Tradition and Technique ,(ENGL698),Compulsory modules,M,15,First Semester,0:100,"On this module, students will acquire a thorough understanding of the major influences that have shaped the current field of language and linguistics.  They will appreciate how the discipline has evolved and will develop sufficient knowledge of this evolution to be able to position against it their own work. Delivering a comprehensive overview of the major traditions of linguistic analysis, the module pays particular attention to the origins of modern pragmatics and discourse analysis, focussing on key thinkers like Grice, Searle and Austin. It also incorporates developments that intersect with the work of critical theorists and social philosophers like Gadamer, Foucault and Habermas. The module covers developments in cognitive linguistics and considers the way these developments have intersected with differing methods in discourse analysis. Running throughout the module is a focus on the theme of ‘truth’ in linguistic analysis and on the origins of the study of both meaning and thought in language. This theme leads naturally to contemporary socio-cultural perceptions of the language of ‘post truth’ and its manifestation in the public sphere.
","(LO1) Students will be able to demonstrate their knowledge of the history and practice of contemporary linguistics.
(LO2) Students will be able to show their awareness of how a linguistic analysis can be positioned in terms of the techniques it uses.
(LO3) Students will be able to demonstrate their awareness of how a linguistic analysis can be understood in terms of the traditional from which it is derived.
(LO4) Students will be able to display their understanding of the critical and philosophical influences that have shaped contemporary research in language and linguistics.
(LO5) Students will be able to apply their knowledge of how different traditions and techniques intersect and inform one another.
(S1) Students will acquire the skill to explain in an appropriately scholarly way the history and practice of contemporary linguistics.
(S2) Students will be able to identify the theoretical and historical underpinnings of a study or analysis of language.
(S3) Students will be proficient in articulating the broader theoretical context and provenance of published work in language and linguistics.
(S4) Students will be able to position their own writing and research on language in its appropriate theoretical and historical context.
(S5) Students will acquire the ability to present clearly and confidently their understanding of the discipline.
"
Corpus Linguistics for Language Research and Teaching ,(ENGL685),Compulsory modules,M,15,Second Semester,0:100,"Students will:
•	develop an understanding of how corpus-informed syllabuses and methodology have developed historically 
•	acquire skills needed for the analysis of data from written and spoken corpora
•	develop an awareness of corpus-informed methods and materials for application to language teaching 
•	enhance their ability to critically analyse corpus-informed teaching materials
","(LO1) On successful completion of the course, students will be able to demonstrate their knowledge and understanding of the application of  corpora in English language teaching materials, methodology and language analysis
(LO2) On successful completion of the course, students will be able to apply the above knowledge to the critical analysis of corpus-informed English language teaching materials
(LO3) On successful completion of the course, students will be able to evaluate and assess the grammatical/lexical differences between spoken and written discourse when comparing intuitive and corpus based analysis and the pedagogical implications of these
(S1) Using current corpus linguistic software applications and online resources
(S2) Applying the above analytical tools to corpus data in order to analyse it for teaching purposes
(S3) Identifying the relationship between teaching materials/methodology and corpus data and applying this to lesson plans and activities
(S4) Critical evaluation of corpus data in published teaching materials
"
Dissertation ,(ENGL702),Compulsory modules,M,60,Summer (June-September),0:100,"Students must develop and deliver an original capstone research project: more specifically, a 14,000-15,000-word dissertation, incorporating extensive secondary research, textual analysis, use of appropriate evidence and referencing and engagement with the contexts of literature. Students work with a supervisor who is an expert in their field. As the module requires students to plan a large project months ahead, to find and select relevant material, to maintain a coherent and complex argument and to analyse large amounts of information and text, it provides an excellent grounding in many key professional skills.
Students will build on skills developed in the Research Skills and Practice module (ENGL700) and on the lessons of the preliminary research for the Dissertation Preparation Project module (ENGL701).
","(LO1) Students will gain the ability to read, analyse, interpret and compare with competence and independence a wide variety of literary texts
(LO2) Students will gain a comprehensive and practical understanding of techniques for accessing electronic and bibliographic sources
(LO3) Students will gain the ability to use scholarly referencing and bibliographic conventions appropriate for advanced literary scholarship
(LO4) Students will gain new skills fostering continued independent learning and a critical appreciation of complex issues within the broader context of the Arts and Humanities
(LO5) Students will gain research skills enabling critical evaluation of different research methodologies and selection of appropriate methodologies
(LO6) Students will gain research skills to deal with complex issues both systematically and creatively in order to generate new and independent research
(LO7) Students will gain the ability to work with a supervisor to identify as well as autonomously plan and implement an independent, dissertation-length research project
(S1) Students will gain a systematic knowledge and critical awareness of current debates and new insights within the field of literature and its contexts
(S2) Students will gain advanced critical and analytical skills in relation to diverse forms of discourse
(S3) Students will gain advanced literacy, interpersonal and communications skills, and the ability to present sustained and persuasive written and oral arguments to specialist and non-specialist audiences
(S4) Students will gain the ability to autonomously design and self-direct an extended research project
(S5) Students will gain the ability to comprehensively understand and apply a variety of theoretical approaches to literature
(S6) Students will gain the ability to handle complex information and argument in a critical, creative and self-reflective manner
(S7) Students will gain practical research skills to retrieve information, assemble bibliographic data, and critically evaluate, sift and organize material independently
(S8) Students will gain the ability to use IT and other relevant tools and resources to present written and oral work to a professional, scholarly standard
(S9) Students will gain advanced skills and experience in selecting and using electronic and/or archival resources for planning and undertaking research and writing
(S10) Students will gain organisational skills in managing time and workloads, and in meeting deadlines
"
Functional Linguistics ,(ENGL696),Compulsory modules,M,15,Second Semester,0:100,"The students will acquire a range of skills for the analysis, within the functional model, of naturally occurring language in a variety of contexts of use.  Students will also obtain a solid grounding in the concept of language as Social Semiotic while another aim of the module is to enable students to employ the key principles of functional linguistics in their own textual analyses. To this extent, and as is consistent with this tradition in linguistics, the analytic skills imparted in FL are transferable and can be brought to bear on many types of data. It is intended therefore that techniques in FL analysis can be used for discourse analysis in the general sense but also with a narrower focus on topics in language study which include gender, identity, migrant discourses, translation, education, corpus analysis and global English(es).
","(LO1) Students will be able to demonstrate the broad understanding in Hallidayan linguistics that language functions as a Social Semiotic.
(LO2) Students will be able to show awareness of the three key metafunctions (experiential, interpersonal and textual) in language organisation across different registers and genres of discourse.
(LO3) Students will be able to apply a systematic understanding of scales, hierarchies and categories in language and show an ability to deliver in a structured way a textual analysis displaying these features.
(LO4) Students will be able to demonstrate an understanding of the potential applications of Functional Linguistics to other branches of language study.
(LO5) Students will be able to demonstrate knowledge of the system of Appraisal within FL.
(S1) Students will acquire the skill to undertake a functional analysis of naturally occurring language capturing the different levels and links between categories.
(S2) Students will be able to demonstrate the ability to organise a functional linguistic analysis, from clause constituency up to generic structure potential.
(S3) Students will acquire the skill to set out visually, using the appropriate annotation method, system networks for the 3 key metafunctions.
(S4) Students will show that they have the ability to identify developments and applications in functional linguistics and to relate these developments to the design and development of an original piece of research.
(S5) Students will demonstrate the ability to apply the functional framework to new kinds of data, such as CMC, and to suggest modifications to existing frameworks if the data warrants it.
(S6) Students will be able to demonstrate their ability to present their ideas clearly and confidently.
"
Language and Identity ,(ENGL697),Compulsory modules,M,15,Second Semester,0:100,"The students will acquire a range of theoretical insights into the concept of identity and its relation to language. Embracing a post-structuralist and social constructivist view, the students will familiarise with an anti-essentialist concept of identity/ies (both claimed and ascribed) as fluid, in motion, transformation, disruption and re-construction. Furthermore, the students will be encouraged to think of identities as (a) intersectional/complex and (b) multiple/hybrid. After establishing key concepts of identity-research, the students will examine key topics in the study of language and identity, capitalising on first-hand research carried out within the department. The students will engage with research spanning from the micro-level (e.g. conversational interaction) to the macro-level (e.g. language policy and planning in education) and across local, national, international/global and digital perspectives, while confronting a variety of real-world problems in which language plays a central role. The students will acquire the ability to think of identity in a critical way, by interpreting existing research in the context of current scholarship. Furthermore, they will learn how to design and carry out empirical research in language identity by applying and adapting a variety of analytical frameworks. This module will equip students with valuable tools both for academic research and the workplace, where issues of social justice in relation to identity categories (e.g. ethnicity, race, sexuality/gender, disability, religion among others) have been taking central stage over the last years.
","(LO1) The students will demonstrate knowledge of the concept of identity and related concepts (e.g. belonging, identification) from a variety of scholarly perspective/fields (sociology, psychology, politics, education etc)
(LO2) The students will demonstrate knowledge of the concept of identity and related concepts specifically in relationship to language
(LO3) The students will be able to apply concepts elaborated at the intersection of language and identity to the analysis of a set of known and novel texts
(LO4) The students will show critical understanding the role of power in the relationship between language and identity/ies
(LO5) The students will demonstrate critical awareness of key areas of research within language and identity
(LO6) The students will be able to evaluate in depth the methodologies and techniques used in the study of language and identity, included the ability to point out their strength and weaknesses
(LO7) The students will display an awareness of ethical issues in researching language and identity
(S1) The students will demonstrate the ability to effectively design and develop an independent and original piece of research on issues of language and identity
(S2) The students demonstrate the ability to identify and evaluate arguments presented in the scholarly literature
(S3) The students will display the ability to identify and critique arguments in non-scholarly discourses (the press, social media etc)
(S4) The students will be able to construct a valid argument grounded in the literature based on suitable data
(S5) The students will be able to apply pre-existing analytical framework to a new data-set, systematically and creatively, including the modification of existing frameworks if shortcomings are identified
(S6) The students will be able to present one’s ideas clearly and confidently in both spoken and written language
"
Research Skills for English Language ,(ENGL699),Compulsory modules,M,15,First Semester,0:100,"•    Equip MRes/MA students with the necessary research skills to make their own high-quality contribution to the field of English Language/Linguistics. 
•    Provide students with solid background knowledge of the main qualitative and quantitative methods used in linguistic research.  
•    Equip MRes/MA students with the ability to discuss and critically assess the research methods used in the literature, identifying strengths and weaknesses and their impact on data interpretation/analysis. 
•    Raise awareness of ethical issues in data collection and equip students with the knowledge and skills necessary to address ethical issues within their own research. 
","(LO1) Students will be able to demonstrate familiarity with and understanding of a range of relevant literature.
(LO2) Students will demonstrate critical thinking skills in reviewing existing research.
(LO3) Students will be able to present and defend a plausible and feasible research plan that also takes into account ethical issues.
(LO4) Students will demonstrate the ability to identify appropriate research questions (to be addressed in the dissertation/future work).
(LO5) Students will be able to choose appropriate research methods.
(LO6) Students will be able to analyse data and offer valid interpretations.
(S1) Students will gain problem solving/ critical thinking/ creativity skills, analysing facts and situations and applying creative thinking to develop appropriate solutions
(S2) Students will gain information technology skills, including the (application of) adopting, adapting and using digital devices, applications and services
(S3) Students will gain information literacy skills (online), incl. finding, interpreting, evaluating, managing and sharing information
(S4) Students will gain literacy skills, including the ability to produce clear, structured written work and oral literacy - including listening and questioning
(S5) Students will gain self-management skills, including a readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
(S6) Students will gain experience with team (group) work, including respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
(S7) Students will gain ethical awareness
"
Argumentation in Media and Strategic Communication ,(COMM520),Optional modules,M,15,Second Semester,0:100,"The module aims at providing students with:
•	advanced knowledge of argumentation and rhetorical theories for the study of strategic communication. 
•	theory-driven analytical methods for the critical examination of arguments manifested in different genres of strategic communication.
•	critical understanding of issues of persuasion and public trust in strategic communication.
","(LO1) Students will acquire advanced knowledge of argumentation and rhetorical theories for the study of strategic communication
(LO2) Students will acquire advanced theory-driven analytical methods for the critical examination of arguments manifested in different genres of strategic communication
(LO3) Students will develop critical understanding of issues of persuasion and public trust in strategic communication
(S1) Use of relevant theories and concepts for the critical analysis of argumentation and persuasion processes in organisational and media discourse, including ability to distinguish facts, opinions and arguments
(S2) Critical thinking for managing controversial decision-making problems
(S3) Ability to offer strategic advice to organisations on communication issues and initiatives
"
Fundamentals of Strategic Communication B ,(COMM517),Optional modules,M,15,First Semester,0:100,"The module aims at providing students with:
•	Advanced knowledge of the multidisciplinary study of strategic communication and gain familiarity with crucial concepts in fields such as public relations and corporate communication, (strategic) management, discourse studies, marketing and advertising. 
•	Critical understanding of the functions and impact of strategic communication in contemporary organisations, institutions and society at large. 
•	Familiarity with the different contexts of strategic communication, in particular crisis communication, issue and reputation management
•	Ability to analyse strategic communication contexts by identifying goals, audiences-stakeholders and institutional constraints within different communicative situations.
","(LO1) Students will acquire advanced knowledge of the multidisciplinary study of strategic communication and gain familiarity with crucial concepts in fields such as public relations and corporate communication, (strategic) management, discourse studies, marketing and advertising.
(LO2) Students will demonstrate critical understanding of the functions and impact of strategic communication in contemporary organisations, institutions and society at large.
(LO3) Students will demonstrate familiarity with the domain of crisis communication, issue and reputation management and other contexts of strategic communication.
(LO4) Students will be able to critically examine and explain strategic communication issues and cases through a rigorous application of academic concepts and methods.
(S1) Use of relevant theories for the critical understanding of strategic communication processes.
(S2) Ability to analyse and critically assess strategic communication phenomena.
(S3) Communication and presentation skills including clarifying and explaining concepts, defending and justifying opinions, anticipating and addressing critical questions, visualising knowledge effectively.
"
Research Methods for Strategic Communication ,(COMM523),Optional modules,M,15,First Semester,0:100,"The module had the following aims:
1.	To introduce students to principles and methods of academic research in communication and media, with a particular focus on the field of strategic communication studies. 
2.	To provide students with research methods knowledge and skills to undertake independent research 
3.	To support student in planning and preparing their dissertation project
4.	To give students critical awareness of issues of research ethics and familiarity with the procedures needed for undertaking ethically compliant research
","(LO1) Students will gain critical understanding of the importance of rigorous methods in academic research
(LO2) Students will learn how to identify research problems and formulate relevant questions and hypotheses
(LO3) Students will learn how to select appropriate methods and data to investigate a research problem
(LO4) Students will learn how to discuss and present research results
(LO5) Students will gain awareness of ethical implications of social research
(LO6) Students will have the ability to prepare and outline a dissertation proposal
(S1) Numeracy (application of) manipulation of numbers, general mathematical awareness and its application in practical contexts (e.g. measuring, weighing, estimating and applying formulae)
(S2) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions
(S3) Research management developing a research strategy, project planning and delivery, risk management, formulating questions, selecting literature, using primary/secondary/diverse sources, collecting &amp; using data, applying research methods, applying ethics
(S4) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S5) Positive attitude/ self-confidence A &#39;can-do&#39; approach, a readiness to take part and contribute; openness to new ideas and the drive to make these happen
"
Social Media Research Methods ,(COMM755),Optional modules,M,15,First Semester,40:60,"This module aims to provide students with an overview of research methods as applied to social media research. It aims to teach necessary foundational knowledge for research design, as well as specific approaches. By developing students’ abilities to understand and interpret published research as well as to conduct their own projects, it aims to support both the taught modules and the dissertation module for the MA in Media, Data and Society. The data analysis techniques and R skills taught in the module also aim to support students in future data-driven work outside the academy.
","(LO1) Students will acquire broad foundational knowledge of research methods design, research philosophy and research ethics policy and practice.
(LO2) Students will learn basic social statistics and their application to survey research
(LO3) Students will learn the foundations of computational social media research methods including different approaches to text analysis
(LO4) Students will learn about using social media as a source of data for applied research projects
(S1) Students will gain skills in understanding and interpreting published survey research into social media use.
(S2) Students will develop a foundational level of programming skills using R
(S3) Students will gain skills in obtaining social media research data from open platforms, and in analysing and interpreting it.
(S4) Students will gain skills in conducting and interpreting data visualisation of social media data.
"
