Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Introduction to Environment and Climate Change ,(ENVS425),Compulsory modules,M,15,First Semester,0:100,"To teach techniques of soil and sediment sampling and field description; 
To provide examples in the field of how sedimentary deposits can be used for environmental characterisation and reconstruction; 
To provide an introduction to various laboratory techniques for analysing soils and sediments; 
To provide an introduction to the regional environmental history;
To use a combination of the above to define and execute small research projects; 
To provide an overall introduction to recent and past environmental changes, our understanding behind these changes, forcing and feedback mechanisms as well as an overview of recently developed methodological tools for understanding past climates and environments.
","(LO1) Demonstrate the ability to undertake team work in both field and laboratory settings.
(LO2) Employ a range of instrumental techniques for environmental sampling.
(LO3) Evaluate and apply field and laboratory observation for environmental analsyis and reconstruction.
(LO4) Design and undertake an independent research project.
(S1) Problem solving skills
(S2) Numeracy
(S3) Teamwork
(S4) Organisational skills
(S5) Communication skills
(S6) IT skills
"
Project Design and Management ,(ENVS484),Compulsory modules,M,15,Second Semester,0:100,"This module is the first step to engage with the dissertation, with the development of a project design (aims and objectives), the background research (literature review), the methodology and expected outcomes. In addition to  developing a research hypothesis,  this module aims to achieve the acquisition of time management and independent thinking skills.
","(LO1) Students successfully completing this module will be able to design an individual research project.
(LO2) Students will demonstrate critically informed understanding of which appropriate methodology(ies) to choose for the investigation of the research topic.
(LO3) Students will demonstrate the ability to identify, access and critically use bibliographic resources and databases.
(LO4) Students will acquire a sound awareness of time and project management.
(LO5) Students will show an understanding on the importance of background research and formulate a clear research question
"
Dissertation - Environmental Sciences ,(ENVS490),Compulsory modules,M,60,Whole Session,0:100,"To develop the ability to undertake an individual research project building on the knowledge and skills acquired elsewhere in the programme.
","(LO1) In a format suitable for their programme and discipline area, students will demonstrate the ability to execute an individual research project building on the design developed in ENVS484
(LO2) students will be able to select appropriate research strategies and undertake appropriate methods of data collection and analysis
(LO3) students willbe able to synthesize different information sources to form coherent arguements and relate research findings to relevant applied issues
(LO4) students will be able to write up the results of the research project and interpret the findings in light of the broader knowledge base and literature
(LO5) students will be able to use bibliographies, referencing and citations in the appropriate and correct manner to support their academic work undertaken
(S1) Adaptability
(S2) Problem solving skills
(S3) Communication skills
(S4) Organisational skills
"
Research in Anthropocene Environments ,(ENVS485),Optional modules,M,15,First Semester,0:100,"The aim of this module is to provide students with:
The opportunity to conduct in depth piece of research on a chosen topic within the broad theme of human impacts on the environment;
Provide students with training in research methods and critical analysis techniques;
Teach them to write a short concise abstract (in a conference format);
To present the results in the form of a high impact, high quality A0 poster.
","(LO1) Demonstrate an understanding of anthropocene environments
(LO2) Knowledge of a series of key case studies illustrating interactions between human activities and terrestrial and marine ecosystems
(LO3) Critically analyse and assess previously published materials and synthesize into an appropriate case study
(LO4) Write a concise abstract
(LO5) Demonstrate knowledge of poster development and construction
(LO6) Present a poster in a professional manner
(S1) Problem solving skills
(S2) Communication skills
(S3) IT skills
(S4) Organisational skills
"
Coastal Environments: Spatial and Temporal Change ,(ENVS576),Optional modules,M,15,First Semester,50:50,"This module aims to consider the response of physical processes and coastal environments to changes in sea-level and climate.
Attention is given to the hydrodynamics and geomorphology of coastal environments, its response to external agents, as well as to possible coastal managment strategies.
The module aims at proving students with knowledge and understanding of the physical processes acting along coastal areas, and to promote students capability to critically understand pros and cons of different managment tecniques in relation to future climate change.
","(LO1) In depth knowledge and understanding of the physical drivers that shape coastal environments across a range of spatial and temporal scales
(LO2) Understanding that coastal environments evolve as a result of process and form interaction across a range of temporal and spatial scales
(LO3) Critically evaluate the relative importance of external agents in shaping the coastline based on their magnitude, frequency, and spatial characteristics
(LO4) Capability to apply knowledge on coastal processes and critically analyse the suitability of different coastal protection schemes in the context of real case studies
(S1) Problem solving skills
(S2) Numeracy
(S3) Communication skills
(S4) Organisational skills
"
Physical Properties of Environmental Archives and Modelling Approach ,(ENVS433),Optional modules,M,15,First Semester,0:100,"To outline the principles of the application of granulometric, rock magnetic, biogeochemical analytical techniques, tree ring analysis and dating techniques to enable palaeoenvironmental reconstructions;
To teach the practical laboratory measurement and analysis of the above;
To introduce the theory and practice of methods of advanced data presentation and analysis.
","(LO1) To make practical measurements of sediment grain-size, geochemical and rock magnetic properties
(LO2) To interpret litho-, magnetic-, and geochemical stratigraphies to reconstruct sedimentary environments, identify sediment sources and reconstruct human impacts
(LO3) to graphically present and statistically analyse a range of uni and multivariate data sets
(LO4) To gain an insight in environmental modelling by developping knowledge and technical capabilities about programming language.
(LO5) To get acquainted with specialised softwares to analyse variable used to understand changes in environmental conditions
(S1) Problem solving skills
(S2) Numeracy
(S3) Teamwork
(S4) Communication skills
(S5) IT skills
(S6) Organisational skills
"
Politics of the Environment ,(ENVS525),Optional modules,M,15,First Semester,50:50,"This module is designed to critically evaluate the political responses to the growing impacts that environmental issues and the concept of sustainability are having on decision making at all levels of governance (international, national and local) and other spheres of decision making which impact on the environment. More specifically the module aims to:
Develop a critical understanding of the growing importance of environmental and sustainable development thinking in  decision-making processes;
Explore different environmental attitudes, values and perspectives and examine the impact on various environmental perspectives;
Develop a critical understanding of the opportunities and limitations of environmental decision making international dimension of environmental politics and its impact on nation states;
Understand the role that environmental pressure groups have in shaping political decisions at the international, national and local levels of governance;
Critically evaluate the policy responses at national and local levels to the new emerging environmental agenda;
Explore the role and impact of other decision makers on environmental agendas.
","(LO1) A critical appreciation of how environmental issues are being addressed at all levels of government
(LO2) A critical understanding of different environmental values and attitudes and the way that these impact upon political philosophy and decision making
(LO3) A critical understanding of the way that various environmental interest groups impact on political and other decision-making processes
(S1) Communication skills
(S2) International awareness
(S3) Ethical awareness
"
"Environmental Assessment of Policies, Plans, Programmes and Projects ",(ENVS529),Optional modules,M,15,First Semester,50:50,"To introduce environmental assessment theory and practice;
To teach relevant assessment methods and techniques;
To make students appreciate the complex nature of environmental assessment.
","(LO1) Advanced understanding of why and how EIA and SEA are important to further an environmentally sustainable development and influence policy/practice
(LO2) Advanced understanding of SEA and EIA requirements and practices
(LO3) Advanced understanding of how to collect, analyse and report environmental information and data in SEA and EIA
(LO4) Be confident in analysing environmental problems effectively and choosing suitable assessment tools, methods and techniques
(LO5) Be confident in communicating effectively in (and on) SEA and EIA processes
(S1) Communication skills
(S2) Problem solving skills
(S3) International awareness
"
Marine Ecology: Theory and Applications ,(ENVS383),Optional modules,3,15,Second Semester,75:25,"This module develops the connections between ecological theory and management of marine communities and ecosystems. The theory will mainly focus on mathematical models of the dynamics of populations and communities, and will include practical work with software. The second half of the module aims to give a rounded overview of the current understanding of vulnerability of marine taxa to human activities and climate change, and enable students to evaluate consequences of loss of species on ecosystem structure and functioning, as well as on human wellbeing.
","(LO1) evaluate the major ecological theories underlying the dynamics of marine populations and communities
(LO2) relate problems in marine conservation and resource exploitation to these ecological concepts.
(LO3) use appropriate methods to assess the consequences of environmental change and management for marine communities and ecosystems.
(LO4) recognize the importance of ecological theory in underpinning scientific advice to management.
(S1) Problem solving skills
(S2) numeracy
"
Conservation Management ,(ENVS423),Optional modules,M,15,Second Semester,0:100,"The aim of this module is to provide students with an appreciation of the variety of approaches used in conservation, including restoration. 
Specifically the module aims to provide students with: 
An understanding of changes in paradigms underlying ecology and conservation; 
An understanding of the strategies used in conservation management, from global to local; 
An insight into the science of restoration ecology;
Development of specific skills including essay writing, presentations, critical evaluation;
Help students to gain both team-building skills but the ability to plan and execute work independently.
","(LO1) Understand and summarize how ecological and conservation paradigms have changed over time
(LO2) Demonstrate knowledge of strategies and approaches used in conservation management
(LO3) Critique and analyse published materials and synthesize into appropriate argument
(LO4) Design, orally communicate and critique approaches to conservation management.
(S1) Teamwork
(S2) Organisational skills
(S3) Communication, listening and questioning respecting others, contributing to discussions, influencing, presentations
(S4) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S5) Problem solving skills
"
