Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Overview of Research Methodologies for Health Professionals ,(HEAL402),Compulsory modules,M,20,January - December,0:100,"The aim of this module is to facilitate the development of skills for appraising critically, planning and disseminating high quality research in health and social care, to support the generation and use of evidence in professional practice.  
","<p class=""msonormal"">On completion of the module,the student will be able to, 
<p class=""msonormal"">1.    demonstrate an in-depth and comprehensive understanding of all stages of the research process. 
2.    demonstrate a conceptual understanding of different research methods enabling the student to evaluate critically currently published research and advanced scholarship in health and social care disciplines. ​
3.     demonstrate the ability to conduct, and present, a structured review of relevant literature using online electronic resources following the principles of evidence review, and to reflect critically reflect on the process and quality of the review. ​
4.     evaluate research methodologies and develop critiques of them and, where appropriate, to propose new research areas for investigation or new hypotheses. ​
5.     demonstrate an in-depth understanding of the processes for disseminating research findings including producing a scientific poster. ​
"
Context of Advanced Practice ,(HEAL409),Compulsory modules,M,20,First Semester,0:100,"1. To enable health and social care professionals to have the opportunity to explore the broader context of professional issues that influence individuals working within an advanced practice role.
2. To develop critical awareness and the ability to analyse critically the multidimensional factors that impinge upon the advanced practitioner within the current climate of health care provision.
","(LO1) Recognise and appraise critically the wider political, legal and ethical issues that impact upon the development of advanced practice roles and the quality of the service user experience;
(LO2) Reflect critically upon concepts and strategies that underpin clinical decision making and evidence based practice;
(LO3) Apply critically selected theories, concepts and strategies that underpin models of change management in relation to the practice environment;
(LO4) Discuss critically and reflect upon the professional issues that impact upon the advanced practitioner;
(LO5) Reflect critically upon his/her own development and that of others within the advanced practice setting.
(S1) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S2) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
(S3) Communication and collaboration online participating in digital networks for learning and research
(S4) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S5) Learning skills online studying and learning effectively in technology-rich environments, formal and informal
(S6) Positive attitude/ self-confidence A &#39;can-do&#39; approach, a readiness to take part and contribute; openness to new ideas and the drive to make these happen
(S7) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
"
Dissertation ,(HEAL451),Compulsory modules,M,60,Whole Session,0:100,"The aim of a dissertation is to, allow a student to undertake an in-depth study of a chosen topic, through application of an appropriate method of inquiry, and by sourcing and collating relevant material. allow the student to demonstrate their ability to exercise their research skills, analyse material in a critical fashion, synthesise that material and utilise it to construct their own original project. allow the student to demonstrate expression of professional concepts and ideas in a clear, concise and logical fashion in the form of a dissertation project report.
","(LO1) Generate, formulate and evaluate critically a structured investigation of a heathcare topic, related to the students professional discipline.
(LO2) Undertake and present a critical review of the literature evidencing in-depth knowledge and understanding of the topic area. 
(LO3) Prepare and evaluate critically a written dissertation proposal.
(LO4) Apply an appropriate method of inquiry and interpret the results or findings critically to inform the project outcome. 
(LO5) Critically appraise ethical and data protection issues that can arise when conducting original research, and demonstrate how these can be addressed appropriately.
(LO6) Appraise critically the implications of the project for professional practice.
(LO7) Present a critical review of the project findings which demonstrates the student&#39;s ability to communicate the project content effectively in the form of a Masters level dissertation. 
(S1) Problem solving skills
(S2) Organisational skills
(S3) Communication skills
(S4) IT skills
(S5) Ethical awareness
"
Dissertation (semester 2) ,(HEAL461),Compulsory modules,M,60,Second Semester,0:100,"The aim of a dissertation is to, allow a student to undertake an in-depth study of a chosen topic, through application of an appropriate method of inquiry, and by sourcing and collating relevant material. allow the student to demonstrate their ability to exercise their research skills, analyse material in a critical fashion, synthesise that material and utilise it to construct their own original project. allow the student to demonstrate expression of professional concepts and ideas in a clear, concise and logical fashion in the form of a dissertation project report.
","(LO1) Generate, formulate and evaluate critically a structured investigation of a heathcare topic, related to the students professional discipline.
(LO2) Undertake and present a critical review of the literature evidencing in-depth knowledge and understanding of the topic area. 
(LO3) Prepare and evaluate critically a written dissertation proposal.
(LO4) Apply an appropriate method of inquiry and interpret the results or findings critically to inform the project outcome. 
(LO5) Demonstrate in-depth knowledge and understanding of ethical and data protection issues and apply these appropriately within their dissertation project. 
(LO6) Appraise critically the implications of the project for professional practice.
(LO7) Present a critical review of the project findings which demonstrates the student&#39;s ability to communicate the project content effectively in the form of a Masters level dissertation. 
(S1) Problem solving skills
(S2) Organisational skills
(S3) Communication skills
(S4) IT skills
(S5) Ethical awareness
"
Facilitating Practice Based Learning (mentorship Preparation) ,(HEAL301),Optional modules,3,15,First Semester,0:100,"Enable practitioners employed in a range of work environments to develop their skills in supporting practice based learning;
Enable practitioners employed in a range of work environments to develop their skills in assessing practice based learning;
Enable practitioners to apply best evidence in practice to promote the development of themselves and others.
","(LO1) Demonstrate skill in application of appropriate methods to faciltate practice based learning
(LO2) Demonstrate knowledge and understanding of the processes for assessing students in practice;
(LO3) Evaluate the concepts of inter-professional working and learning in everyday working practice;
(LO4) Critically examine their ability and role in facilitating practice based learning;
(LO5) Identify the opportunities and limitations of their practice area as a learning environment, through the process of critical reflection
(S1) Communication, listening and questioning respecting others, contributing to discussions, communicating in a foreign language, influencing, presentations
(S2) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S3) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S4) Positive attitude/self-confidence.   A &#39;can-do&#39; approach, a readiness to take part and contribute; openness to new ideas and the drive to make these happen.
(S5) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S6) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
(S7) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
"
Human VIsual Field Assessment ,(HEAL304),Optional modules,3,15,Continuing Education Session,0:100,"The primary aims of this module are to enable health care professionals to enhance their knowledge in visual field assessment and promote service delivery. In addition the health care professionals will consider the factors that impact on visual field interpretation.
","(LO1) Demonstrate in-depth knowledge and understanding of the anatomical relations of the visual pathway..
"
Development of Leadership Skills in Health and Social Care ,(HEAL401),Optional modules,M,20,Second Semester,0:100,"To develop students&#39; knowledge and  understanding of theoretical concepts which underpin successful leadership and effective decision making within the context of heatlh cand social care.  To  develop students&#39; personal, interpersonal and practical skills within the field of leadership . 
","(LO1) Appraise critically the role and impact of leadership within current Health and Social Care.
(LO2) Evaluate critically the application of leadership theory to personal leadership practice.
(LO3) Utilise appropriatestrategies for the development of self and others, and reflect criticallyon this leadership practice.
(S1) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S2) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
"
Negotiated Work Based Learning - Developing Practice Skills ,(HEAL403),Optional modules,M,20,First Semester,0:100,"Specifically the aims of this module are to:
Provide the students with the opportunity to develop a critical approach for the acquisition of enhanced practice and skills in a health and social care setting appropriate to their role and to develop their project management skills.
","(LO1) Identify an area of interest and critically examine the approaches to work-based learning by reference to existing theories and practice
(LO2)  Appraise critically the application of their skills in independent and self-directed learning through the negotiation and creation of a learning contract which provides the focus for their topic;
(LO3) Reflect critically upon their in-depth knowledge of the theory underpinning the development of new practice  skills;
(LO4) Reflect critically and evaluate their competencies in their chosen area of enhanced practice skills;
(LO5)  Construct critically and apply theoretical and practice knowledge to solve complex problems;
(LO6)  Reflect critically upon practice and their awareness of self-limitation in the delivery of health and social care to enhance service user care
(S1) Problem solving skills
(S2) Ethical awareness
(S3) Leadership
(S4) Lifelong learning skills
(S5) Organisational skills
(S6) Teamwork
(S7) Adaptability
(S8) Commercial awareness
(S9) Communication skills
(S10) IT skills
"
Therapeutic Communication Skills for Advanced Practice ,(HEAL415),Optional modules,M,20,First Semester,0:100,"This module aims to: 
1. provide students with a critical exploration of conceptual models of communication to inform advanced practice;
2. promote the therapeutic use of self in a clinical context;
3. enable students to reflect critically upon both the theory and practice of interpersonal work with patients, clients and other professional colleagues;
4. enable students to reflect critically upon the effectiveness of communication skills;
5. explore communication strategies to assess, enhance and promote the emotional well being of clients.
","(LO1) Reflect critically upon the therapeutic role of the advanced practitioner within the context of communication skills, the effectiveness of personal communication skills and explore individual learning needs in relation to communication skills acquisition
(LO2) Analyse critically and apply the evidence base underpinning effective communication  identifying  factors that enhance and impede communication in a range of healthcare contexts;
(LO3) Evaluate critically strategies to elicit and respond to client’s problems, concerns and feelings and apply information-giving approaches to tailor complex information to the specific needs of patients, carers and families
(LO4) Apply knowledge of the ways in which individuals cope with significant health-related information and the degree to which coping is affected by communication and its impact upon subsequent behaviour.
(S1) Teamwork
(S2) Communication skills
(S3) Ethical awareness
(S4) Adaptability
(S5) Problem solving skills
(S6) Organisational skills
(S7) International awareness
"
Mentorship Through Action Learning in Health and Social Care ,(HEAL421),Optional modules,M,20,,0:100,"The primary aim of this module is to enable health and social care professionals to have the opportunity to explore the use of mentorship within the current climate of health and social care provision. In addition, to develop critical awareness and the ability to analyse critically the professional, social, political and context specific factors that impinge on the mentor / mentee relationship.
","(LO1) Apply critically selected theories, concepts and models that underpin the use of mentorship within the practice environment.
(LO2)  Evaluate critically their own role and the role of others within a group with particular regard to their immediate work environment.
(LO3) Discuss critically and reflect upon the professional issues that impact upon the mentor/mentee relationship within the current  health and social care setting.
(LO4) Reflect critically upon his/her own development and that of others .
(S1) Communication, listening and questioning respecting others, contributing to discussions, communicating in a foreign language, influencing, presentations
(S2) Communication and collaboration online participating in digital networks for learning and research
(S3) Learning skills online studying and learning effectively in technology-rich environments, formal and informal
(S4) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S5) Positive attitude/ self-confidence A &#39;can-do&#39; approach, a readiness to take part and contribute; openness to new ideas and the drive to make these happen
(S6) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S7) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
(S8) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others
(S9) Information technology (application of) adopting, adapting and using digital devices, applications and services
(S10) Information literacy online, finding, interpreting, evaluating, managing and sharing information
"
