Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Developing Practice in Cancer Care ,(CANC700),Compulsory modules,M,20,First Semester,0:100,"This module aims to provide opportunity for learners to develop their own practice, as part of their role in identifying and addressing needs-led gaps in practice, through development of critical appreciation of the multi-dimensional impact of cancer and cancer treatments, and the drivers that influence contemporary cancer considerations and practices.
","(M1) Critically consider the multi-dimensional impact of cancer, and cancer care and treatments approaches, in the contemporary societal context.
(M2) Critically apply ethical considerations of aligning cancer care and/or treatment approaches to the individual patient context and challenges faced in practice.
(M3) Critically appraise the effectiveness of how specific national and local cancer- related agendas are translated into practice, identifying any gaps/need that arise.
(M4) Critically appraise context and practice of applying person-centred approaches in the management of care and treatment of those affected by cancer.
(M5) Demonstrate critical application of your role, aligned to multi-professional team working in organising/co-ordination effective cancer care practices.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy, including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Generating and Using Professional Evidence ,(HEAL440),Compulsory modules,M,20,Second Semester,0:100,"The aims of this module are:
To facilitate the development of in-depth knowledge and skills in health and social research methods.
To facilitate enhanced skills in critically appraising, synthesising and interpreting professional evidence relevant to the students&#39; area of health care.
To enable students to develop critical awareness of the theory and practice of research planning and execution.
To support the implementation and use of evidence in professional practice.
","(LO1) Demonstrate a critical understanding of the professional, political, social, ethical and legal context of health research.
(LO2) Demonstrate in-depth knowledge and understanding of quantitative, qualitative and review methods commonly used in health and social research.
(LO3) Analyse and appraise critically published research findings, and be able to interpret the meaning of these in relation to their own area of practice.
(LO4)  Evaluate critically health research dissemination and implementation methods, and reflect critically on how these may apply to their own area of work.
(LO5) Appraise critically, the wider context of health research and how patient, client and service user needs and values impact on this.
(S1) Problem solving skills
(S2) IT skills
(S3) Communication skills
(S4) Ethical awareness
"
Dissertation ,(HEAL451),Compulsory modules,M,60,Whole Session,0:100,"The aim of a dissertation is to, allow a student to undertake an in-depth study of a chosen topic, through application of an appropriate method of inquiry, and by sourcing and collating relevant material. allow the student to demonstrate their ability to exercise their research skills, analyse material in a critical fashion, synthesise that material and utilise it to construct their own original project. allow the student to demonstrate expression of professional concepts and ideas in a clear, concise and logical fashion in the form of a dissertation project report.
","(LO1) Generate, formulate and evaluate critically a structured investigation of a heathcare topic, related to the students professional discipline.
(LO2) Undertake and present a critical review of the literature evidencing in-depth knowledge and understanding of the topic area. 
(LO3) Prepare and evaluate critically a written dissertation proposal.
(LO4) Apply an appropriate method of inquiry and interpret the results or findings critically to inform the project outcome. 
(LO5) Critically appraise ethical and data protection issues that can arise when conducting original research, and demonstrate how these can be addressed appropriately.
(LO6) Appraise critically the implications of the project for professional practice.
(LO7) Present a critical review of the project findings which demonstrates the student&#39;s ability to communicate the project content effectively in the form of a Masters level dissertation. 
(S1) Problem solving skills
(S2) Organisational skills
(S3) Communication skills
(S4) IT skills
(S5) Ethical awareness
"
Dissertation (semester 2) ,(HEAL461),Compulsory modules,M,60,Second Semester,0:100,"The aim of a dissertation is to, allow a student to undertake an in-depth study of a chosen topic, through application of an appropriate method of inquiry, and by sourcing and collating relevant material. allow the student to demonstrate their ability to exercise their research skills, analyse material in a critical fashion, synthesise that material and utilise it to construct their own original project. allow the student to demonstrate expression of professional concepts and ideas in a clear, concise and logical fashion in the form of a dissertation project report.
","(LO1) Generate, formulate and evaluate critically a structured investigation of a heathcare topic, related to the students professional discipline.
(LO2) Undertake and present a critical review of the literature evidencing in-depth knowledge and understanding of the topic area. 
(LO3) Prepare and evaluate critically a written dissertation proposal.
(LO4) Apply an appropriate method of inquiry and interpret the results or findings critically to inform the project outcome. 
(LO5) Demonstrate in-depth knowledge and understanding of ethical and data protection issues and apply these appropriately within their dissertation project. 
(LO6) Appraise critically the implications of the project for professional practice.
(LO7) Present a critical review of the project findings which demonstrates the student&#39;s ability to communicate the project content effectively in the form of a Masters level dissertation. 
(S1) Problem solving skills
(S2) Organisational skills
(S3) Communication skills
(S4) IT skills
(S5) Ethical awareness
"
Developing  Practice in Systemic Anti-cancer Therapies (sact) Administration and Care ,(CANC701),Optional modules,M,20,First Semester,0:100,"To critically evaluate and demonstrate competency in the management  and care of patients with solid and haematological tumours receiving systemic antic cancer therapies (SACT).
","(M1) Demonstrate a critical understanding of the biological principles of systemic anticancer therapies (SACT) and their implications for safe practice.
(M2) Appraise critically the physical and psycho-social impact of SACT on the patient and those important to them
(M3) Analyse critically the clinical judgment and decision-making skills  required to safely assess, plan, deliver and care for patients receiving SACT
(M4) Evaluate critically the provision of supportive care and management identifying strategies to improve the SACT patient experience and outcomes through service development
(M5) Demonstrate competency in the safe delivery of SACT
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy, including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Developing Practice in Palliative and End of Life Care ,(CANC702),Optional modules,M,20,Second Semester,0:100,"This module aims to provide opportunity for learners to critically explore and align key principles of palliative and end of life care to the practice context; to identify practice development need and initiate an evidence-based resource that aims to address this gap
","(M1) Critically appraise key palliative care principles in the context of the wider impacts of living with progressive life-limiting illness and professional attitudinal approaches/behaviours requirements
(M2) Critically appriase how strategies (e.g. global, national and local) have influenced palliative/end of life care initiatives and focus for your organisation and the challenges that still exist in practice
(M3) Critically consider and apply evidence based therapeutic approaches that aim to positively influence quality of life outcomes and well-being.
(M4) Critically contextualise and align relevant ethico-legal considerations to specific clinical palliative and/or end of life care context.
(M5) Contextualise own role, critically aligned to multi-professional team working in co-ordinating effective palliative and/or end of life care delivery
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy, including listening and questioning
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Leadership and Education for Advanced Clinical Practice ,(HEAL484),Optional modules,M,20,Second Semester,0:100,"The module seeks to enable apprentices, students, and trainee advanced practitioners to gain a critical appreciation, understanding, knowledge and skills in leadership and education in a variety of health and social care settings.
","(M1) Appraise critically the role and impact of leadership within current Health and Social Care practice.
(M2) Critically evaluate theories of leadership and change management and how these impact on healthcare delivery.
(M3) Critically appraise aspects of leadership education and the importance of the learning environment within Health and Social care practice.
(S1) Adaptability
(S2) Problem solving skills
(S3) Teamwork
(S4) Organisational skills
(S5) Communication skills
(S6) IT skills
(S7) International awareness
(S8) Lifelong learning skills
(S9) Leadership
"
Fundamentals in Cancer Care ,(CANC600),Optional modules,3,20,First Semester,0:100,"This module aims to provide the opportunity for learners to develop their own practice,  and to critically evaluate the management and holistic care of patients with cancer.
","(M1) Analyse the nature of cancer development in the body, epidemiology, aetiology and risk factors/concerns aligned to a specific type of cancer and individual patient context.
(M2) Appraise the individual patient context and critically reflect on how cancer care (e.g. cancer prevention/screening programmes, diagnostic and/or treatment modalities) is ethically aligned
(M3) Critically appraise specific national and local agendas and how they inform approaches and priorities for your own practice
(M4) Consider and critically apply person-centred approaches that identify and respond to risks, concerns, needs and priorities of the individual patients (and those important to them) in response to the multi-dimensional impact of the effects of cancer and cancer treatments.
(M5) Critically identify and apply your role, in the context of effective multi-professional team working, in enabling individualised approaches to care and/or treatment of the cancer patient (and where relevant, those who are important to them)
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy, including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Fundamentals in  Palliative and End of Life Care ,(CANC602),Optional modules,3,20,Second Semester,0:100,"This module aims to provide opportunity for learners to critically analyse the key concepts of palliative and end of life care and align to practice and personal learning.
","(M1) Critically appraise key principles of palliative and/or End of life care in the context of professional role, patient group and service
(M2) Apply an holistic approach to critically explore the broader impacts of living with progressive life-limiting disease and/or facing dying.
(M3) Critically align ethico-legal considerations to specific clinical palliative and/or end of life care context
(M4) Demonstrate critical application of own role in the context of enabling therapeutic approaches in care that aim to positively influence quality of life and well-being.
(M5) Critically demonstrate application of own role, alongside a multi-professional team to effect positive outcomes for those with palliative and/or end of life care needs.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy, including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Negotiated Work Based Learning - Developing Practice Skills ,(HEAL403),Optional modules,M,20,First Semester,0:100,"Specifically the aims of this module are to:
Provide the students with the opportunity to develop a critical approach for the acquisition of enhanced practice and skills in a health and social care setting appropriate to their role and to develop their project management skills.
","(LO1) Identify an area of interest and critically examine the approaches to work-based learning by reference to existing theories and practice
(LO2)  Appraise critically the application of their skills in independent and self-directed learning through the negotiation and creation of a learning contract which provides the focus for their topic;
(LO3) Reflect critically upon their in-depth knowledge of the theory underpinning the development of new practice  skills;
(LO4) Reflect critically and evaluate their competencies in their chosen area of enhanced practice skills;
(LO5)  Construct critically and apply theoretical and practice knowledge to solve complex problems;
(LO6)  Reflect critically upon practice and their awareness of self-limitation in the delivery of health and social care to enhance service user care
(S1) Problem solving skills
(S2) Ethical awareness
(S3) Leadership
(S4) Lifelong learning skills
(S5) Organisational skills
(S6) Teamwork
(S7) Adaptability
(S8) Commercial awareness
(S9) Communication skills
(S10) IT skills
"
Advancing Practice in Colorectal Cancer Management and Patient Care ,(RADT759),Optional modules,M,20,First Semester,0:100,"To critically evaluate current and emerging strategies in the management and holistic care of patients with colorectal cancer.
","(LO1) Examine critically the professional policy, current guidance and evidence base relating to the management of colorectal cancer.
(LO2) Evaluate critically the decision-making, risk assessment and therapeutic intervention in relation to the management and holistic care of the colorectal cancer patient.
(LO3) Evaluate personal professional development in the field of colorectal cancer management through self-reflection.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Advancing Practice in Head & Neck Cancer Management and Patient Care ,(RADT758),Optional modules,M,20,First Semester,0:100,"To critically evaluate current and emerging strategies in the management and holistic care of patients with head &amp; neck cancer.
","(LO1) Examine critically the professional policy, current guidance and evidence base relating to the management of head &amp; neck cancer.
(LO2) Evaluate critically the decision-making, risk assessment and therapeutic intervention in relation to the management and holistic care of the head &amp; neck cancer patient.
(LO3) Evaluate personal professional development in the field of head &amp; neck cancer management through self-reflection.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Advancing Practice in Prostate Cancer Management and Patient Care ,(RADT750),Optional modules,M,20,Second Semester,0:100,"To critically evaluate current and emerging strategies in the management and holistic care of patients with prostate cancer.   
","(LO1) Examine critically the professional policy, current guidance and evidence base relating to the management of prostate cancer.
(LO2) Evaluate critically the decision making, risk assessment and therapeutic intervention in relation to the management and holistic care of the prostate cancer patient .
(LO3) Evaluate personal professional development in the field of prostate cancer management through self-reflection.
(S1) Communication and collaboration online participating in digital networks for learning and research
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
"
Taking Pride in Cancer Care: Person-centred Care for Lgbtq+ People With Cancer ,(RADT755),Optional modules,M,20,First Semester,0:100,"To provide learners with an in-depth understanding of the issues affecting LGBTQ+ people with cancer, facilitate critical evaluation of current working practises within healthcare, and provide the skills to develop and implement evidence-based care to LGBTQ+ patients along their cancer care pathway.
","(M1) Critically evaluate the impact of the political, legal, religious, and social context of LGBTQ+ health inequalities on holistic cancer care
(M2) Critically evaluate the impact of cancer diagnosis and management on LGBTQ+ people with reference to theoretical frameworks
(M3) Synthesise a critically appraised care plan relevant to a LGBTQ+ patient in cancer care.
(M4) Develop evidence based strategies to improve the cancer care experiences of LGBTQ+ people
(S1) Develop an engaging presentation appropriate for updating clinical professionals about current topics
(S2) Provide leadership to clinical colleagues regarding LGBTQ+ issues within cancer care
(S3) Manage time effectively
"
Advancing Practice in Breast Cancer Management and Patient Care ,(RADT756),Optional modules,M,20,Second Semester,0:100,"To critically evaluate current and emerging strategies in the management and holistic care of patients with breast cancer.
","(LO1) Examine critically the professional policy, current guidance and evidence base relating to the management of breast cancer.
(LO2) Evaluate critically the decision-making, risk assessment and therapeutic intervention in relation to the management and holistic care of the breast cancer patient.
(LO3) Evaluate personal professional development in the field of breast cancer management through self-reflection.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy, including listening and questioning
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Advancing Practice in Gynaecological Cancer Management and Patient Care ,(RADT757),Optional modules,M,20,Second Semester,0:100,"To critically evaluate current and emerging strategies in the management and holistic care of patients with gynaecological cancer.
","(LO1) Examine critically the professional policy, current guidance and evidence base relating to the management of gynaecological cancer.
(LO2) Evaluate critically the decision-making, risk assessment and therapeutic intervention in relation to the management and holistic care of the gynaecological cancer patient.
(LO3) Evaluate personal professional development in the field of gynaecological cancer management through self-reflection.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Advancing Practice in Lung Cancer Management and Patient Care ,(RADT760),Optional modules,M,20,Second Semester,0:100,"To critically evaluate current and emerging strategies in the management and holistic care of patients with lung cancer.
","(LO1) Examine critically the professional policy, current guidance and evidence base relating to the management of lung cancer.
(LO2) Evaluate critically the decision-making, risk assessment and therapeutic intervention in relation to the management and holistic care of the lung cancer patient.
(LO3) Evaluate personal professional development in the field of lung cancer management through self-reflection.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Developing Practice in Systemic Anti-cancer Therapies (sact) Administration and Care ,(CANC7012),Optional modules,M,20,Second Semester,0:100,"To critically evaluate and demonstrate competency in the management and care of patients with solid and haematological tumours receiving systemic antic cancer therapies (SACT).
","(M1) Demonstrate a critical understanding of the biological principles of systemic anticancer therapies (SACT) and their implications for safe practice.
(M2) Appraise critically the physical and psycho-social impact of SACT on the patient and those important to them.
(M3) Analyse critically the clinical judgment and decision-making skills required to safely assess, plan, deliver and care for patients receiving SACT.
(M4) Evaluate critically the provision of supportive care and management identifying strategies to improve the SACT patient experience and outcomes through service development.
(M5) Demonstrate competency in the safe delivery of SACT.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy, including listening and questioning.
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S4) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Fundamentals in Systemic Anti-cancer Therapies (sact) Administration and Care ,(CANC6012),Optional modules,3,20,Second Semester,80:20,"To critically evaluate and demonstrate competency in the management and care of patients with solid and haematological tumours receiving systemic antic cancer therapies (SACT).
","(M1) Evaluate critically the decision making, risk assessment and therapeutic intervention in relation to the management and holistic care of the patient receiving anti-cancer therapy.
(M2) Examine critically the professional policy, health and safety regulations and legal aspects relating to the administration of systemic anti-cancer therapy.
(M3) Reflect critically on own professional and clinical skill development.
(M4) Analyse critically the pharmacological properties of anti-cancer drugs.
(M5) Critically evaluate the physiological impact of systemic anti-cancer therapies including chemotherapeutic agents on individuals.
(M6) Demonstrate competencies required in the safe delivery of systemic anti-cancer therapies.
(S1) Communication and collaboration online participating in digital networks for learning and research.
(S2) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S3) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning.
"
Magnetic Resonance Imaging (mri) in Radiotherapy ,(RADT751),Optional modules,M,20,Second Semester,0:100,"To provide students with in-depth understanding of MRI equipment, theory and imaging capabilities in order to facilitate critical evaluation of the impact of the modality on the efficacy of radiotherapy planning and delivery.
","(LO1) Critically evaluate the relevance of different MRI sequences for imaging a range of anatomical sites
(LO2) Critically evaluate the impact of MRI in radiotherapy planning on patient dosimetry and outcome
(LO3) Generate critical appraisal of published findings relevant to MRI in radiotherapy
(LO4) Critically evaluate the current and emerging role of MRI in radiotherapy for a chosen tumour site
(S1) Communication and collaboration online participating in digital networks for learning and research
(S2) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S3) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
"
Negotiated Work Based Learning - Developing Practice Skills ,(HEAL446),Optional modules,M,20,Second Semester,0:100,"Specifically the aims of this module are to:
Provide the students with the opportunity to develop a critical approach for the acquisition of enhanced practice and skills in a health and social care setting appropriate to their role and to develop their project management skills.
","(LO1) Identify an area of interest and critically examine the approaches to work-based learning by reference to existing theories and practice
(LO2)  Appraise critically the application of their skills in independent and self-directed learning through the negotiation and creation of a learning contract which provides the focus for their topic;
(LO3) Reflect critically upon their in-depth knowledge of the theory underpinning the development of new practice  skills;
(LO4) Reflect critically and evaluate their competencies in their chosen area of enhanced practice skills;
(LO5)  Construct critically and apply theoretical and practice knowledge to solve complex problems;
(LO6)  Reflect critically upon practice and their awareness of self-limitation in the delivery of health and social care to enhance service user care
(S1) Problem solving skills
(S2) Ethical awareness
(S3) Leadership
(S4) Lifelong learning skills
(S5) Organisational skills
(S6) Teamwork
(S7) Adaptability
(S8) Commercial awareness
(S9) Communication skills
(S10) IT skills
"
Supporting Learning in Professional Practice ( Multiprofessional Support of Learning and Assessment in Practice) ,(HEAL443),Optional modules,M,20,Second Semester,0:100,"The module seeks to enable practitioners to develop their skills in supporting and assessing learning in a variety of settings.
To develop knowledge and skills in facilitation of learning in a variety of settings.
","(LO1) Discuss critically the key aspects of the development of an effective learning environment in the mentor / educator role.
(LO2) Explore critically how knowledge of pedagogy underpins the facilitation of learning.
(LO3) Appraise critically learning styles and consider how knowledge of this can facilitate learning.
(LO4) Evaluate critically assessment practices and consider how this applies to the mentor / educator role.
(LO5) Evaluate critically, the concept of interprofessional working and learning in everyday working practice.
(LO6) Explore critically how cultural differences can impact upon facilitation of learning and the process of mentoring.
(LO7) Critically reflect upon their own ability and role in facilitating learning.
(S1) Adaptability
(S2) Problem solving skills
(S3) Teamwork
(S4) Organisational skills
(S5) Communication skills
(S6) IT skills
(S7) International awareness
(S8) Lifelong learning skills
(S9) Leadership
"
