Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Research Methods and Applications in Biological Sciences ,(LIFE731),Compulsory modules,M,15,Whole Session,0:100,"This module is designed to:
Provide students with an understanding of the processes required for the successful planning and delivery of research projects;
Introduce students to the latest, cutting edge technologies in their research field of interest;
Develop in students the transferrable communication skills that will enable them to disseminate their findings to both scientific and general audiences.
","(LO1) Develop hypotheses and design a series of experiments that would allow these hypotheses to be tested
(LO2) Critically review the legal and moral frameworks within which scientific research must be conducted, in particular research ethics and current legislation;
(LO3) Effectively communicate research findings using writing styles for different audiences, including the scientific and lay communities, and to understand the need to promote the public understanding of science;
(LO4) Debate why and when biologists need to engage with mathematicians, computer scientists and physical scientists to obtain more quantitative, holistic or systems-based approaches to studying biological processes
(LO5) Critically review the latest scientific discoveries in their research field, and understand the principles underpinning cutting edge technologies that may be applied to their area of scientific investigation;
(LO6) Synthesise information, critically review evidence to support conclusions, and define complex problems by applying appropriate knowledge and skills.
(S1) Communication Skills
(S2) Organisational Skills
(S3) Lifelong learning skills
(S4) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S5) Global perspectives demonstrate international perspectives as professionals/citizens; locate, discuss, analyse, evaluate information from international sources; consider issues from a variety of cultural perspectives, consider ethical and social responsibility issues in international settings; value diversity of language and culture
"
Mres Research Project ,(LIFE706),Compulsory modules,M,120,Whole Session,0:100,"To give a student the opportunity to work in a guided but independent fashion on an area of research related to the chosen pathway, making use of the knowledge and skills acquired elsewhere in the programme. This120-credit project offers a student the opportunity to study a single topic in substantial depth.
","(LO1) Plan a piece of original scientific research;
(LO2) Design and perform a coherent set of investigations to test a hypothesis;
(LO3) Present their work in the form of an oral presentation to a scientific audience;
(LO4) Write their final report in the form of a manuscript that would be suitable for submission as a scientific publication.
(S1) Problem solving skills;
(S2) Communication skills;
(S3) Adaptability;
(S4) Organisational skills.
"
Advanced Biological Sciences Research Project 1 (full-time) ,(LIFE737),Compulsory modules,M,30,First Semester,0:100,"Students will be given the opportunity to: 
•	work in a guided but independent fashion on an area of research related to the chosen pathway, making use of the knowledge and skills acquired elsewhere in the programme
•	study a single topic in substantial depth
","(LO1) Plan an original research study in the field of biological sciences within a specified time frame.
(LO2) Critically evaluate appropriate research techniques, when designing a biological sciences research project.
(LO3) Critically appraise relevant literature in the field of biological sciences, utilising insights when designing an original research project.
(S1) Literacy: Application of literacy, ability to produce clear, structured written work
(S2) Problem solving/Critical thinking/Creativity: Analysing facts and situations and applying creative thinking to develop appropriate solutions
(S3) Communication: Listening and questioning, respecting others, contributing to discussions, influencing, delivering clear presentations
(S4) Organisation/Self-management/Independence/Leadership: Readiness to accept responsibility, flexibility, resilience, self-starting, using initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
(S5) Planning/Compliance: Plan, manage and execute research within ethical, health and safety, and research governance frameworks
"
Advanced Biological Sciences Research Project 2 (full-time) ,(LIFE738),Compulsory modules,M,90,Second Semester,0:100,"Students will be given the opportunity to: 
•	work in a guided but independent fashion on an area of research related to the chosen pathway, making use of the knowledge and skills acquired elsewhere in the programme
•	study a single topic in substantial depth
","(LO1) Conduct, analyse and interpret original empirical research in the field of biological sciences within a specified time frame.
(LO2) Apply and critically evaluate appropriate techniques when conducting biological sciences research.
(LO3) Communicate project findings to a scientific audience.
(LO4) Critically appraise relevant literature in the field of biological sciences, utilising insights when interpreting results from original research.
(LO5) Evaluate own performance and working standards by reflection, and place work in a wider scientific context.
(S1) Literacy: Application of literacy, ability to produce clear, structured written work
(S2) Problem solving/Critical thinking/Creativity: Analysing facts and situations and applying creative thinking to develop appropriate solutions
(S3) Communication: Listening and questioning, respecting others, contributing to discussions, influencing, delivering clear presentations
(S4) Organisation/Self-management/Independence/Leadership: Readiness to accept responsibility, flexibility, resilience, self-starting, using initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
(S5) Planning/Compliance: Plan, manage and execute research within ethical, health and safety, and research governance frameworks
"
Conservation Management ,(ENVS423),Optional modules,M,15,Second Semester,0:100,"The aim of this module is to provide students with an appreciation of the variety of approaches used in conservation, including restoration. 
Specifically the module aims to provide students with: 
An understanding of changes in paradigms underlying ecology and conservation; 
An understanding of the strategies used in conservation management, from global to local; 
An insight into the science of restoration ecology;
Development of specific skills including essay writing, presentations, critical evaluation;
Help students to gain both team-building skills but the ability to plan and execute work independently.
","(LO1) Understand and summarize how ecological and conservation paradigms have changed over time
(LO2) Demonstrate knowledge of strategies and approaches used in conservation management
(LO3) Critique and analyse published materials and synthesize into appropriate argument
(LO4) Design, orally communicate and critique approaches to conservation management.
(S1) Teamwork
(S2) Organisational skills
(S3) Communication, listening and questioning respecting others, contributing to discussions, influencing, presentations
(S4) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S5) Problem solving skills
"
Advanced Genomic Analysis ,(LIFE750),Optional modules,M,15,Second Semester,0:100,"The aim of this course is to equip students with a broad understanding of genomic data and its analysis, and to develop insight into how these methods can be applied to answer biological and medical questions.
","(LO1) Design genomics experiments to address a given biological problem.
(LO2) Categorise a broad range of common genomic analyses and the types of data sets to which they can be applied.
(LO3) Justify a choice of genomic data analysis tools and strategies.
(LO4) Interpret the outcomes of genomic analyses in their biological context.
Learning
(S1) Analyse, synthesize, evaluate and interpret information from a variety of sources in a critical manner
(S2) Problem solving
(S3) Communication skills
"
Cancer Clinical Trials ,(LIFE726),Optional modules,M,15,Second Semester,0:100,"This module is designed to provide the students insights into how cancer clinical trials are designed and what strategies are to be considered whilst designing and executing a clinical trial. In order to achieve this, the students will be introduced to key concepts in this field, followed by lectures on how translational research is linked to clinical trials, with respect to study design, as well as regulatory requirements. The assessments in this module will enable students to critically appraise published clinical trials and systematic reviews. The module will have several case-based learning tutorials and workshops, all of which will enable the students to independently design a clinical trial to address a clinically important question.
","(LO1) Assess the different cancer clinical trial strategies and designs
(LO2) Justify appropriate courses of action to ensure good practice is set out and adhered to in given cancer clinical trial situations
(LO3) Analyse and interpret cancer clinical trial data
(LO4) Critique and appraise published cancer clinical trials and systematic reviews
(S1) Scientific communication
(S2) Develop critical thinking
(S3) Digital fluency
"
Cellular Biotechnology and Biological Imaging ,(LIFE749),Optional modules,M,15,First Semester,0:100,"To enhance the core skills acquired , including both scientific (presentational and communication) and employability skills, and to provide advice on careers and career development in imaging technologies for cell analysis on the microscopic level as well as for cell imaging and functional analysis in animal models.
To enable students to evaluate the latest scientific literature and technologies in imaging technologies for cell analysis on the microscopic level as well as for cell imaging and functional analysis in animal models of disease and topical issues of particular concern to biotechnologist.
To enhance problem solving skills by data analysis exercises in relation to experimental methods in imaging and cell biotechnology, and develop a deeper understanding of topical issues in the subject.
","(LO1) Compare various mammalian cell culture and cell analysis techniques.
(LO2) Critically review the molecular details of various technologies for the genetic manipulation of mammalian cells .
(LO3) Critically evaluate a broad range of imaging techniques and modalities to analyse cellular features and cell behaviour at different scales, from microscopic analysis to imaging in animal models of disease.
(LO4) Appraise the translational impact of cellular biotechnology approaches and justify their application in medical research.
(S1) Scientific Communication
(S2) Scientific Technical Ability
(S3) Digital Fluency
(S4) Critical Thinking
"
Computational Biology ,(LIFE752),Optional modules,M,15,Second Semester,0:100,"The aims of this module are:
1.	To support students develop a comprehensive understanding of complex computational approaches
2.	Enable students to identify the correct computational approach to address a wide range of biological questions.
","(LO1) Justify the integration of different tools and approaches for the description and analysis of complex data
(LO2) Assess the basis for quantitative and computational techniques
(LO3) Become proficient using computational analysis approaches to model the interaction of cellular molecular components in a wide range of biological systems
(LO4) Assess the application of complex computational approaches for the discovery, development and optimisation of therapies
(S1) Written communication
(S2) Think critically
(S3) Problem solving
(S4) Biological Interpretation
(S5) IT skills
"
"Diagnostics, Therapeutics and Vaccines ",(LIFE732),Optional modules,M,15,Second Semester,0:100,"To develop core skills in critically evaluating design and implementation of diagnostics, therapeutics and vaccines using written reports generated from appraising student-led discussion workshops and verbal communication, which are transferable and key for employability.
To enhance critical evaluation of the considerations for product development through advanced scholarship of issues, including: industrial partnering, regulatory affairs, testing, governmental support and societal influences
To enable appraisal of established techniques of research and enquiry to determine host contribution and response to interventions for the development of both diagnostic and control strategies
","(LO1) To critically evaluate the strategies needed to design and develop novel drugs and vaccines for infectious disease
(LO2) Demonstrate critical awareness of successes and current problems from infectious diseases, the genesis and implementation of diagnostics and strategies for limiting infection
(LO3) Demonstrate a systematic understanding of the various agencies that input into local, national and global development of disease interventions
(S1) Deal with complex issues both systematically and creatively, and communicate their conclusions clearly to audiences
(S2) Develop transferable skills; exercising initiative; independent-learning ability; digital fluency
"
