Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Data Mining and Machine Learning ,(EBUS537),Compulsory modules,M,15,First Semester,0:100,"To demonstrate in-depth understanding and knowledge of the concepts, theories and developments associated with the subject area, and critically and analytically discuss outcomes in a methodological, structured, logical and in-depth manner;
To demonstrate the ability to apply current tools and techniques of machine learning and data mining in suitable depth and at the appropriate level.
","(LO1) Gain an in depth knowledge and principles in the areas of data mining and machine learning;
(LO2) Critically assess the strengths and weaknesses of various data mining and machine learning techniques from a practitioner/ user perspective;
(LO3) Be able to identify, formulate and solve problems arising from practical applications using data mining and machine learning principles and techniques.
(S1) Adaptability
Students will develop adaptability by engaging with case studies and assignments to understand the application of data mining and machine learning techniques.
(S2) Problem solving skills
Students will develop problem solving skills through practicing exercises and undertaking assignments.
(S3) Commercial awareness
Students will develop knowledge of commercial contexts of machine learning techniques and their practical issues.
(S4) Organisation skills
Students will develop time management skills by meeting deadlines of class discussion tasks and assignments.
(S5) Communication skills
Students will develop communication skills by engaging with case studies, report writing and working in groups.
(S6) IT skills
Students will develop IT skills and perform programming exercises during lab sessions.
(S7) International awareness
Students will develop international awareness through case studies of data mining in an international context.
(S8) Lifelong learning skills
Students will develop skills of lifelong learning through self-directed study of cases and reading materials, finding relevant information, and preparation for their assessments.
"
Digital Business Technology and Management ,(EBUS603),Compulsory modules,M,15,First Semester,0:100,"The aim of this module is to give the student a critical awareness of the forms, management and technologies used in the development and operation of digital businesses.
The module aims to enable students to:
Identify digital business solutions to effectively manage digital businesses;
Develop a critical awareness of technical issues in digital business solutions;
Apply a range of tools and technologies to the development of digital business solutions;
Apply the various information management technologies to digital businesses.
","(LO1) Students will be critically aware of the development of digital business technologies.
(LO2) Students will be able to select and specify digital business solutions to meet both the specific need and to the international context.
(LO3) Students will be able to apply information management technologies to digital business.
(S1) Problem solving skills
Students will develop their problem solving skills through analysis of case studies provided in lectures.
(S2) Commercial awareness
Students will develop a critical awareness of commercial applications in relevant technologies.
(S3) Teamwork
Students will develop their teamworking skills through group-based work to analyse case studies in seminars and in preparation for the assessed presentation.
(S4) IT skills
Practical laboratory sessions to use relevant tools will enable students to develop their IT skills.
(S5) Lifelong learning skills
Lectures to present an overall technical roadmap of digital business technology development and applications to enable critical awareness of principles for future study and potentials for future career development will assist students with their development of lifelong learning skills.
"
Big Data Management ,(EBUS622),Compulsory modules,M,15,First Semester,40:60,"To demonstrate in-depth understanding and knowledge of the concepts, theories and developments associated with the subject area, and critically and analytically discuss outcomes in a methodological, structured, logical and in-depth manner;
To demonstrate ability to answer specific questions on the subject area fully, critically, analytically in suitable depth and at the appropriate level.
","(LO1) Understanding what Big Data is and its relevance to Business.
(LO2) Recognise potential for use of Big Data analytics and output to Business areas, such as Marketing and Operations.
(LO3) Identify new business opportunities and business models for adopting Big Data initiatives, and challenges associated with their implementation.
(LO4) Understanding the legal and wider ethical issues involved in the gathering and use of personal information associated with Big Data, such as from Social Media applications and internet websites.
(LO5) Have some knowledge of systems and tools used for data mining and analysis.
(S1) Adaptability
(S2) Problem solving skills
(S3) Commercial awareness
(S4) Organisational skills, communications skills
(S5) IT skills
(S6) International awareness
(S7) Lifelong learning skills
(S8) Ethical awareness
"
Digital Strategy ,(EBUS605),Compulsory modules,M,15,Second Semester,0:100,"The aim of this module is to give the student an understanding of the processes involved in developing a strategy for digital business and the business issues involved in deploying such a strategy. Important elements include an examination of the approaches to strategy formulation, an evaluation of the emergent digital business models, business process re-design for digital business, digital business applications and technologies, and managing and planning for digital business. Extensive use will be made of case study material.
","(LO1) To be able to define the principles of business strategy;
(LO2) To be able to identify business capabilities and business strategies enabled by digital technologies;
(LO3) To be able to analyse, and constructively criticise an existing digital business strategy; 
(LO4) To be able to formulate a new digital business strategy using a systematic approach;
(LO5) To be able to exemplify the conceptual elements of digital business strategy in practical applications from across the globe;
(LO6) To be able to assess and compare different digital strategies employed by organisations operating internationally.
(S1) Problem solving skills. Students will develop problem solving skills during lectures, analysis of case studies and in preparing for coursework assignments.
(S2) Teamwork. Students will develop teamworking skills through the group assessments and formative presentations.
(S3) Communication skills. Students will develop their communication skills by working in groups and delivering presentations to their peers.
(S4) Commercial awareness. Students will develop their commercial awareness skills through coverage of commercial organisations described in various case studies.
"
Big Data Analytics for Business ,(EBUS633),Compulsory modules,M,15,Second Semester,0:100,"Demonstrate in depth understanding and knowledge of the concepts, theories and developments associated with the subject area, and be able to critically and analytically discuss outcomes in a methodological, structured, logical and in-depth manner;
Demonstrate ability to apply current tools and techniques in suitable depth and at the appropriate level.
","(LO1) Analyse the role of big data analytics in an organisation;
(LO2) Identify tools and techniques for big data analytics;
(LO3) Perform basic big data processing and visualising tasks;
(LO4) Develop case studies on how big data science aids and hinders business intelligence.
(S1) Adaptability
(S2) Problem Solving Skills
(S3) Commercial Awareness
(S4) Organisational Skills
(S5) Communication Skills
(S6) IT Skills
(S7) International Awareness
(S8) Lifelong Learning Skills
(S9) Ethical Awareness
"
Business Simulation and Analysis ,(EBUS635),Compulsory modules,M,60,Whole Session,0:100,"This module aims to enable students to:
Understand and have a practical appreciation of contemporary management challenges within a view of: supply chain management, project management, enterprise management and big data;
Understand the means by which benchmarking and comparative performance assessment can be undertaken;
Have a practical understanding of the importance of teamwork and communication;
Appreciate the need for competence in operations management and be aware of its impact on business performance;
Be more accomplished autonomous learners and be able to better manage their own learning experiences.
","(LO1) Develop and demonstrate research skills and an appreciation of both strategic and functional management practices, as well as appropriate models and frameworks or tools to provide critical analysis of a business case, and present convincing and reasoned arguments to formulate solutions for strategic action and operational decisions;
(LO2) Demonstrate critical awareness of contemporary research in appropriate areas, ie operations and supply chain management; e-Business and technology management; project management, through extraction of knowledge from the literature in an analytic manner, and use them to develop ideas for research;
(LO3) Collect secondary data from various sources including financial statements, analyse the data in qualitative and/or quantitative forms, and use the outcome to interpret and compare business health and performance using a range of financial and non-financial measures;
(LO4) Demonstrate the ability to work within teams, and make an active contribution to work teams;
(LO5) Demonstrate the ability to plan and undertake work at postgraduate level within a management discipline;
(LO6) Critically evaluate and reflect on management theory and practice;
(LO7) Use relevant theory, concepts and tools (qualitative or quantitative; soft systems; manual or IT) to analyse situations and support decisions;
(LO8) Manage data effectively; use appropriate methods to acquire and process data; analyse data competently; evaluate and interpret data soundly; synthesise data to enhance conclusions.
(S1) Core academic skills of understanding and mastery of research techniques, ability to assemble and analyse data, capability to plan improvements and assess outcomes. Developed via introduction to research in semester 1, lectures, playing business game, undertaking independent research for benchmarking, tutorial for development of the works and tasks, supervision, encouraging and guiding for preparing group presentations.
(S2) Problem solving skills. Developed by engaging in a live and active business game, with an induced competitive context to design, develop and manage a business in which problem solving plays a key role.
(S3) Commercial awareness. Developed by playing the business game.
(S4) Organisational skills. Students need to plan and organise a business, manage people and assets, and measure performance. Organise teamwork and group presentations.
(S5) Communication skills. Developed through class exercises and discussions, teamwork and group communication, preparation of reports and presentations.
(S6) Lifelong learning skills. Students will develop research skills through benchmarking exercise, theoretical and conceptual thinking about business strategic issues, teamwork and coping under pressure.
"
MSc Project ,(EBUS621),Compulsory modules,M,60,Summer (June-September),0:100,"The aim of the project is to allow the student to demonstrate their ability in undertaking an independent research project for developing theoretical perspectives, addressing research questions using secondary data, or analysing and developing real world solutions, within the area of study and objectives of the programmes they are undertaking in which they utilise structured methodologies and the skills gained in the use of academic and practical resources, models, methods, tools and systems.
","(LO1) Extract and demonstrate knowledge from the literature in an analytic manner
(LO2) Develop ideas and conceptual models
(LO3) Collect secondary or primary data and conduct qualitative or quantitative analysis of the data
(LO4) Carry out a structured analysis of needs for a real organisation and identify and apply the tools required to deliver a well formed solution to these needs. Through the project the student should develop capabilities to analyse cases based on theoretical and methodological studies, and create improvement plans and recommendations for their implementation based upon the toolsets required during the programme
(S1) Problem solving skills
(S2) Adaptability
(S3) Problem solving
(S4) Commercial awareness
(S5) Teamwork
(S6) Organisational skills
(S7) Communication skills
(S8) IT skills
(S9) International awareness
(S10) Ethical awareness
"
Big Data Analytics ,(COMP529),Optional modules,M,15,First Semester,60:40,"To introduce students to advanced methods and algorithms used in Big Data analytics.
To introduce students to  software environments that enable developing solutions for Big Data problems.
To introduce students to implementing algorithms using such software environments.
","(LO1) Deep and systematic knowledge of algorithmic approaches for Big Data analysis and handling batch and streaming data.
(LO2) Comprehensive and critical insight into the software environments that can be used to enable algorithms to scale up to analysis of large batch and streaming datasets.
(LO3) Devising a most suitable algorithm for solving a Big Data problem
(LO4) Demonstrating a critical awareness of current problems and research issues in the field of Big Data
(S1) Numeracy/computational skills - Reason with numbers/mathematical concepts
(S2) Communication (oral, written and visual) - Following instructions/protocols/procedures
"
Operations Modelling and Simulation ,(EBUS504),Optional modules,M,15,First Semester,0:100,"To understand a range of modelling analytical methods and their appropriate applications;
To understand the dynamic nature of systems and their behavioural characteristics;
To understand how real system modules are developed, tested and validated;
To develop confidence in the use of commercially available simulation tools such as Excel, Witness, Matlab and Vensim.
","(LO1) Be able to design models for business process reengineering;
(LO2) Be able to specify and justify a computer simulation for business process modelling;
(LO3) Be able to apply statistical and analytical techniques for business optimisation and evaluation.
(S1) Adaptability
Students will develop adaptability by engaging with case studies from their lab sessions in order to understand modelling and simulation processes and the features of different modelling tools.
(S2) Problem solving skills
Students will develop problem solving skills through lab sessions and case studies as part of their assignment.
(S3) Commercial awareness
Students will develop knowledge of commercial contexts of technology applications.
(S4) Teamwork
Students will be expected to work together in groups for some lab sessions.
(S5) Organisation skills
Students will be expected to work together to solve some hands-on case studies jointly.
(S6) Communication skills
Students will develop communication skills by engaging with case studies, report writing and working in groups.
(S7) IT skills
IT skills will be developed during practical lab sessions.
(S8) International awareness
Students will develop international awareness through case studies of business and technologies in an international context.
(S9) Lifelong learning skills
Students will develop skills of lifelong learning through preparation for their assessments and self-directed study of cases in preparation for class discussions.
(S10) Ethical awareness
Students will develop their awareness of ethical issues through research and preparation for assessment.
(S11) Leadership
Leadership skills will be developed during in-lecture discussions and lab session practices.
"
Service Operations Management ,(EBUS634),Optional modules,M,15,First Semester,0:100,"The aims of the module are to:
Provide students with an understanding of the importance of services and the implications of service logic on the customer relationship;
Enable students to gain a broad understanding of the operational principles and practices through which services are delivered and supported;
Introduce students to the key service concepts including value, servitisation and service dominant logic.
","(LO1) Understand the difference between services and business processes;
(LO2) Understand the principles and practices of service delivery;
(LO3) Understand the principles and practices of service support;
(LO4) Understand key theoretical concepts in service management such as SDL, value and servitisation;
(LO5) Be aware of wider social and environmental consequences of service management.
(S1) Problem solving skills
(S2) Commercial awareness
(S3) Organisational skills
(S4) Communication skills
(S5) Lifelong learning skills
"
