Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Supply Chain Operations Management ,(EBUS506),Compulsory modules,M,15,First Semester,0:100,"The management of supply chains is key to the operations of modern organisations. The need to be competitive, reach new markets, source new goods and raw materials as well as globalisation have all been key contributors to the development of supply chains as a function. It has become clear that competitive advantage and customer satisfaction can be gained if all organisations in the chain work together to improve service and reduce cost. The module provides the student with comprehensive understanding of key principles and techniques of supply chain management including topics such as inventory management, demand and capacity management, supply chain partnerships and IT.
The aim of this module is to provide a study of the key principles, systems and techniques used to assure effective supply chain management. The module covers an extensive range of subjects including logistics, information management, inventory management, partnerships and information technology.
The aims are to enable the student to:
Understand the principles and role of SCM in organisations;
Understand the nature and importance of inter-relationships within the supply chain;
Understand and apply a range of tools and techniques relevant to the optimisation of supply chains.
","(LO1) Be able to define and document a supply chain operation in national and international contexts;
(LO2) Be able to analyse and evaluate the performance of the supply chain;
(LO3) Be able to apply supply chain optimisation tools and techniques in a range of situations.
(S1) Numeracy. Relevant supply chain operations tools and techniques that involve calculations will be introduced and practised in the lectures.
(S2) Commercial awareness. Real-world examples and applications of supply chain operations management will be introduced and discussed in lectures.
(S3) International awareness. The global nature of supply chain operations management will be introduced and discussed in lectures.
"
Strategic Operations Management ,(EBUS602),Compulsory modules,M,15,First Semester,0:100,"The aim of this module is to demonstrate how operations management can influence and shape competitive strategy. Specific topics include the examination of modern business drivers and competitive performance (time compression, responsiveness, waste elimination etc.), the achievement of competitive advantage through operations management, globalisation and supply chains, agility and ECR examples and operations performance measurement. Leading-edge operational practice is analysed within each topic covered. The aims are that the student will:
Develop an in-depth understanding of operations and how they can be managed as a strategic resource and understand the strategic role and importance of operations;
Understand the drivers and dimensions of competitive performance;
Understand operations strategy process and practice in the context of its importance to the success of a company in its marketplace;
Understand the inputs to the development of an operations strategy.
","(LO1) Demonstrate an awareness of the principles governing modern approaches to the management of operations.
(LO2) Identify and apply methods for establishing fit between markets, operations and supply chains.
(LO3) Identify a range of operations and supply chain management initiatives and techniques that can be considered in the development of an operations strategy.
(LO4) Interpret operations success and business health and performance using a range of financial and non-financial measures.
(LO5) Have the research skills and appreciation of both strategic and functional management practice in order to be able to plan and undertake work at a postgraduate level within a Management discipline.
(LO6) Understand the global aspects of operations and operations management, and be able to analyse and develop operations strategies with an international perspective.
(S1) Problem solving. Students will engage in a number of class group work activities to study and analyse industry/business cases where problems are set for them to examine and solve. Both assessments  are also used to present operations strategy problems for which students should undertake research and find solutions supported by clear analysis and discussion.
(S2) Commercial awareness. The module presents a wide range of situations, cases and examples of businesses in the real world with regard to operations management and its contribution to their success or failure. Students are usually well exposed to this aspect.
(S3) Communication skills. Use of group work during the sessions, which may become part of their assessment including doing a short presentation, allows students to exercise and improve their communications skills. Also, producing appropriate and well developed reports will encourage students to communicate their ideas and works in writing.
(S4) International awareness. Most examples and cases are international firms, which will expose students to an international scope of businesses and supply chains.
"
Service Operations Management ,(EBUS634),Compulsory modules,M,15,First Semester,0:100,"The aims of the module are to:
Provide students with an understanding of the importance of services and the implications of service logic on the customer relationship;
Enable students to gain a broad understanding of the operational principles and practices through which services are delivered and supported;
Introduce students to the key service concepts including value, servitisation and service dominant logic.
","(LO1) Understand the difference between services and business processes;
(LO2) Understand the principles and practices of service delivery;
(LO3) Understand the principles and practices of service support;
(LO4) Understand key theoretical concepts in service management such as SDL, value and servitisation;
(LO5) Be aware of wider social and environmental consequences of service management.
(S1) Problem solving skills
(S2) Commercial awareness
(S3) Organisational skills
(S4) Communication skills
(S5) Lifelong learning skills
"
Strategic Purchasing Management ,(EBUS535),Compulsory modules,M,15,Second Semester,0:100,"Purchasing has a critical role as a boundary-spanning function, through which it contributes to an organisation’s strategic success.  The aim of this module is to provide an integrative understanding of the role and objectives of the purchasing function and its complex inter- and intra-organisational relationships that contribute to sustained commercial success and maximisation of competitive advantage.  Specific topics include the critical evaluation of purchasing strategies, tools and constraints including sourcing, supplier development and supplier-client relationships. The module also explores issues relating to contracts, including tendering, bidding and order management processes, as well as the legal, commercial and socio-economic implications of purchasing strategies.
","(LO1) Analyse the environmental forces that shape purchasing strategy making.
(LO2) Outline the changing role of purchasing within total supply chain management.
(LO3) Identify and explain the contribution effective purchasing management makes to corporate strategies.
(LO4) Critique the objectives of the purchasing function and its strategic relationships internally and externally.
(LO5) Critically analyse the role and extended responsibilities of the purchasing function within a changing environment.
(S1) Problem solving
(S2) Commercial awareness
(S3) Communication skills
(S4) IT skills
(S5) International awareness
(S6) Lifelong learning skills
(S7) Ethical awareness
"
Lean Thinking ,(EBUS507),Compulsory modules,M,15,Second Semester,0:100,"This module aims to:
Provide an understanding of the components of a contemporary lean operations strategy and the benefits and challenges of applying lean principles within business operations;
Introduce students to the philosophies/principles of lean thinking and provide a working knowledge of the supporting tools and techniques used;
Provide opportunities to address lean principles, and apply and evaluate lean tools and techniques;
Provide students with opportunities to view current industrial practice.
","(LO1) Demonstrate an understanding of the philosophy and principles of lean thinking;
(LO2) Demonstrate a working knowledge of the main tools and techniques used in the application of lean initiatives.
(LO3) Understand the application of lean tools and techniques within their appropriate operational contexts.
(LO4) Relate theory to industrial practice and recent developments.
(S1) Adaptability
(S2) Problem-solving
(S3) Numeracy
(S4) Teamwork
(S5) Organisation skills
(S6) Communication skills
"
Logistics and Physical Distribution ,(EBUS609),Compulsory modules,M,15,Second Semester,0:100,"This module aims:
To provide students with a thorough grounding in contemporary logistics operations and business management;
To cover specific topics including intermodal operations, transportation selection, warehousing and distribution management, 3PLs, tendering for contracts, reverse and green logistics services, port centric maritime logistics, the concept of adding value in logistics and optimising logistics operations.
","(LO1) Be able to justify the criteria for selecting a mode of transport.
(LO2) Be able to critically analyse logistics operations in the supply chain context.
(LO3) Be able to critically appraise logistics operations performance and its impact on the competitiveness of the business.
(LO4) Be able to recommend good strategies of transportation service in an international context.
(S1) Adaptability. Developed through case study analysis to develop an understanding of how and why theory and practice change and how to adapt.
(S2) Problem solving skills. Developed through case study analysis to be able to match approaches and techniques with problems and be able to evaluate the solution.
(S3) Commercial awareness. Developed through lectures and research reading and case studies to understand business challenges in different sectors.
(S4) Organisational skills. Developed through completing assignments to time and organising work and time for allocated tasks.
(S5) Communication skills. Developed through interaction in class, discussion of case studies and practicing communication skills for presenting and arguing.
(S6) International awareness. Developed in lectures and through discussion of case studies; the business context and the theoretical development of management approaches are presented in an international context to enable students understand the differences.
(S7) Lifelong learning skills. Developed through self-study in researching and working through case studies.
(S8) Ethical awareness. Developed in lectures, self-study reading and case studies. Ethical issues will be presented to make students aware of the issues in both research and practice.
(S9) Leadership. Developed through discussion in class to practice organising and communicating work with others for targeted outcomes.
"
Business Simulation and Analysis ,(EBUS635),Compulsory modules,M,60,Whole Session,0:100,"This module aims to enable students to:
Understand and have a practical appreciation of contemporary management challenges within a view of: supply chain management, project management, enterprise management and big data;
Understand the means by which benchmarking and comparative performance assessment can be undertaken;
Have a practical understanding of the importance of teamwork and communication;
Appreciate the need for competence in operations management and be aware of its impact on business performance;
Be more accomplished autonomous learners and be able to better manage their own learning experiences.
","(LO1) Develop and demonstrate research skills and an appreciation of both strategic and functional management practices, as well as appropriate models and frameworks or tools to provide critical analysis of a business case, and present convincing and reasoned arguments to formulate solutions for strategic action and operational decisions;
(LO2) Demonstrate critical awareness of contemporary research in appropriate areas, ie operations and supply chain management; e-Business and technology management; project management, through extraction of knowledge from the literature in an analytic manner, and use them to develop ideas for research;
(LO3) Collect secondary data from various sources including financial statements, analyse the data in qualitative and/or quantitative forms, and use the outcome to interpret and compare business health and performance using a range of financial and non-financial measures;
(LO4) Demonstrate the ability to work within teams, and make an active contribution to work teams;
(LO5) Demonstrate the ability to plan and undertake work at postgraduate level within a management discipline;
(LO6) Critically evaluate and reflect on management theory and practice;
(LO7) Use relevant theory, concepts and tools (qualitative or quantitative; soft systems; manual or IT) to analyse situations and support decisions;
(LO8) Manage data effectively; use appropriate methods to acquire and process data; analyse data competently; evaluate and interpret data soundly; synthesise data to enhance conclusions.
(S1) Core academic skills of understanding and mastery of research techniques, ability to assemble and analyse data, capability to plan improvements and assess outcomes. Developed via introduction to research in semester 1, lectures, playing business game, undertaking independent research for benchmarking, tutorial for development of the works and tasks, supervision, encouraging and guiding for preparing group presentations.
(S2) Problem solving skills. Developed by engaging in a live and active business game, with an induced competitive context to design, develop and manage a business in which problem solving plays a key role.
(S3) Commercial awareness. Developed by playing the business game.
(S4) Organisational skills. Students need to plan and organise a business, manage people and assets, and measure performance. Organise teamwork and group presentations.
(S5) Communication skills. Developed through class exercises and discussions, teamwork and group communication, preparation of reports and presentations.
(S6) Lifelong learning skills. Students will develop research skills through benchmarking exercise, theoretical and conceptual thinking about business strategic issues, teamwork and coping under pressure.
"
MSc Project ,(EBUS621),Compulsory modules,M,60,Summer (June-September),0:100,"The aim of the project is to allow the student to demonstrate their ability in undertaking an independent research project for developing theoretical perspectives, addressing research questions using secondary data, or analysing and developing real world solutions, within the area of study and objectives of the programmes they are undertaking in which they utilise structured methodologies and the skills gained in the use of academic and practical resources, models, methods, tools and systems.
","(LO1) Extract and demonstrate knowledge from the literature in an analytic manner
(LO2) Develop ideas and conceptual models
(LO3) Collect secondary or primary data and conduct qualitative or quantitative analysis of the data
(LO4) Carry out a structured analysis of needs for a real organisation and identify and apply the tools required to deliver a well formed solution to these needs. Through the project the student should develop capabilities to analyse cases based on theoretical and methodological studies, and create improvement plans and recommendations for their implementation based upon the toolsets required during the programme
(S1) Problem solving skills
(S2) Adaptability
(S3) Problem solving
(S4) Commercial awareness
(S5) Teamwork
(S6) Organisational skills
(S7) Communication skills
(S8) IT skills
(S9) International awareness
(S10) Ethical awareness
"
Operations Modelling and Simulation ,(EBUS504),Optional modules,M,15,First Semester,0:100,"To understand a range of modelling analytical methods and their appropriate applications;
To understand the dynamic nature of systems and their behavioural characteristics;
To understand how real system modules are developed, tested and validated;
To develop confidence in the use of commercially available simulation tools such as Excel, Witness, Matlab and Vensim.
","(LO1) Be able to design models for business process reengineering;
(LO2) Be able to specify and justify a computer simulation for business process modelling;
(LO3) Be able to apply statistical and analytical techniques for business optimisation and evaluation.
(S1) Adaptability
Students will develop adaptability by engaging with case studies from their lab sessions in order to understand modelling and simulation processes and the features of different modelling tools.
(S2) Problem solving skills
Students will develop problem solving skills through lab sessions and case studies as part of their assignment.
(S3) Commercial awareness
Students will develop knowledge of commercial contexts of technology applications.
(S4) Teamwork
Students will be expected to work together in groups for some lab sessions.
(S5) Organisation skills
Students will be expected to work together to solve some hands-on case studies jointly.
(S6) Communication skills
Students will develop communication skills by engaging with case studies, report writing and working in groups.
(S7) IT skills
IT skills will be developed during practical lab sessions.
(S8) International awareness
Students will develop international awareness through case studies of business and technologies in an international context.
(S9) Lifelong learning skills
Students will develop skills of lifelong learning through preparation for their assessments and self-directed study of cases in preparation for class discussions.
(S10) Ethical awareness
Students will develop their awareness of ethical issues through research and preparation for assessment.
(S11) Leadership
Leadership skills will be developed during in-lecture discussions and lab session practices.
"
Digital Business Technology and Management ,(EBUS603),Optional modules,M,15,First Semester,0:100,"The aim of this module is to give the student a critical awareness of the forms, management and technologies used in the development and operation of digital businesses.
The module aims to enable students to:
Identify digital business solutions to effectively manage digital businesses;
Develop a critical awareness of technical issues in digital business solutions;
Apply a range of tools and technologies to the development of digital business solutions;
Apply the various information management technologies to digital businesses.
","(LO1) Students will be critically aware of the development of digital business technologies.
(LO2) Students will be able to select and specify digital business solutions to meet both the specific need and to the international context.
(LO3) Students will be able to apply information management technologies to digital business.
(S1) Problem solving skills
Students will develop their problem solving skills through analysis of case studies provided in lectures.
(S2) Commercial awareness
Students will develop a critical awareness of commercial applications in relevant technologies.
(S3) Teamwork
Students will develop their teamworking skills through group-based work to analyse case studies in seminars and in preparation for the assessed presentation.
(S4) IT skills
Practical laboratory sessions to use relevant tools will enable students to develop their IT skills.
(S5) Lifelong learning skills
Lectures to present an overall technical roadmap of digital business technology development and applications to enable critical awareness of principles for future study and potentials for future career development will assist students with their development of lifelong learning skills.
"
