Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Latex and Mathematical Programming Project ,(MATH549),Compulsory modules,M,15,First Semester,0:100,"This module introduces students, in a practical context, to the use of a common mathematical programming language and the typesetting system LaTeX . This enhances their IT skills as well as providing practical training in the use of these systems for mathematics.
","(LO1) By the end of the module, students should know how to write a Mathematical project in the typesetting language LaTeX, including the ability to include graphics.
(LO2) By the end of the module, students should be able to use a mathematical programming language (such as Maple or Matlab), and apply their programming ability to a particular mathematical problem.
(S1) Problem solving skills
(S2) IT skills
(S3) Organisational skills
"
Math552 - Preliminary Dissertation ,(MATH552),Compulsory modules,M,30,Second Semester,0:100,"- To introduce students to mathematical research, through guided reading.
- To begin to prepare students for independent mathematical research.
- To give students experience in scientific report writing.
- To give students experience of presenting their work to a small group.
","(LO1) Familiarity with an area of current research interest within mathematics, including knowledge of some technical details.
(LO2) Ability to research a topic using a variety of resources including libraries and the internet;
(LO3) Ability to present mathematical work in a clear and coherent fashion;
(LO4) Ability to explain mathematical ideas clearly in written form, and place them within the context of their history and applications;
(LO5) Ability to typeset a mathematical document, including equations, cross references, citations, bibliography and, where appropriate, graphics, tables and program documentation.
(LO6) Ability to work independently on a project, and to manage own time.
(S1) Organisational skills
(S2) Communication skills
(S3) IT skills
(S4) Problem solving skills
"
Main Dissertation ,(MATH554),Compulsory modules,M,60,Whole Session,0:100,"The aim of the main dissertation is for the student, under guidance from his or her supervisor, to research a substantial mathematical topic thoroughly and write his or her own clear and coherent account of it. (There is no formal limit but a rough guide is that successful dissertations are usually 50-60 pages long). The account may contain original material in the form of new examples or computations, full details of proofs only available in sketch form in the literature, or even new results or new proofs of known results.  There is no requirement to produce publishable original work, but the level of detail and depth of the material should be greater than in the preliminary dissertation. Indeed, it is common (although not necessary) for students to continue their preliminary dissertation work in the main dissertation, and to work with the same supervisor.  It is acceptable to summarise material from the preliminary dissertation in the main one, where this makes it more complete or coherent, provided that this material is clearly labelled as such. Of course, the mark for the main dissertation will be based only on the new material.
","(LO1) Familiarity with an area of current research interest within mathematics, including knowledge of some technical details;
(LO2)  Ability to research a topic using a variety of resources including libraries and the internet;
(LO3)   Ability to perform original calculations and/or describe new examples of a known theory and/or obtain new mathematical results and/or fill in gaps and details in proofs of known results;
(LO4)  Ability to explain mathematical ideas clearly in written form, and place them within the context of their history and applications;
(LO5) Ability to write a well-formatted mathematical text using appropriate software, including the ability to include graphics, tables of contents, cross-references, citations and a bibliography;
(LO6) Ability to work independently on a project, and to manage own time.
(S1) Organisational skills
(S2) Problem solving skills
"
"Manifolds, Homology and Morse Theory ",(MATH410),Optional modules,M,15,First Semester,70:30,"To give an introduction to the topology of manifolds, emphasising the role of homology as an invariant and the role of Morse theory as a visualising and calculational tool.
","(LO1) To be able to: 
•   give examples of manifolds, particularly in low dimensions; 
•   compute homology groups, Euler characteristics and degrees of maps in simple cases; 
•   determine whether an explicitly given function is Morse and to identify its critical points and their indices; 
•   use the Morse inequalities to estimate the ranks of homology groups; 
•   use the Morse complex to compute Euler characteristics and, in simple cases, homology.
"
Linear Differential Operators in Mathematical Physics ,(MATH421),Optional modules,M,15,First Semester,60:40,"This module provides a comprehensive introduction to the theory of partial differential equations, and it provides illustrative applications and practical examples in the theory of elliptic boundary value problems, wave propagation and diffusion problems.
","(LO1) To understand and actively use the basic concepts of mathematical physics, such as generalised functions, fundamental solutions and Green&#39;s functions.
(LO2)  To apply powerful mathematical methods to problems of electromagnetism, elasticity, heat conduction and wave propagation.
(LO3) Applications of mathematical methods for research-centred problems
(S1) Numeracy
(S2) Mathematical software (e.g. Maple, MATLAB)
"
Quantum Field Theory ,(MATH425),Optional modules,M,15,First Semester,50:50,"To provide a broad understanding of the essentials of quantum field theory.
","(LO1) After the course the students should understand the important features of the mathematical tools necessary for particle physics. In particular they should ·      be able to compute simple Feynman diagrams, ·      understand the basic principles of regularisation and renormalisation ·      be able to calculate elementary scattering cross-sections.
"
Variational Calculus and Its Applications ,(MATH430),Optional modules,M,15,First Semester,60:40,"This module provides a comprehensive introduction to the theory of the calculus of variations, providing illuminating applications and examples along the way.
","(LO1) Students will possess a solid understanding of the fundamentals of variational calculus
(LO2) Students will be confident in their ability to apply the calculus of variations to range of physical problems
(LO3) Students will also have the ability to solve a wide class of non-physical problems using variational methods
(LO4) Students will develop an understanding of Hamiltonian formalism and have the ability to apply this framework to solve physical and non-physical problems
(LO5) Students will be confident in their ability to analyse variational symmetries and generate the associated conservation laws
(S1) Problem solving skills
(S2) Numeracy
"
Higher Arithmetic ,(MATH441),Optional modules,M,15,Second Semester,70:30,"This module is designed to provide an introduction to topics in Analytic Number Theory, including the worst and average case behaviour of arithmetic functions, properties of the Riemann zeta function, and the distribution of prime numbers.
","(LO1) Be able to apply analytic techniques to arithmetic functions.
(LO2) Understand basic analytic properties of the Riemann zeta function.
(LO3) Understand Dirichlet characters and L-series.
(LO4)  Understand the connection between Ingham&#39;s theorem and the Prime Number Theorem.
(S1) Adaptability
(S2) Problem solving skills
(S3) Numeracy
"
Representation Theory of Finite Groups ,(MATH442),Optional modules,M,15,Second Semester,50:50,"Representation theory is one of the standard tools used in the investigation of finite groups, especially via the character of a representation.  This module will be an introduction to these ideas with emphasis of the calculation of character tables for specific groups.
","(LO1) After completing this module students should be able to  ·       use representation theory as a tool to understand finite groups;
(LO2)  calculate character tables of a variety of groups.
(S1) Problem solving skills
(S2) Numeracy
"
Singularity Theory of Differentiable Mappings ,(MATH455),Optional modules,M,15,First Semester,70:30,"To give an introduction to the study of local singularities of differentiable functions and mappings.
","(LO1) To know and be able to apply the technique of reducing functions to local normal forms.
(LO2) To understand the concept of stability of mappings and its applications. 
(LO3) To be able to construct versal deformations of isolated function singularities.
(S1) Problem solving skills
(S2) Numeracy
(S3) Adaptability
"
Introduction to String Theory ,(MATH423),Optional modules,M,15,Second Semester,50:50,"To provide a broad understanding of string theory, and its utilization as a theory that unifies all of the known fundamental matter and interactions.
","(LO1) After completing the module the students should: - be familiar with the properties of the classical string.
(LO2) be familiar with the basic structure of modern particle physics and how it may arise from string theory.
(LO3)  be familiar with the basic properties of first quantized string and the implications for space-time dimensions.
(LO4) be familiar with string toroidal compactifications and T-duality.
(S1) Problem solving skills
(S2) Numeracy
"
Advanced Topics in Mathematical Biology ,(MATH426),Optional modules,M,15,Second Semester,50:50,"To introduce some hot problems of contemporary mathematical biology, including analysis of developmental processes, networks and biological mechanics. 
To further develop mathematical skills in the areas of difference equations and ordinary and partial differential equations.
To explore biological applications of fluid dynamics in the limit of low and high Reynolds number.
","(LO1) To familiarise with mathematical modelling methodology used in contemporary mathematical biology.
(LO2) Be able to use techniques from difference equations and ordinary and partial differential equations in tackling problems in biology.
"
"Waves, Mathematical Modelling ",(MATH427),Optional modules,M,15,Second Semester,60:40,"This module gives an introduction to the mathematical theory of linear and non-linear waves. Illustrative applications involve problems of acoustics, gas dynamics and examples of solitary waves.
","(LO1) To understand essential modelling techniques in problems of wave propagation.
(LO2) To understand that mathematical models of the same type can be successfully used to describe different physical phenomena.
(LO3) To understand background mathematical theory in models of acoustics, gas dynamics and water  waves.
(S1) Problem solving skills
(S2) Numeracy
"
Introduction to Modern Particle Theory ,(MATH431),Optional modules,M,15,Second Semester,70:30,"To provide a broad understanding of the current status of elementary particle theory. To describe the structure of the Standard Model of particle physics and its embedding in Grand Unified Theories.
","(LO1) To understand the Lorentz and Poincare groups and their role in classification of elementary particles.
(LO2) To understand the basics of Langrangian and Hamiltonian dynamics and the differential equations of bosonic and fermionic wave functions.
(LO3) To understand the basic elements of field quantisation.
(LO4)  To understand the Feynman diagram pictorial representation of particle interactions.
(LO5) To understand the role of symmetries and conservation laws in distinguishing the strong, weak and electromagnetic interactions.
(LO6) To be able to describe the spectrum and interactions of elementary particles and their embedding into Grand Unified Theories (GUTs)
(LO7) To understand the flavour structure of the standard particle model and generation of mass through symmetry breaking.
(LO8) To understand the phenomenological aspects of Grand Unified Theories.
(S1) Problem solving skills
"
Asymptotic Methods for Differential Equations ,(MATH433),Optional modules,M,15,Second Semester,50:50,"This module provides an introduction into the perturbation theory for  partial differential equations. We consider singularly and regularly perturbed problems and applications in electro-magnetism, elasticity, heat conduction and propagation of waves.
","(LO1) The ability to make appropriate use of asymptotic approximations.
(LO2) The ability to analyse boundary layer effects.
(LO3) The ability to use the method of compound asymptotic expansions in the analysis of singularly perturbed problems.
(S1) Problem solving skills
(S2) Numeracy
"
Elliptic Curves ,(MATH444),Optional modules,M,15,Second Semester,50:50,"To provide an introduction to the problems and methods in the theory of elliptic curves.
To investigate the geometry of ellptic curves and their arithmetic in the context of finite fields, p-adic fields and rationals.
To outline the use of elliptic curves in cryptography.
","(LO1) The ability to describe and to work with the group structure on a given elliptic curve.
(LO2) Understanding and application of the Abel-Jacobi theorem.
(LO3) To estimate the number of points on an elliptic curve over a finite field.
(LO4) To use the reduction map to investigate torsion points on a curve over Q.
(LO5) To apply descent to obtain so-called Weak Mordell-Weil Theorem.
(LO6) Use heights of points on elliptic curves to investigate the group of rational points on an elliptic curve.
(LO7) Understanding and application of Mordell-Weil theorem. Encode and decode using public keys.
(S1) Problem solving skills
"
Riemann Surfaces ,(MATH445),Optional modules,M,15,First Semester,50:50,"To introduce to a beautiful theory at the core of modern mathematics. Students will learn how to handle some abstract geometric notions from an elementary point of view that relies on the theory of holomorphic functions. This will provide those who aim to continue their studies in mathematics with an invaluable source of examples, and those who plan to leave the subject with the example of a modern axiomatic mathematical theory.
","(LO1) Students should be familiar with the most basic examples of Riemann surfaces: the Riemann sphere, hyperelliptic Riemann surfaces, and smooth plane algebraic curves.
(LO2) Students should understand and be able to use the abstract notions used to build the theory: holomorphic maps, meromorphic differentials, residues and integrals, Euler characteristic and genus.
(LO3) Students should know different techniques to calculate the genus and the dimensions of spaces of meromorphic functions, and they should have acquired some understanding of uniformisation.
(S1) Problem solving skills
"
