Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Aesthetic Theory and Practice ,(PHIL755),Compulsory modules,M,30,First Semester,0:100,"The module introduces central themes in aesthetic theory, artistic and institutional practice, as considered by current staff actively researching them. This research-led module serves both to introduce students with no previous detailed knowledge of the areas studied to such issues, and to show how active researchers approach them while actively engaging students themselves in research methodology and practices. The module thus functions both as a research-preparation module and a module for consolidating knowledge in these areas of philosophy. Students have the opportunity to consider aspects of the theoretical/historical background of the study of contemporary aesthetics and concentrate on the exploration of key concepts in modern and postmodern aesthetics and cultural practice.
","(LO1) Students will gain an appreciation of recent developments in ethics, philosophy of religion and practical philosophy.
(LO2) Students will improve their understanding of philosophical research in the areas of ethics, religion and practical philosophy.
(LO3) Students will improve their ability to research a philosophical topic.
(S1) Research skills.
(S2) Comprehension of abstract ideas and arguments.
(S3) Application of abstract ideas and arguments to ethical, religious and other practical issues.
(S4) Exposition of philosophical theories and arguments.
(S5) Construction and analysis of philosophical theories and arguments.
"
Cultural Institutions ,(PHIL759),Compulsory modules,M,30,Second Semester,0:100,"To facilitate student participation in discussions on contemporary art with artists, curators, and other museum professionals. To enable students to consider art from the perspective of the institutions in which modern and contemporary art is shown across a range of museological perspectives. To equip students with the conceptual framework to consider the theoretical implications of the practical uses of museum and curatorial space. To introduce students to the theoretical implications of specific exhibition case-studies, both current and forthcoming. To develop student consideration of the role of cultural institutions in wider cultural and social patterns.  In these ways to secure the integration of the theoretical and practical aspects of the MA in Art, Aesthetics and Cultural Institutions programme and help prepare students for future research and or a career within a cultural institution.
","(LO1) Students will be able to explain the theoretical, procedural and practical issues behind exhibitions of art within cultural institutions.
(LO2) Students will be able to explain the wider functions of the cultural institution.
(LO3)  Students will be able to explain the place of cultural institutions in broader cultural and social structures.
(S1) Students will enhance their abilities in comprehending theory and its relation to concrete practical and institutional situations.
(S2) Students will develop their skills in thinking critically about and analysing problems arising from the practice of cultural institutions.
(S3) Students will enhance their ability to identify and reflect critically upon the issues that underlie debates.
(S4) Students will develop confidence in considering previously unfamiliar ideas and approaches.
(S5) Students will enhance their ability to marshal ideas and arguments and present them orally.
"
"Research Skills, Employability and Placement ",(PHIL758),Compulsory modules,M,15,Whole Session,0:100,"To give students practical experience of work in a cultural institution.  To improve student knowledge and understanding of how cultural institutions function To enable students to contextualise this experience, knowledge and understanding through sustained reflection.
","(LO1) Students will have acquired practical experience of the work conducted in a cultural institution.
(LO2) Students will have acquired practical experience of the research conducted in a cultural institution.
(LO3) Students will have a firmer idea of issues surrounding employment in cultural institutions.
(LO4) Students will have a firmer idea of issues surrounding research in cultural institutions.
(LO5) Students will be able to reflect critically on the work and research conducted in cultural institutions.
(S1) Ability to participate in the working life of a cultural institution.
(S2) Ability to identify issues involved in the research work of cultural institutions.
(S3) Ability to negotiate issues surrounding employment in cultural institutions.
(S4) Improving own learning and performance. Reflective practice.
(S5) Ability to reflect critically on the role of cultural institutions.
"
M.a. Dissertation ,(PHIL706),Compulsory modules,M,60,Whole Session,0:100,"The aim is for the student to choose a topic of special interest in philosophy and conduct research into this area of interest via reading and private study under the supervison of the supervisor to whom they have been allocated.
","(LO1) To produce a systematic piece of written work, organised in chapters/sections in the manner of professional and published work in philosophy, so as to show that the research referred to in the Aims has been mastered in a way appropriate to someone with a grasp of the practice of professional philosophy.
(S1) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S2) Digital scholarship participating in emerging academic, professional and research practices that depend on digital systems
(S3) Information literacy online, finding, interpreting, evaluating, managing and sharing information
(S4) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning
(S5) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S6) Research management developing a research strategy, project planning and delivery, risk management, formulating questions, selecting literature, using primary/secondary/diverse sources, collecting &amp;amp; using data, applying research methods, applying ethics
(S7) Self-management readiness to accept responsibility (i.e. leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback/reflective learning
"
Philosophy of Film ,(PHIL757),Optional modules,M,15,Second Semester,0:100,"To consider the variety of ways of thinking philosophically about film. To encourage students to think about film in ways they might not have previously considered. To help students understand the issues and arguments that arise when considering film as an art form. To familiarise students with filmmakers and their methods, and to encourage them to think critically about them. To help students reflect on the differences between film and other art forms, and on the philosophical implications of these differences.
","(LO1) Students will be able to assess issues that arise in philosophers’ approaches to film.
(LO2) Students will be able to analyse some of the problems associated with the philosophy of film.
(LO3) Students will be able to explain philosophical difficulties involved in considering the relation of film to other art forms.
(LO4) Students will be able to assess philosophical issues raised by the methods of different filmmakers.
(LO5) Students will be able to evaluate arguments for and against film as art.
(LO6) Students will be able to reflect critically on various topics, such as adaptation, and the implications they might have for film as an art form.
(LO7) Students will be able to engage with philosophers and critics who hold controversial views on the importance of film.
(LO8) Students will be able to engage critically with the films presented on the module.
(S1) Students will further develop their skills in thinking critically, analysing problems and analysing and assessing arguments.
(S2) Students will enhance their ability to identify and reflect critically upon the issues that underlie debates.
(S3) Students will develop further confidence in considering previously unfamiliar ideas and approaches.
(S4) Students will enhance their ability to analyse works of film art.
(S5) Students will develop their confidence in group discussion of philosophical topics.
(S6) Students will improve their writing skills, presenting difficult topics in an engaging and lucid manner.
"
Aesthetics ,(PHIL716),Optional modules,M,15,First Semester,0:100,"Students will explore in detail arguments of some of the most important philosophers on art, aesthetics and cultural theory, including Kant, Hegel, Danto and Tolstoy. Students will critically engage with key concepts and theories in aesthetics, including the aesthetic judgement, disinterestedness, the institutional theory of art, the nature of representation and expression and feminism and post-modern critiques. Students will be encouraged to develop connections between works of art and artistic practices of the past and present.
","(LO1) Students will be able to explain and evaluate some of the main theories in aesthetics.
(LO2) Students will be able to analyse and critically assess key concepts and arguments relating to aesthetics and art.
(LO3) Students will be able to structure discussion of issues in aesthetics at an advanced level.
(LO4) Students will be able to identify and develop links between influential philosophical theories and artistic practices.
(LO5) Students will be able to articulate, defend and criticise positions in aesthetics and philosophy of art.
(LO6) Students will be able to present their ideas with clarity and confidence. 
(LO7) Students will be able to develop in writing, coherent, structures and sophisticated accounts on abstract philosophical issues.
(S1) Develop skills in making appropriate use of information technology, information on the WWW and reference works and databases relevant to the discipline.
(S2) Enhance the capacity to participate in debates about controversial and profound issues.
(S3) Develop willingness to critically evaluate and reflect upon arguments, beliefs, proposals and values.
(S4) Enhance the ability in reading and understanding complex texts and abstract material.
(S5) Develop skills in thinking critically, analyse problems in detail and providing in depth evaluation of arguments.
(S6) Enhance ability to identify, develop and reflect critically upon the issues that underlie debates.
(S7) Develop confidence in considering ideas and approaches with which they may be less familiar.
(S8) Enhance ability to marshal arguments and present them orally and in writing.
(S9) Advance ability to perform bibliographical searches, to include citations and bibliographies in their work, organise and produce presentations of work to professional standard.
(S10) Enhance oral and written communication skills and develop skills in explaining complex material in a precise manner.
"
"Media, Culture and Everyday Life ",(COMM733),Optional modules,M,15,First Semester,0:100,"To examine key theories and debates relating to the impact of impact of cultures of communication and media on everyday life in the digital age.
To develop a critical understanding of the relationship between media, modernity and everyday experience.
To develop a reflexive understanding of the role of digital technologies and media in contemporary social and cultural life.
To explore the role of digital media cultures and spaces in relation to issues of globalisation, consumption, and transnational/translocal mobility.
","(LO1) Students will acquire advanced knowledge and understanding of key theories and debates relating to the impact of cultures of communication and media on everyday life.
(LO2) Students will be able to critically analyse theoretical approaches to media, modernity and everyday experience.
(LO3) Students will gain a reflexive understanding of the role of digital technologies and media in contemporary social and cultural life.
(LO4) Students will be able to display practical understanding of digital media cultures in relation to key themes explored in the module.
(S1) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S2) Communication, listening and questioning respecting others, contributing to discussions, communicating in a foreign language, influencing, presentations.
(S3) Information literacy online, finding, interpreting, evaluating, managing and sharing information.
(S4) Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning.
(S5) Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others.
"
Digital Media and Society B ,(COMM734),Optional modules,M,15,Second Semester,0:100,"The module has five main goals:
* To provide students with an appreciation of the breadth and depth of interaction between digital media and society at large.
* To provide students with an appreciation of the scientific, technical and organisational underpinnings of contemporary digital media .
* To engage students in exploring the social and cultural policy implications of digital media.
*To explore the benefits provided and risks posed by each new form of digital media .
* To explore the deeply linked connections between digital media and society, social change and individual experience.
","(LO1) Students will acquire advanced knowledge and understanding of academic theory and debates relating to the relationship between digital media and society. 
(LO2) Students will acquire advanced knowledge and understanding of the technical, organisational and policy aspects of digital media use.
(LO3) Students will be able to critically analyse the academic and policy research approaches to digital media use.
(LO4) Students will be able to critically analyse and evaluate the social impacts of digital media use through a focus on selected contemporary issues.
(LO5) 
(S1) Digital scholarship participating in emerging academic, professional and research practices that depend on digital systems.
(S2) Problem solving critical thinking and creativity in analysing facts and situations and applying creative thinking to develop appropriate conclusion or solutions.
(S3) Media literacy online critically reading and creatively producing academic and professional communications in a range of media.
(S4) Communication, listening and questioning respecting others, contributing to discussions, influencing, presentations.
"
The Modern ,(ENGL770),Optional modules,M,15,First Semester,0:100,"- Students will demonstrate an advanced understanding of the concepts of ‘the modern’ and modernity, particularly as they relate to a range of early twentieth-century literary texts.
- Students will demonstrate advanced skills in analysing those texts in relation to relevant intellectual and material contexts.
- Students will demonstrate awareness of modernism as examples of individual art works and as a global network of related individuals, venues and works.
","(LO1) Students will gain the ability to read, analyse, interpret and compare with competence and independence a wide variety of literary texts.
(LO2) Students will acquire an advanced knowledge and systematic understanding of the political and ideological aspects of literary texts and how they can be situated within appropriate cultural and social contexts.
(LO3) Students will gain a critical appreciation of the ways in which texts can be situated within literary history, including issues of genre, influence, and creation and reception.
(LO4) Students will acquire advanced knowledge and critical awareness of current and new literary, critical and theoretical debates.
(LO5) Students will gain new skills fostering continued independent learning and a critical appreciation of complex issues within the broader context of the Arts and Humanities.
(S1) Students will acquire a systematic knowledge and critical awareness of current debates and new insights within the field of literature and its contexts.
(S2) Students will gain advanced critical and analytical skills in relation to diverse forms of discourse.
(S3) Students will gain advanced literacy, interpersonal and communications skills, and the ability to present sustained and persuasive written and oral arguments to specialist and non-specialist audiences.
(S4) Students will gain the ability to comprehensively understand and apply a variety of theoretical approaches to literature.
(S5) Students will gain the ability to handle complex information and argument in a critical, creative and self-reflective manner.
(S6) Students will gain the ability to use IT and other relevant tools and resources to present written and oral work to a professional, scholarly standard.
(S7) Students will acquire advanced skills and experience in selecting and using electronic and/or archival resources for planning and undertaking research and writing.
(S8) Students will gain organisational skills in managing time and workloads, and in meeting deadlines.
"
The Contemporary ,(ENGL772),Optional modules,M,15,Second Semester,0:100,"The aims of this module are as follows:
-  To enable students to engage with a cross-section of literature, theory and criticism to understand the concept of ‘the contemporary’ as a scholarly discipline.
- To enable students to understand and engage with the historical and conceptual connections between ‘the contemporary’ and other periodisations such as ‘the modern’.
- To develop skills in the comparison of literary and critical/theoretical writing, and in the understanding of how to apply theoretical contexts to contemporary literary contexts.
- To develop skills in creative, cross-media approaches to coursework including the opportunity to create a podcast addressing the key ideas of the module.
- To provide students with the materials to develop a critical understanding of how ‘the contemporary’ might vary across diverse authors and writing practices.
","(LO1) Students will gain the ability to read, analyse, interpret and compare with competence and independence a wide variety of literary texts.
(LO2) Students will acquire an advanced knowledge and systematic understanding of the political and ideological aspects of literary texts and how they can be situated within appropriate cultural and social contexts.
(LO3) Students will gain a critical appreciation of the ways in which texts can be situated within literary history, including issues of genre, influence, and creation and reception.
(LO4) Students will acquire advanced knowledge and critical awareness of current and new literary, critical and theoretical debates.
(LO5) Students will gain new skills fostering continued independent learning and a critical appreciation of complex issues within the broader context of the Arts and Humanities.
(S1) Students will acquire a systematic knowledge and critical awareness of current debates and new insights within the field of literature and its contexts.
(S2) Students will gain advanced critical and analytical skills in relation to diverse forms of discourse.
(S3) Students will gain advanced literacy, interpersonal and communications skills, and the ability to present sustained and persuasive written and oral arguments to specialist and non-specialist audiences.
(S4) Students will gain the ability to comprehensively understand and apply a variety of theoretical approaches to literature.
(S5) Students will gain the ability to handle complex information and argument in a critical, creative and self-reflective manner.
(S6) Students will gain the ability to use IT and other relevant tools and resources to present written and oral work to a professional, scholarly standard.
(S7) Students will acquire advanced skills and experience in selecting and using electronic and/or archival resources for planning and undertaking research and writing.
(S8) Students will gain organisational skills in managing time and workloads, and in meeting deadlines.
"
