Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Politics of the Environment ,(ENVS525),Compulsory modules,M,15,First Semester,50:50,"This module is designed to critically evaluate the political responses to the growing impacts that environmental issues and the concept of sustainability are having on decision making at all levels of governance (international, national and local) and other spheres of decision making which impact on the environment. More specifically the module aims to:
Develop a critical understanding of the growing importance of environmental and sustainable development thinking in  decision-making processes;
Explore different environmental attitudes, values and perspectives and examine the impact on various environmental perspectives;
Develop a critical understanding of the opportunities and limitations of environmental decision making international dimension of environmental politics and its impact on nation states;
Understand the role that environmental pressure groups have in shaping political decisions at the international, national and local levels of governance;
Critically evaluate the policy responses at national and local levels to the new emerging environmental agenda;
Explore the role and impact of other decision makers on environmental agendas.
","(LO1) A critical appreciation of how environmental issues are being addressed at all levels of government
(LO2) A critical understanding of different environmental values and attitudes and the way that these impact upon political philosophy and decision making
(LO3) A critical understanding of the way that various environmental interest groups impact on political and other decision-making processes
(S1) Communication skills
(S2) International awareness
(S3) Ethical awareness
"
"Environmental Assessment of Policies, Plans, Programmes and Projects ",(ENVS529),Compulsory modules,M,15,First Semester,50:50,"To introduce environmental assessment theory and practice;
To teach relevant assessment methods and techniques;
To make students appreciate the complex nature of environmental assessment.
","(LO1) Advanced understanding of why and how EIA and SEA are important to further an environmentally sustainable development and influence policy/practice
(LO2) Advanced understanding of SEA and EIA requirements and practices
(LO3) Advanced understanding of how to collect, analyse and report environmental information and data in SEA and EIA
(LO4) Be confident in analysing environmental problems effectively and choosing suitable assessment tools, methods and techniques
(LO5) Be confident in communicating effectively in (and on) SEA and EIA processes
(S1) Communication skills
(S2) Problem solving skills
(S3) International awareness
"
Business and the Environment ,(ENVS470),Compulsory modules,M,15,Second Semester,0:100,"To explore the relationships between business and the new environmental agenda;
To develop an understanding of the benefits of a positive approach to environmental management for business;
To develop an understanding of the processes involved in developing environmental management systems for businesses.
","(LO1) an appreciation of the growing importance of environmental management to business
(LO2) an understanding of the processes involved in the development of a formal environmental management system
(LO3) an ability to appreciate the advantages and disadvantages of formal verification
(LO4) an ability to communicate ideas effectively to different audiences
(S1) Communicating to different audiences using a variety of different approaches
(S2) Teamwork
(S3) Organisational skills
"
Green Infrastructure Planning ,(ENVS545),Compulsory modules,M,15,Second Semester,0:100,"The module aims:
To introduce the concept of Green Infrastructure from its historical antecedents to its current use;
To critically evaluate value of Green Infrastructure planning in urban planning as a mechanism for addressing biodiversity, climate change, health, water management and wider urban greening issues;
To critically examine the management frameworks of green space planning and evaluate the utility of evaluation and monitoring techniques available to environmental managers;
To introduce the policy contexts of Green Infrastructure planning and examine the influences of political will, financial incentives and social needs in developing greener and more sustainable urban environments;
To develop an understanding of how Green Infrastructure can be, and is being, implemented through a more in-depth assessment of a series of global case studies.
","(LO1) A critical understanding of the multifunctional benefits of green infrastructure;
(LO2) An ability to evaluate different planning mechanisms in place that govern the development of Green Infrastructure resources in different localities;
(LO3) The skills required to evaluate the role and added value of Green Infrastructure in real world planning scenarios;
(LO4) An ability to critically assess what methods are appropriate in the evaluation of urban and landscape development.
(S1) Problem solving skills
(S2) Communication skills
(S3) International awareness
"
Environmental Planning and Management Project ,(ENVS560),Compulsory modules,M,15,Second Semester,0:100,"This module is based upon the execution of a client based mini-project. This module aims to provide students with the support to develop skills of analysis, interpretation, policy prescription and ethical considerations that may arise in client consultant relationships. It is well grounded in the Department’s own research activities and draws upon established links with a number of local authorities and other public bodies. The foundation for this module is laid out in the pre-requisite module of ENVS529 (Sem 1). Hence, this module is based on applying the knowledge gained from ENVS529 and added in real-life scenarios. It is conducted in partnership with an identified client.
","(LO1) Data collection and analysing skill: to apply skills in selecting, assembling, manipulating, presenting and interpreting data related to an environmental assessment and management project
(LO2) Ability to use skills of policy prescription based on these data;
(LO3) Ability to adopt a critical approach to the examination of existing practice in the analysis and evaluation of environmental assessment and management projects;
(LO4) Ability to provide professional consultation input to clients
(S1) Problem solving skills
(S2) Communication skills
(S3) Leadership
(S4) Teamwork
"
Dissertation Mcd/ma/msc Planning ,(ENVS491),Compulsory modules,M,60,Summer (June-September),0:100,"To develop and practise academic skills in identifying a research topic, formulating a research design, managing the extended research process and achieving milestones, and, drawing relevant policy conclusions from the research findings.
To develop a deeper understanding in depth of a relevant body of literature.
To develop analytical skills and critical thinking on environmental and planning issues and policies.
To develop writing, presentation and bibliographic skills in preparing and submitting a high quality, fully-referenced dissertation.
","(LO1) To identify an appropriate research topic
(LO2) To design an effective research project using appropriate methods (e.g. literature review, case study) and techniques (e.g. surveys, data analysis)
(LO3) To manage the research process effectively within given resources and meeting milestones on time
(LO4) To gain a deeper understanding of a particular topic in your subject area
(LO5) To form independent and objective views on issues and policies in your specialised subject area, including planning policy and practice implications and recommendations
(LO6) To produce a well-written, clearly presented and properly formatted dissertation
(S1) Problem solving skills
(S2) Organisational skills
(S3) Communication skills
(S4) Ethical awareness
"
Human Health in Impact Assessment ,(ENVS611),Compulsory modules,M,15,First Semester,0:100,"Participants will:
• appreciate the strong and inextricable link between environmental and human health
• learn about the health origins and importance of environmental protection policy
• be aware of the legal requirements for the consideration of health in environmental assessment (SEA and EIA)
• develop and understanding for the potential benefits of using HIA
• develop an understanding for possible associated methodologies
","(LO1) Understand what human health means in planning and impact assessment and why it is important.
(LO2) Understand current international practices of and approaches to an inclusion of human health in planning and impact assessment
(LO3) Learn about how to approach the assessment of health impacts in planning in practice, with a particular focus of different impact assessment approaches (SEA, EIA, HIA)
(LO4) Learn from practitioners engaged with the assessment of health impacts on what knowledge and skills are particularly sought after in practice
(S1) Oral presentation skills (Delivery of oral presentation)
(S2) Written presentation skils (delivery of written essay)
(S3) Develop group work and comunication skills
"
Marine Planning Theory and Practice ,(ENVS541),Optional modules,M,15,First Semester,0:100,"The aim of this module is to enable students to develop a theoretical, practical and critical understanding of the notion of marine planning as it is developing internationally, in its wider context of marine management and policy-making. The objectives of this module are that students should be able: 
To explore the background, history and theoretical underpinnings of the concept of marine planning;
To understand and critically appraise key writings that are contributing to the development of marine planning;
To investigate leading approaches and techniques being applied in marine plan-making and pilot projects;
To appreciate the diversity of marine planning thought and practice in different political and geographical settings;
To argue constructively for the appropriate development of marine planning in various contexts.
","(LO1) Knowledge of the historical, conceptual and theoretical background of marine planning
(LO2) Knowledge of the practical application of the principles of marine planning in selected contexts.
(LO3) Ability to research marine planning literature and documentation.
(LO4) Ability to engage critically with international academic and practitioner arguments for the development of marine planning
(LO5) Ability to present knowledge and critical thinking about marine planning orally and in written form
(S1) Communication skills
(S2) International awareness
(S3) Lifelong learning skills
(S4) Problem solving skills
"
Research in Anthropocene Environments ,(ENVS485),Optional modules,M,15,First Semester,0:100,"The aim of this module is to provide students with:
The opportunity to conduct in depth piece of research on a chosen topic within the broad theme of human impacts on the environment;
Provide students with training in research methods and critical analysis techniques;
Teach them to write a short concise abstract (in a conference format);
To present the results in the form of a high impact, high quality A0 poster.
","(LO1) Demonstrate an understanding of anthropocene environments
(LO2) Knowledge of a series of key case studies illustrating interactions between human activities and terrestrial and marine ecosystems
(LO3) Critically analyse and assess previously published materials and synthesize into an appropriate case study
(LO4) Write a concise abstract
(LO5) Demonstrate knowledge of poster development and construction
(LO6) Present a poster in a professional manner
(S1) Problem solving skills
(S2) Communication skills
(S3) IT skills
(S4) Organisational skills
"
Spatial Planning Challenges ,(ENVS411),Optional modules,M,15,First Semester,0:100,"This module aims to provide students with an understanding of the conflicts facing planners in trying to deliver sustainable development. It is a module which looks at policy issues and responses at a variety of different spatial scales. Five main objectives are identified:
One. To introduce students to the range of social and economic issues that face contemporary society in relation to accessing basic needs including, housing, employment and transport;
Two. To introduce students to the need for planning to protect our natural resources from development pressures (including landscape, biodiversity, water, energy, waste, etc.);
Three. To introduce the concept of sustainable development with the need to balance social, economic and environmental concerns;
Four. To develop the idea that contemporary problems are often rooted in past decisions;
Five. To introduce students to the range of planning policy responses designed to address these competing interests.
","(LO1) Demonstrate an understanding of the many faceted competing uses and demands placed on planners trying to deliver sustainable development
(LO2) Demonstrate the way that different issues concern different groups in different spatial locations
(LO3) Demonstrate the different planning interventions designed to improve people&#39;s quality of life
(S1) Problem solving skills
(S2) Communication skills
(S3) Adaptability
(S4) Organisational skills
"
