Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
Spatial Planning Challenges ,(ENVS411),Compulsory modules,M,15,First Semester,0:100,"This module aims to provide students with an understanding of the conflicts facing planners in trying to deliver sustainable development. It is a module which looks at policy issues and responses at a variety of different spatial scales. Five main objectives are identified:
One. To introduce students to the range of social and economic issues that face contemporary society in relation to accessing basic needs including, housing, employment and transport;
Two. To introduce students to the need for planning to protect our natural resources from development pressures (including landscape, biodiversity, water, energy, waste, etc.);
Three. To introduce the concept of sustainable development with the need to balance social, economic and environmental concerns;
Four. To develop the idea that contemporary problems are often rooted in past decisions;
Five. To introduce students to the range of planning policy responses designed to address these competing interests.
","(LO1) Demonstrate an understanding of the many faceted competing uses and demands placed on planners trying to deliver sustainable development
(LO2) Demonstrate the way that different issues concern different groups in different spatial locations
(LO3) Demonstrate the different planning interventions designed to improve people&#39;s quality of life
(S1) Problem solving skills
(S2) Communication skills
(S3) Adaptability
(S4) Organisational skills
"
"Theory, Power and Ethics ",(ENVS432),Compulsory modules,M,15,First Semester,50:50,"The aim of this module is to provide the context and conception of planning as a professional activity.  It examines the institutional perspective on planning activities in relation to politics and markets and explores different strands of theories on the nature and purposes of planning. 
There are a number of specific objectives: 
- To provide a theoretical grounding on the nature and purposes of planning activities and planning practice; 
- To introduce planning as a political as well as an administrative and technical process; 
- To identify the range of different stakeholders involved in the planning process and their inter-relationships; 
- To relate theories about planning to more general social theories of the state, society and professional ethics; 
- To provide a conceptual framework for students to formulate their own professional value-systems and viewpoints.
","(LO1) Appreciate a range of different theoretical backgrounds to planning, both historical and contemporary
(LO2) Understand the diversity of ideologies, values and cultures that form different theories in and of planning
(LO3) Understand the reasons why planning practitioners operate in the way they do
(LO4) Have a rounded understanding of the institutional and political structures within which planning operates
(LO5) Develop the ability to formulate one&#39;s own professional values and attitudes
(S1) Communication skills
(S2) Ethical awareness
(S3) Lifelong learning skills
"
Implementing and Managing Change ,(ENVS459),Compulsory modules,M,15,Second Semester,0:100,"This module aims to introduce and critically examine the key skills, issues and practices planners need in implementing and managing change.
Objectives: To develop an understanding of the basic features of the planning system and the changes, challenges and issues planners face in mediating, regulating and managing change;
To develop the skills necessary to maximise the effectiveness of planners and planning – and to develop an appreciation of how to critically apply them and to take into account the needs and responsibilities of all who are involved in the planning system;
To develop a critical appreciation of the nature of change and development and its funding and implementation at a range of different levels – from global to local;
To develop an understanding of the planner as a professional practitioner and the responsibilities this entails;
To maximise student’s employability and awareness of potential careers and provide advice on managing their careers.
","(LO1) On completion students will understand and appreciate the statutory and practical basis of planning and how planners can implement and manage change.
(LO2) Students will appreciate the need and requirement to develop and appraise effective, collaborative and integrative approaches to planning – from global to local.
(LO3) Students will understand and appreciate the importance of, and  be able to work effectively with, communities and stakeholders.
(LO4) Students will appreciate the underlying importance of acting in a professional manner and understand how this relates to their career.
(S1) Understanding administrative processes
(S2) Synthesizing complex policy documents
"
"Trends, Outcomes and Impacts ",(ENVS469),Compulsory modules,M,15,First Semester,0:100,"This module aims to provide students with a coherent guide to the variety of methods and techniques employed in analysing contemporary spatial planning issues and monitoring and evaluating policy outcomes and impacts. Four main objectives are identified:
1) To enhance the understanding of trends and spatial patterns of development to provide a context to policy-making; 
2) To introduce diagnostic analysis and projections so as to establish the causal and inter-relationship between different factors and activities to assist problem definition, and to predict and estimate future levels of activities under different assumptions and scenarios; 
3) To learn various methodologies involved in carrying out policy monitoring and evaluation to assess the outputs and outcomes of policy action; 
4) To make use of on-line databases and information technology to analyse and present analytical findings.
","(LO1) be familiar with the range of techniques and methods used to analyse, monitor and evaluate spatial planning issues and policy action and have a good grasp of the basic principles that underpin the application of these techniques and methods
(LO2) appreciate the usefulness, as well as the limitations, of such techniques and methods under different contexts
(LO3) have the ability to manage and perform basic analysis with such methods and techniques in relation to spatial planning-related work
(S1) Communication skills
(S2) Numeracy
(S3) IT skills
(S4) Problem solving skills
"
Spatial Planning in Action ,(ENVS467),Compulsory modules,M,30,Second Semester,0:100,"The purpose of this module is to engage students in a client related spatial plan making exercise. More specifically the project aims to: 
-	Provide an opportunity for students to apply planning concepts and techniques in a practical context; 
-	Enhance the capacity of students to identify, collect and synthesis a variety of relevant information from a variety of sources in relation to a spatial planning task; 
-	Evaluate spatial planning options and develop objectives and strategies which are realistic and implementable; 
-	Develop an awareness of the ethical and professional issues that confront planning consultants working for a client; 
-	Develop collaborative problem solving, project management and written, oral and graphic communication skills;
-	Appreciate how similar issues are managed in different ways in other European countries.
","(LO1) be able to demonstrate the application of the planning concepts and techniques that have been studied in other modules in a practical context
(LO2) have a working understanding of aspects of the plan-making process
(LO3) be able to demonstrate engagement in a collaborative problem-solving exercise which has culminated in a clear action plan
(LO4) be able to demonstrate a level of competence in written, oral and graphic communication skills
(S1) Adaptability
(S2) Problem solving skills
(S3) Teamwork
(S4) Communication skills
"
Dissertation Mcd/ma/msc Planning ,(ENVS491),Compulsory modules,M,60,Summer (June-September),0:100,"To develop and practise academic skills in identifying a research topic, formulating a research design, managing the extended research process and achieving milestones, and, drawing relevant policy conclusions from the research findings.
To develop a deeper understanding in depth of a relevant body of literature.
To develop analytical skills and critical thinking on environmental and planning issues and policies.
To develop writing, presentation and bibliographic skills in preparing and submitting a high quality, fully-referenced dissertation.
","(LO1) To identify an appropriate research topic
(LO2) To design an effective research project using appropriate methods (e.g. literature review, case study) and techniques (e.g. surveys, data analysis)
(LO3) To manage the research process effectively within given resources and meeting milestones on time
(LO4) To gain a deeper understanding of a particular topic in your subject area
(LO5) To form independent and objective views on issues and policies in your specialised subject area, including planning policy and practice implications and recommendations
(LO6) To produce a well-written, clearly presented and properly formatted dissertation
(S1) Problem solving skills
(S2) Organisational skills
(S3) Communication skills
(S4) Ethical awareness
"
Making Places ,(ENVS439),Compulsory modules,M,15,First Semester,0:100,"The aim of this module is to outline the history, theories and practice of urban design as the principal means of creating and protecting the quality of ‘place’ in the urban fabric.  It teaches the basic techniques and skills required to achieve an understanding the character and quality of places, including the key components of urban form and the main theories behind place-making.  It also deals with the influence of the property market and the participants in the development process on the character and quality of the urban fabric.
The specific objectives of the module are to:
introduce students to the analysis of  the qualities and characteristics of the built environment;
introduce the different approaches to appreciating the visual qualities of urban space;
outline the development process as it affects urban design and the techniques of development appraisal as they apply to a specific project;
appreciate the relationship between urban design and the planning aims and policies in legislation and practice;
develop the formative design skills and techniques related to site planning.
","(LO1) Have the ability to appraise the qualities of an area in design terms
(LO2) Understand the processes producing and changing urban areas today
(LO3) Understand the issues around and a basic knowledge of site planning and design
(LO4) Have the ability to undertake basic site planning, including forming open space and buildings
(LO5) Be conversant with basic design and presentation techniques
(LO6) Be conversant with models of development and funding
(LO7) Have the ability to understand and undertake a basic valuation appraisal of a development project
(S1) Problem solving skills
(S2) Commercial awareness
(S3) Teamwork
(S4) Organisational skills
(S5) Communication skills
(S6) IT skills
"
Making Plans ,(ENVS427),Compulsory modules,M,15,Second Semester,0:100,"The aim of this module is to provide students with an introduction to plan making and the different methods and techniques that are used in plan preparation.
","(LO1) an understanding of the role of plans in shaping the development of places and how the theory of plan making has evolved over time
(LO2) familiarity with the main elements of the plan making process and techniques associated with them
(LO3) an appreciation of the range of current plans and an understanding of the different functions they serve;
(LO4)  a critical perspective on current plan formats
(S1) Problem solving skills
(S2) Organisational skills
(S3) Ethical awareness
(S4) Adaptability
"
Advanced Urban Design 1 ,(ENVS420),Compulsory modules,M,15,First Semester,0:100,"The aim of this module is to focus on the theory and practice of urban design as the principal means of delivering quality and sustainable urban environment.  It builds on students’ basic design skills to achieve an understanding of character and quality, the key components of urban form and the main theories of urban design.  It also deals with the influence of the property market and the participants in the development process on the character and quality of the urban fabric to enable students to develop their own sustainable approach to urban design practice.
","(LO1) Understand how city form is shaped and transformed by socio-cultural, economic, political and ecological factors
(LO2) Have a more in-depth knowledge of the nature of people-environmental relations, the idea of place, as well as the role of urban designers in shaping urban form
(LO3) Be aware of, and understand the current debate on sustainable and desirable urban design practice
(LO4) Build on previous knowledge of urban design and presentation techniques
(LO5) Develop the ability to research and present an urban design topic, including a case study
(S1) Problem solving skills
(S2) Commercial awareness
(S3) Sketching and drawing
(S4) Organisational skills
(S5) Communication skills
(S6) IT skills
(S7) Lifelong learning skills
"
Advanced Urban Design 2 ,(ENVS463),Compulsory modules,M,15,Second Semester,0:100,"The aim of this module is to enable students to interpret a design brief and propose a sustainable urban design solution to an urban design problem on a given site.
It will build on and develop students’ prior basic design skills for them to be able to apply the main theories of urban design and previous topic-based research. This will develop students’ design ability in preparation for practice and contribute to their own individual design portfolio.
","(LO1) Ability to develop design solutions through group discussions and by responding to feedback
(LO2) Ability to undertake an urban design analysis and apply to a site
(LO3) Ability to interpret and develop a design brief appropriately into a strategy and apply
(LO4) Demonstrate planning and design of development plots, buildings and open spaces
(LO5) Competent visualisation of a design proposal through drawing and modelling
(LO6) Ability to present an urban design proposal graphically and verbally
(S1) Problem solving skills
(S2) Teamwork
(S3) Organisational skills
(S4) Communication skills
(S5) IT skills
"
