Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
International Relations Theories ,(POLI132),Compulsory modules,M,30,First Semester,0:100,"To understand the main theories in the international relations literature;
Ability to apply these theories to their specific fields of research interest. 
","(LO1) Possess a comprehensive understanding of the strengths and weaknessess of the key theories of international relations
(LO2) Ability to apply International Relation theories to key issues in international relations. 
(S1) Information skills - Information accessing:Locating relevant information, identifying and evaluating information sources.
(S2) Critical thinking and problem solving - Critical analysis
(S3) Critical thinking and problem solving - Synthesis
(S4) Communication (oral, written and visual) - Presentation skills - written
(S5) Communication (oral, written and visual) - Presentation skills – oral
"
Research Methods in Politics ,(POLI116),Compulsory modules,M,15,Second Semester,0:100,"This module will familiarise students with some of the most commonly used quatitative and qualitative methods for political research. These include case study design and a basic introduction to descriptive statistics. In addition, students will be familiarised with the theoretical debates relating to their choice of research methodology with particular reference to the quantitative-qualitative dichotomy and comparative methods.
","(LO1) To introduce students to the theoretical debate surrounding the major methods for research work in the field of politics.
(LO2) To familiarise students with the practical dilemmas and tensions connected to research in the field of politics.
(LO3) To teach students to choose appropriate methodological approaches for a particular research project and to work out a suitable research plan.
(LO4) To teach students a number of transferable skills, namely IT skills, analytical skills, especially with regard to quantitative data, communication and interactive skills, time management and organisational skills.
(S1) Communication (oral, written and visual) - Presentation skills - written
"
The International System ,(POLI131),Compulsory modules,M,30,Second Semester,0:100,"To equip students with the necessary empirical knowledge and analytical tools to study international relations at an advanced level;
To explore relationship between theory, history and contemporary developments in the international sphere.
","(LO1) By the end of the module, students will: Possess a comprehensive base of empirical knowledge with respect to the politics of the international system
(LO2) Have developed an understanding of the key debates in the field of international relations.
(S1) Communication (oral, written and visual) - Presentation skills – oral
(S2) Communication (oral, written and visual) - Influencing skills – argumentation
"
Masters Dissertation ,(POLI119),Compulsory modules,M,60,Whole Session,0:100,"The dissertation gives students the opportunity to produce a lengthy piece of work (12-15,000 words, including footnotes and references) on a topic of their choice. The aim is to enhance the student&#39;s analytical and critical skills that have been developed in the rest of their Master&#39;s degree, and apply these to a research project. The dissertation need not be reliant upon new primary data, but it must demonstrate an element of originality, either in terms of its analytical approach, methods or application of theory to case studies. It is essential that the work is rigorous and coherent, and is located within the wider context of contemporary scholarship in political studies and international relations; The dissertation is an independent piece of work, but must be supervised by a member of the academic staff in the department of Politics. The supervisor is responsible for giving advice on reading, structure and presentation of dissertations. Students are expected to see their supervisor at least four times during the dissertation preparation and writing stages. Some of these sessions may occur within other taught modules.
","(LO1) To enable students to engage with a wide range of literature, research methodologies and methods to carry out a study on a topic of their choice.
(LO2) To produce a significant and robust piece of analysis in the area of international relations and/or political studies
(LO3) To enable students to understand the research process and develop their ability to manage this process in their time effectively.
(S1) Communication (oral, written and visual) - Academic writing including referencing skills.
"
"Big Data and Society B: Foundations, Politics, and Policy ",(COMM752),Optional modules,M,15,First Semester,0:100,"This module aims to introduce students to the study of online media and platforms, with a particular focus on ‘big’ social trace data. As well as developing their understanding of how Internet-based media systems work, students will learn about the strengths and weaknesses of using big data for social science research, and engage with key online political communication policy questions.
","(LO1) Students will learn about the interactions between the media, platforms, and citizens.
(LO2) Students will develop their understanding of how digital data is generated, collected and used in the modern world.
(LO3) Students will understand key current debates around media, data and society.
(S1) Students will develop their skills in building an argument, selecting appropriate sources, and academic writing.
(S2) Students will be able to link key public policy questions to social science research approaches that could help practically address them.
(S3) Students will develop skills in critically engaging with evidence.
"
Media and Politics: Theories and Cases B ,(COMM765),Optional modules,M,15,First Semester,0:100,"The module aims to give students an appreciation of how questions of the media are placed within political studies and how questions of politics are placed within media and communication studies. It also aims to develop skills both of political and media analysis and to encourage students to understand the media-political relationship within a context of change in political culture and in media and information technology. The module will also equip students with the skill to assess and examine the power dynamics, contested representations, and consequences of media reporting of selected contemporary political conflicts. A further aim is for students to become able to scrutinise the underlying rationale for media representation and reporting of politics.
","(LO1) Students will acquire advanced knowledge and understanding of key theories and debates relating to the relationship between media and politics.
(LO2) Students will be able to critically analyse the theoretical approaches to media/politics relationship.
(LO3) Students will be able to evaluate media power through a focus on selected contemporary cases and controversies.
(LO4) Students will acquire an advanced understanding of different models of the relationship between media, society and the state.
(S1) Critical thinking and problem solving - Critical analysis.
(S2) Communication (oral, written and visual) - Academic writing (inc. referencing skills).
(S3) Research skills - Awareness of /commitment to academic integrity.
(S4) Critical thinking and problem solving - Evaluation.
"
Principles of International Law ,(LAW353),Optional modules,3,15,First Semester,0:100,"The module provides students with an in-depth specialist knowledge of the principles and structure of international law, with special emphasis on law-making processes;
Critical tools for an understanding of the interaction of political and legal factors in the conduct of international relations;
Ability to identify the law and apply it correctly to hypothetical scenarios informed by major doctrinal and policy concerns;
Ability to undertake independent research and reflect on today’s most debated theoretical and practical issue in the field;
Ability to construct coherent legal arguments orally and in writing;
Ability to interpret and evaluate international legal materials against the backdrop of multiple international, regional and domestic legal and policy frameworks.
","(LO1) A critical understanding and knowledge of the principles that form the basis of the law governing inter-state relations
(LO2) An ability to identify complex international legal issues and problems including those suitable for further research
(LO3) An ability to work effectively with all relevant primary and secondary international legal sources, including complex materials, and to inform and develop understanding of a given topic
(LO4) An awareness of the interaction of political and legal factors in the conduct of international relations
(LO5) An ability to apply legal knowledge to complex situations including those involving doctrinal disputes over the theory and practice of international law, and to offer own reasoned views over such legal disputes
(LO6) An ability to construct coherent legal arguments orally and in writing
(LO7) An ability to undertake independent research, and to think critically about international legal issues
(LO8) An ability to interpret and evaluate international legal materials within the wider context of international relations and domestic practices
(S1) Conduct independent research and critical analysis
(S2) Problem Solving
(S3) Verbal communication and reasoning
(S4) Effective legal reasoning
"
The International Politics of the Middle East ,(POLI130),Optional modules,M,15,First Semester,0:100,"To provide in-depth analysis of the international politics of the Middle East, focusing primarily on identity and security issues;
The role of external forces in shaping the development of region’s politics;
Challenging the prevailing arguments about the Middle East, its culture and compatibility with democracy;
Integrating political science and theories of international relations in Middle Eastern Studies.
","(LO1) Awareness of the ways in which security issues at local, national, regional and international levels interrelate with each other.
(LO2) Ability to assess the contending interpretations of reasons for conflict and instability in the Middle East region.
(LO3) A critical understanding of the prospects for regional cooperation and the building of security communities.
(LO4) Ability to compare attempts to change regimes through mass action and reform from above
(S1) Research skills - All Information skills
(S2) Information skills - Evaluation
(S3) Critical thinking and problem solving - Evaluation
(S4) Communication (oral and written) - Influencing skills - argumentation
(S5) Communication (oral and written) - Communicating for audience
"
"Contemporary Anti-slavery, Forced Labour and Human Rights ",(POLI150),Optional modules,M,15,Second Semester,0:100,"To develop students’ familiarity with contemporary examples of human exploitation analogous with slavery;
To develop students’ analysis of current practice and assist them in drawing reasoned conclusions for future action ;
To contribute to the process of developing anti-slavery and anti-trafficking strategies, amongst governments and NGOs, and raising awareness of issues related to their development .
","(LO1) Analyse theoretical approaches to contemporary forms of ‘slavery’ and human exploitation.
(LO2) Evaluate the role of scholarly concepts, rhetorical analogies, legal definitions and national or international legislation in identifying and eliminating forms of modern ‘slavery’.
(LO3) Formulate conclusions regarding the role of current practice and the potential for future development in a specific area of voluntary, legislative or enforcement efforts to end contemporary ‘slaveries’.
(S1) Information skills - Information accessing:[Locating relevant information] [Identifying and evaluating information sources]
(S2) Critical thinking and problem solving - Critical analysis
(S3) Critical thinking and problem solving - Synthesis
(S4) Communication (oral, written and visual) - Presentation skills - written
(S5) Communication (oral, written and visual) - Presentation skills – oral
"
From the Ira to Isis: Understanding Political VIolence in the Contemporary World ,(POLI324),Optional modules,3,15,First Semester,50:50,"To help students think critically about the world we live in today, specifically focusing on terrorism;
To consider why and how terrorist groups come into existence and disappear;
To examine the historical evolution of terrorism, the importance of terrorism in the contemporary world, different types of terrorism, and the responses to such threats;
To think about why a universal definition of terrorism has proven so elusive and what this means for the study of terrorism;
To explore the controversies that have been generated by terrorism and counter-terrorism.
","(LO1) The ability to think critically about the world in which we live today, especially regarding the legitimacy of political violence.
(LO2) An understanding of the key debates and controversies in the study of terrorism and counter-terrorism.
(LO3) The ability to engage in critical discussion about questions relating to terrorism and counter-terrorism.
(LO4) The ability to engage and interact with the main themes in a specific body of intellectual knowledge.
(LO5) An ability to access and make effective use of bibliographical and electronic sources of information.
(LO6) Make arguments in a coherent and effective manner.
(LO7) The ability to write a cogent, well-argued research paper that deals with a significant aspect of these debates.
(S1) Communication (oral, written and visual).
(S2) Critical thinking and problem solving - critical analysis.
(S3) Working in groups and teams - group action planning.
"
Strategic Studies in Conflicts and Terrorism ,(POLI347),Optional modules,3,15,First Semester,30:70,"Examine which factors are more likely to trigger the outbreak of wars within a country and the evidence in favour and against the advanced theoretical arguments;
Analyse the strength and shortcomings of the advanced theories by looking at recent empirical contributions in the field;
Understand how and to which extent wars, terrorism and conflicts can be operationalized, measured and tested in empirical analyses;
Investigate the effect of peacekeeping operations on peace conditions and peace duration by a review of cases of success and failure of peacekeeping activities;
Examine the likely effects of terrorism on governments’ responses and the domestic and international factors leading to “suboptimal” counterterrorist policies;
Analyse the relationship between terrorism and public opinion and investigate the mechanisms advanced by selected theories on public responses and the empirical strategies used to test them.
","(LO1) Understand the main theoretical puzzles in the areas of conflicts and terrorism and how empirical research can address some of these puzzles while others are remain still open.
(LO2) Interpret the findings advanced by the empirical literature against or in line with the theoretical predictions advanced by the literature and students’ own pre-theoretical intuitions on the determinants of wars and conflicts.
(LO3) Become familiar with some of the empirical techniques used in conflict and terrorism studies.
(LO4) Reach a critical evaluation of the likely domestic and international triggers of wars, conflicts and terrorism and extrapolate recommendations for policy making.
(S1) Acquire solid knowledge of the main theoretical puzzles in the areas of conflicts and the main obstacles to conflict resolution.
(S2) Interpret the empirical findings advanced by the literature and familiarity with the main methodological tools used to estimate the determinants and effects of conflicts and terrorism.
(S3) Carry out descriptive data analysis and basic statistical exercises using statistical software packages (Stata).
(S4) Grasp the importance of research design in social science research and assess the validity of the arguments, hypotheses and findings in conflict and terrorism studies.
"
