Name,Module Code,Compulsory or Optional,Level,Credit Level,Semester,Exam Coursework Weighting,Aims,Learning Outcomes
The Politics and Practices of Social Research ,(SOCI501),Compulsory modules,M,15,First Semester,0:100,"1 To introduce students to the contemporary political and economic contexts for the production of social research in Universities.
2 To introduce students the key debates on the role of the social scientist and the role of social research.
3 To provide training in general research skills.
4 To provide student with an understanding of how key research methods are applied in practice.
5 To enable students to how to develop a research project through its initial stages.
","(LO1) Understand the contested nature of research methods in social science
(LO2) Understand the range of epistemological and methodological steps involvedin the research process.
(LO3) Be able to plan a large research project.
(LO4) Be able to critically analyze, evaluate and review current research and scholarship
(LO5) Be aware of ethical research conduct
(LO6) Understand the political and economic forces that shape the context for social research
(S1) Research management developing a research strategy, project planning and delivery, risk management, formulating questions, selecting literature, using primary/secondary/diverse sources, collecting &amp;amp; using data, applying research methods, applying ethics
(S2) Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.
(S3) Communication, listening and questioning respecting others, contributing to discussions, communicating in a foreign language, influencing, presentations
"
Philosophy of Social Science ,(SOCI504),Compulsory modules,M,15,First Semester,0:100,"• To introduce students to the main philosophical conceptions of social science
• To examine the status of sociology as a social science 
• To examine the link between theory and methodology within social research  
• To examine the different forms of knowledge production within the social sciences  
• To examine the relation between sociological knowledge and wider debates about politics and experience
","(LO1) An awareness of the diversity of methods in social science and of different epistemological and ontological assumptions about knowledge that underpin social research
(LO2) An understanding of philosophical issues relating to method in social science
(LO3) An understanding of some of the contested features of method in social science, for example the question of objectivity, neutrality, standpoint, experience, interpretation, prediction, reflexivity
(LO4) An ability to critically evaluate the main philosophical debates on method in social science such as positivism, hermeneutics, critical theory, realism and constructivism.
(LO5) To apply sociological knowledge to wider debates about politics and experience
(S1) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S2) Critical thinking and problem solving - Critical analysis
(S3) Critical thinking and problem solving - Synthesis
"
Dissertation ,(SOCI525),Compulsory modules,M,120,Whole Session,0:100,"To apply and develop methodological and theoretical skills
To generate a research question or problem
To design research and choose appropriate methods
To collect and analyse data
To write a final research report/dissertation
","(LO1) The ability to work independently
(LO2) To integrate a combination of empirical and/or theoretical skills in the production of a unique &#39;study&#39;
(LO3) To investigate a problem in an independent manner
(LO4) To manage the production of a sustained piece of empirical research
(LO5) Demonstrate an ability to gather information from appropriate sources and /or conduct original empirical research
(LO6) The ability to evaluate, describe and apply knowledge to their chosen topic
(S1) Improving own learning/performance - Reflective practice
(S2) Communication (oral, written and visual) - Presentation skills - written
(S3) Communication (oral, written and visual) - Listening skills
(S4) Critical thinking and problem solving - Creative thinking
(S5) Critical thinking and problem solving - Problem identification
(S6) Time and project management - Project planning
(S7) Critical thinking and problem solving - Synthesis
(S8) Critical thinking and problem solving - Evaluation
"
Understanding Society Using Quantitative Methods ,(SOCI508),Optional modules,M,15,First Semester,0:100,"1. To introduce students to analytical techniques suitable for use with quantitative data, and enable them to use software to appropriately practice these techniques
2. To develop critical understanding of the value of, and difficulties posed by, quantitative analysis in the social sciences
3. To equip students with the skills necessary to understand and evaluate research reports which include quantitative data
4. To explain how quantitative techniques can be used not to just to describe the social world, but also to investigate patterns of change within this world, and potentially account for the causes of this change
","(LO1) An understanding of different types of quantitative data, and appropriate collection and analytical techniques
(LO2) The ability to manipulate and analyse data using SPSS
(LO3) The ability to present data appropriately and clearly
(LO4) An understanding of the debates about whether quantitative data can be used to establish causal links between variables
(LO5) An appreciation of the value of different forms of quantitative data and knowledge of a range of secondary data sources
(S1) Communication (oral, written and visual) - Presentation skills - written
(S2) Communication (oral, written and visual) - Presentation skills - visual
(S3) Communication (oral, written and visual) - Following instructions/protocols/procedures
(S4) Communication (oral, written and visual) - Listening skills
(S5) Communication (oral, written and visual) - Academic writing (inc. referencing skills)
(S6) Communication (oral, written and visual) - Report writing
(S7) Communication (oral, written and visual) - Communicating for audience
(S8) Time and project management - Personal organisation
(S9) Critical thinking and problem solving - Critical analysis
(S10) Information skills - Critical reading
(S11) Information skills - Information accessing:[Locating relevant information] [Identifying and evaluating information sources]
(S12) Skills in using technology - Using common applications (work processing, databases, spreadsheets etc.)
(S13) Skills in using technology - Information accessing
(S14) Numeracy/computational skills - Reason with numbers/mathematical concepts
(S15) Numeracy/computational skills - Problem solving
(S16) Numeracy/computational skills - Numerical methods
"
Using Foucault's Methods ,(SOCI515),Optional modules,M,5,Second Semester,0:100,"• To introduce students to Foucault’s use of history as a method
• To demonstrate the use of Foucault’s method of discourse as an effective tool of social inquiry
• To provide an introduction to Foucault’s method in relation to his work on sexuality, discipline and docile bodies as an example of the sociological imagination
• To understand how, when and why Foucault’s methods have been taken up in the social sciences.
","(LO1) To demonstrate an understanding of Foucault’s use of history as a method
(LO2) To demonstrate an understanding of the role of discourse in addressing the relations between discourse and context, discourse and power and discourse and interaction
(LO3) To explain the link between Foucault’s method and the study of culture and society
(LO4) To apply Foucault’s methods to social research and social inquiry in the social sciences
(S1) Critical thinking and problem solving - Critical analysis
(S2) Critical thinking and problem solving - Evaluation
(S3) Critical thinking and problem solving - Creative thinking
(S4) Critical thinking and problem solving - Problem identification
(S5) Communication (oral, written and visual) - Presentation skills - written
"
Focus Groups ,(SOCI516),Optional modules,M,5,Second Semester,0:100,"1.To provide students with the skills they need to design and complete research using focus group discussions
2.To enable students to understand the ethical implications as well as the strengths and limitations of using focus groups
3.To develop students&#39; skills in the analysis of focus group data, including verbatim transcripts of the discussions and notes of non-verbal interaction
4.To develop students&#39; awareness of the practical issues  involved in setting up and moderating focus group discussions
5.To provide students with a good understanding of methodological and theoretical literature they need to draw on to support their approach to focus group discussions
","(LO1) To understand how and when focus groups could be used to research social issues, and be able to articulate the ethical implications of carrying out research in this way
(LO2) Students will understand focus group methodology and be able to design and carry out research involving focus group discussions
(LO3) Students will be able to capture and analyse data from focus group discussions, and clearly articulate their approach to analysis
(LO4) Students will be able to identify methodological texts to cite to support the academic integrity of their research and to identify how sociological theory may enhance their analysis and presentation of findings
(S1) Improving own learning/performance - Reflective practice
(S2) Critical thinking and problem solving - Problem identification
(S3) Critical thinking and problem solving - Creative thinking
(S4) Global citizenship - Ethical awareness
(S5) Critical thinking and problem solving - Critical analysis
(S6) Communication (oral, written and visual) - Presentation skills – oral
(S7) Working in groups and teams - Group action planning
"
An Introduction to Critical Discourse Analysis ,(SOCI517),Optional modules,M,5,First Semester,0:100,"1.To introduce students to Critical understandings of discourse and its place in society
2.To introduce students to the practice of Critical Discourse Analysis
3.To enable student&#39;s development of Critical Discourse Analytic skills and competences
","(LO1) An understanding of ideas and concerns underpinning Critical Discourse Analysis
(LO2) An ability to conduct Critical Discourse Analaytic work
(LO3) A critical understanding of the place of discourse in society
(S1) Communication (oral, written and visual) - Presentation skills – oral
(S2) Communication (oral, written and visual) - Presentation skills - visual
(S3) Critical thinking and problem solving - Critical analysis
(S4) Information skills - Critical reading
"
"Visual Data, VIsual Analysis ",(SOCI518),Optional modules,M,5,First Semester,0:100,"• To provide an introduction to sociological engagement with visual data/analysis
• To provide research students with an opportunity to practice these sets of research skills with respect to their own projects
","(LO1) Familiarity with major classical and contemporary social scentific engagements with visual data and visual analysis (theoretical and empirical)
(LO2) Ability to apply the perspectives learned in Outcome 1 to an ongoing research project (e.g thesis)
(S1) Critical thinking and problem solving - Critical analysis
(S2) Critical thinking and problem solving - Creative thinking
(S3) Communication (oral, written and visual) - Presentation skills – oral
"
Ethnomethodology and Conversation Analysis ,(SOCI519),Optional modules,M,5,Second Semester,0:100,"This module will provide students with an understanding of ethnomethodology and conversation analysis as radical approaches to the study of social practices grounded in work on and with interactional data. It will be of particular interest to students and researchers working across the social sciences and beyond with a specific interest in studying practice and interaction.
","(LO1) This module will provide an overview of ethnmethodology and conversation analysis as dynamic, analytically innovative and intellectually adventurous fields of research.
(LO2) It will enable students to trace the substantial influence ethnomethodology and conversation analysis continue to have in sociology, anthropology, psychology, science and technology studies, and other disciplines besides.
(LO3) Students who take this module will acquire an understanding of ethnomethodology and conversation analysis as radical approaches to the study of social practices, and will do so in the course of practical work on and with interactional data. 
(LO4) As the only postgraduate short course in the UK focusing on ethnomethodology specifically, it presents a unique opportunity for students to learn about an alternative way of approaching social inquiry, one grounded in &#39;radical&#39; empirical studies.
(S1) Reading skills
(S2) Writing skills
(S3) Data collection skills
(S4) Transcribing/capturing skills
(S5) Anaytic skills
"
Participatory Action Research ,(SOCI520),Optional modules,M,5,Second Semester,0:100,"1. To plan for a Particiaptory Action Research dissertation project;
2. To develop an understanding of the theoretical perspectives that inform a Participatory Action Research approach;
3. To develop understanding of appropriate methods and activities for a Participatory Action Research approach;
4. To understand ethical considerations related to a Participatory Action Research approach.
","(LO1) To produce a strategy for engaging in a Particiaptory Action Research project;
(LO2) Understanding Participatory Action Research within a theoretical and practice framework;
(LO3) Understanding of methodology appropriate to a Participatory Action Research;
(LO4) Reflecting on the ethical issues and practical problems associated with Participatory Action Research.
(S1) Improving own learning/performance - Reflective practice
(S2) Time and project management - Project planning
(S3) Information skills - Networking skills
(S4) Critical thinking and problem solving - Creative thinking
(S5) Working in groups and teams - Group action planning
(S6) Personal attributes and qualities - Integrity
"
